,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
0,Exp_40_WT,Ionis 1375651_10uM,Ionis 1375651_10uM,8.832,6.5805,2.2515,0.210005643,0.04636490042562715,0.7071067811865475
1,Exp_40_MT,Ionis 1375651_10uM,Ionis 1375651_10uM,9.682,7.537,2.145,0.226094844,0.06692797433025147,-0.7071067811865478
2,Exp_40_MT,Ionis 1375651_10uM,Ionis 1375651_10uM,8.443,6.8025,1.6405,0.320745293,0.06692797433025147,0.7071067811865474
3,Exp_40_WT,Ionis 1375651_10uM,Ionis 1375651_10uM,9.571,6.7795,2.7915,0.144435772,0.04636490042562715,-0.7071067811865475
4,Exp_40_WT,Ionis 676630_10uM,Ionis 676630_10uM,6.849,6.7795,0.0695,0.952968214,0.303361957779625,0.7071067811865478
5,Exp_40_MT,Ionis 676630_10uM,Ionis 676630_10uM,7.706,7.537,0.169,0.889458994,0.05668649568420032,-0.7071067811865475
6,Exp_40_WT,Ionis 676630_10uM,Ionis 676630_10uM,7.513,6.5805,0.9325,0.523949619,0.303361957779625,-0.7071067811865474
7,Exp_40_MT,Ionis 676630_10uM,Ionis 676630_10uM,6.847,6.8025,0.0445,0.969625805,0.05668649568420032,0.7071067811865475
8,Exp_40_WT,KQ105_10uM,KQ105_10uM,7.432,6.7795,0.6525,0.636176947,0.07301619553607275,-0.7071067811865476
9,Exp_40_WT,KQ105_10uM,KQ105_10uM,7.016,6.5805,0.4355,0.739437441,0.07301619553607275,0.7071067811865476
10,Exp_40_MT,KQ105_10uM,KQ105_10uM,7.994,7.537,0.457,0.728499557,0.07116747051351484,0.7071067811865487
11,Exp_40_MT,KQ105_10uM,KQ105_10uM,7.474,6.8025,0.6715,0.627853555,0.07116747051351484,-0.7071067811865471
12,Exp_40_WT,KQ106_10uM,KQ106_10uM,7.022,6.5805,0.4415,0.736368593,0.18955425483982052,0.7071067811865472
13,Exp_40_MT,KQ106_10uM,KQ106_10uM,8.162,6.8025,1.3595,0.389717332,0.29008546298452953,-0.7071067811865472
14,Exp_40_MT,KQ106_10uM,KQ106_10uM,7.859,7.537,0.322,0.799960128,0.29008546298452953,0.7071067811865476
15,Exp_40_WT,KQ106_10uM,KQ106_10uM,7.874,6.7795,1.0945,0.468298395,0.18955425483982052,-0.7071067811865476
16,Exp_40_MT,KQ258_10uM,KQ258_10uM,8.805,7.537,1.268,0.415235012,0.03145903290967225,0.7071067811865462
17,Exp_40_MT,KQ258_10uM,KQ258_10uM,8.234,6.8025,1.4315,0.370745221,0.03145903290967225,-0.7071067811865479
18,Exp_40_WT,KQ258_10uM,KQ258_10uM,7.651,6.5805,1.0705,0.476153948,0.0286960209403604,-0.7071067811865476
19,Exp_40_WT,KQ258_10uM,KQ258_10uM,7.732,6.7795,0.9525,0.51673625,0.0286960209403604,0.7071067811865476
