,Experiment Name,SampleName,Avg Exp_1,Avg Exp_2
0,Exp_40_MT,KQ958_10uM,0.41942943,0.633317127
1,Exp_40_MT,KQ106_10uM,0.389717332,0.799960128
2,Exp_40_MT,KQ830_10uM,0.786489822,0.909408252
3,Exp_40_MT,KQ373_10uM,0.194993779,0.149063609
4,Exp_40_MT,KQ500_10uM,0.201171801,0.249135066
5,Exp_40_MT,KQ479_10uM,0.448910579,0.518350551
6,Exp_40_MT,KQ105_10uM,0.627853555,0.728499557
7,Exp_40_MT,KQ920_10uM,0.659068352,0.743806881
8,Exp_40_MT,KQ332_10uM,0.342576953,0.40332088
9,Exp_40_MT,KQ501_10uM,0.356630006,0.385820044
10,Exp_40_MT,KQ480_10uM,0.436332548,0.492092011
11,Exp_40_MT,KQJM071_10uM,0.571767293,0.706616822
12,Exp_40_MT,KQ921_10uM,0.546957257,0.611744021
13,Exp_40_MT,KQ258_10uM,0.370745221,0.415235012
14,Exp_40_MT,KQ955_10uM,0.155771154,0.207329886
15,Exp_40_MT,KQ995_10uM,0.318971626,0.371903441
16,Exp_40_MT,KQ928_10uM,0.566245663,0.595015848
17,Exp_40_MT,KQ371_10uM,0.269339924,0.31273227
18,Exp_40_MT,KQ957_10uM,0.234149198,0.320189965
19,Exp_40_MT,KQ288_10uM,0.543932675,0.53998828
20,Exp_40_MT,KQ980_10uM,0.510683021,0.554400322
21,Exp_40_MT,KQ280_10uM,0.358116277,0.388503634
22,Exp_40_MT,KQ956_10uM,0.20942419,0.268873598
23,Exp_40_MT,KQ426_10uM,0.703440352,0.569986636
24,Exp_40_MT,KQJM069_10uM,0.819320604,0.899378312
25,Exp_40_MT,KQ372_10uM,0.316110311,0.328963631
