Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO337-360_WT_20210621,G1,Naïve_P29,Naïve_P29,28.3574783916074,20.8779295831682,7.479548808439201,7.494941078107595,0.10413851085783431,-0.015392269668393688,-0.055341546764395545,1.0391050741778285
ASO337-360_WT_20210621,G2,Naïve_P29,Naïve_P29,28.385950544227,20.9306395567705,7.4553109874565,,,-0.03963009065109535,,
ASO337-360_WT_20210621,G3,Naïve_P29,Naïve_P29,28.3255120707505,20.9415732726166,7.383938798133897,,,-0.1110022799736976,,
ASO337-360_WT_20210621,G4,Naïve_P29,Naïve_P29,28.3622163939551,20.9839539433311,7.378262450624,,,-0.11667862748359514,-0.15987799316612783,1.117192654554581
ASO337-360_WT_20210621,G5,Naïve_P29,Naïve_P29,28.2801363468504,20.963152628943,7.3169837179074015,,,-0.17795736020019337,,
ASO337-360_WT_20210621,G6,Naïve_P29,Naïve_P29,28.2541960558003,20.9442529695073,7.309943086293,,,-0.18499799181459498,,
ASO337-360_WT_20210621,G7,Naïve_P29,Naïve_P29,28.4785169293984,20.976598875548,7.5019180538504,,,0.0069769757428046475,0.04689900096363816,0.9680147925242321
ASO337-360_WT_20210621,G8,Naïve_P29,Naïve_P29,28.5928669981774,20.9965788912569,7.5962881069205,,,0.10134702881290547,,
ASO337-360_WT_20210621,G9,Naïve_P29,Naïve_P29,28.5687656542297,21.0414515777869,7.527314076442799,,,0.03237299833520435,,
ASO337-360_WT_20210621,H1,Naïve_P29,Naïve_P29,28.2955667322515,20.750643342916,7.544923389335501,,,0.04998231122790653,0.07138866205324046,0.9517214801853403
ASO337-360_WT_20210621,H2,Naïve_P29,Naïve_P29,28.3279601642452,20.7672417888253,7.560718375419903,,,0.06577729731230786,,
ASO337-360_WT_20210621,H3,Naïve_P29,Naïve_P29,28.3971712842741,20.803823828547,7.593347455727102,,,0.09840637761950699,,
ASO337-360_WT_20210621,H4,Naïve_P29,Naïve_P29,28.3539933596814,20.9223098003897,7.431683559291699,,,-0.06325751881589614,-0.03838757708212833,1.0269654008260798
ASO337-360_WT_20210621,H5,Naïve_P29,Naïve_P29,28.3753845723466,20.9279199274158,7.4474646449308,,,-0.04747643317679451,,
ASO337-360_WT_20210621,H6,Naïve_P29,Naïve_P29,28.5463181565997,21.0558058577458,7.490512298853901,,,-0.004428779253694337,,
ASO337-360_WT_20210621,H7,Naïve_P29,Naïve_P29,28.4937397355434,20.8644424373222,7.6292972982212,,,0.13435622011360504,0.13531945399577014,0.9104682075361517
ASO337-360_WT_20210621,H8,Naïve_P29,Naïve_P29,28.4955106878225,20.8933949531878,7.6021157346346975,,,0.10717465652710256,,
ASO337-360_WT_20210621,H9,Naïve_P29,Naïve_P29,28.6136707718739,20.9543022084197,7.659368563454198,,,0.1644274853466028,,
ASO337-360_WT_20210621,G10,Ionis1375651_10_P29,Ionis1375651_10uM_P29,37.8675158705166,26.4934595786126,11.374056291903997,,,3.8791152137964025,4.195661678414969,0.05457327074044641
ASO337-360_WT_20210621,G11,Ionis1375651_10_P29,Ionis1375651_10uM_P29,40.0,26.4966378332945,13.5033621667055,,,6.008421088597905,,
ASO337-360_WT_20210621,G12,Ionis1375651_10_P29,Ionis1375651_10uM_P29,36.6840281892574,26.4896383782992,10.194389810958196,,,2.699448732850601,,
ASO337-360_WT_20210621,H10,Ionis1375651_10_P29,Ionis1375651_10uM_P29,38.7575266463896,28.4754315837029,10.2820950626867,,,2.7871539845791053,3.1432522676355377,0.11318445487143293
ASO337-360_WT_20210621,H11,Ionis1375651_10_P29,Ionis1375651_10uM_P29,38.7452787611078,28.5749198124422,10.170358948665598,,,2.675417870558003,,
ASO337-360_WT_20210621,H12,Ionis1375651_10_P29,Ionis1375651_10uM_P29,40.0,28.5378739741229,11.462126025877101,,,3.967184947769506,,
ASO337-360_WT_20210621,G13,Ionis1375651_3_P29,Ionis1375651_3uM_P29,34.5358302079723,24.5225833566136,10.013246851358705,,,2.51830577325111,2.6162861780209403,0.16308701474317808
ASO337-360_WT_20210621,G14,Ionis1375651_3_P29,Ionis1375651_3uM_P29,34.7866313916825,24.5333429536079,10.253288438074598,,,2.7583473599670034,,
ASO337-360_WT_20210621,G15,Ionis1375651_3_P29,Ionis1375651_3uM_P29,34.7028229897476,24.6356765107953,10.067146478952303,,,2.572205400844708,,
ASO337-360_WT_20210621,H13,Ionis1375651_3_P29,Ionis1375651_3uM_P29,36.7351324255565,25.5217538710085,11.213378554548001,,,3.718437476440406,3.212813739380605,0.10785659210465488
ASO337-360_WT_20210621,H14,Ionis1375651_3_P29,Ionis1375651_3uM_P29,35.8785780581581,25.6155070745322,10.263070983625898,,,2.768129905518303,,
ASO337-360_WT_20210621,H15,Ionis1375651_3_P29,Ionis1375651_3uM_P29,36.2992142882077,25.652399373917,10.646814914290701,,,3.151873836183106,,
ASO337-360_WT_20210621,G16,Ionis676630_10_P29,Ionis676630_10uM_P29,34.7377528892862,25.9820903522555,8.755662537030698,,,1.2607214589231033,1.1017414697929022,0.4659537058350932
ASO337-360_WT_20210621,G17,Ionis676630_10_P29,Ionis676630_10uM_P29,34.3907250736715,26.1042777189241,8.286447354747398,,,0.7915062766398036,,
ASO337-360_WT_20210621,G18,Ionis676630_10_P29,Ionis676630_10uM_P29,34.8218876588579,26.0739499069345,8.747937751923395,,,1.2529966738158,,
ASO337-360_WT_20210621,H16,Ionis676630_10_P29,Ionis676630_10uM_P29,38.1762197805862,28.8054547623567,9.370765018229502,,,1.875823940121907,1.8752978123826731,0.27257066119288087
ASO337-360_WT_20210621,H17,Ionis676630_10_P29,Ionis676630_10uM_P29,38.3045305876442,28.862936724364,9.4415938632802,,,1.9466527851726054,,
ASO337-360_WT_20210621,H18,Ionis676630_10_P29,Ionis676630_10uM_P29,38.234047008962,28.9356892190009,9.298357789961102,,,1.8034167118535072,,
ASO337-360_WT_20210621,A1,ASO337_10,KQJM083_L18_5-08-5_10uM_P29,32.0035080668031,23.9032522892712,8.100255777531899,,,0.6053146994243042,0.6539509673369718,0.6355374442029221
ASO337-360_WT_20210621,A2,ASO337_10,KQJM083_L18_5-08-5_10uM_P29,31.9330725411579,23.8529147242726,8.0801578168853,,,0.5852167387777056,,
ASO337-360_WT_20210621,A3,ASO337_10,KQJM083_L18_5-08-5_10uM_P29,32.1321709612454,23.8659084193289,8.2662625419165,,,0.7713214638089054,,
ASO337-360_WT_20210621,A4,ASO337_10,KQJM083_L18_5-08-5_10uM_P29,31.8709583138914,23.0068993297307,8.8640589841607,,,1.3691179060531047,1.3190714379298714,0.40079281815048384
ASO337-360_WT_20210621,A5,ASO337_10,KQJM083_L18_5-08-5_10uM_P29,31.7692600196581,23.032444741103,8.736815278555099,,,1.241874200447504,,
ASO337-360_WT_20210621,A6,ASO337_10,KQJM083_L18_5-08-5_10uM_P29,31.9344203972191,23.0932571118225,8.8411632853966,,,1.3462222072890055,,
