Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO433-456_total_20210622,G1,Naïve_P37,Naïve_P37,27.9719412274618,21.2439418462332,6.727999381228603,,,,-0.9677266143627818,-0.9070424897465182,1.8751974197552954
ASO433-456_total_20210622,G2,Naïve_P37,Naïve_P37,28.0340672733151,21.2579696178053,6.776097655509798,,,,-0.9196283400815872,,
ASO433-456_total_20210622,G3,Naïve_P37,Naïve_P37,28.1145182909761,21.2525648101799,6.861953480796199,,,,-0.8337725147951858,,
ASO433-456_total_20210622,G4,Naïve_P37,Naïve_P37,28.2754297175258,21.2570513747472,7.0183783427786,,,,-0.6773476528127844,-0.5763828211432186,1.4911060013673272
ASO433-456_total_20210622,G5,Naïve_P37,Naïve_P37,28.3548128904561,21.2293906643926,7.125422226063499,,,,-0.5703037695278859,,
ASO433-456_total_20210622,G6,Naïve_P37,Naïve_P37,28.5518507184129,21.3376217639105,7.214228954502399,,,,-0.4814970410889856,,
ASO433-456_total_20210622,G7,Naïve_P37,Naïve_P37,27.844450666114,20.8832337340193,6.9612169320947,,,,-0.7345090634966844,-0.7577480877085184,1.69084930589989
ASO433-456_total_20210622,G8,Naïve_P37,Naïve_P37,27.818413372132,20.860778050889,6.957635321243,,,,-0.7380906743483848,,
ASO433-456_total_20210622,G9,Naïve_P37,Naïve_P37,27.7595537403021,20.8644722699912,6.895081470310899,,,,-0.8006445252804859,,
ASO433-456_total_20210622,H1,Naïve_P37,Naïve_P37,28.0213770841038,21.3555514974646,6.665825586639201,,,,-1.0299004089521837,-1.0737463310793511,2.1048921739049504
ASO433-456_total_20210622,H2,Naïve_P37,Naïve_P37,28.0961675841451,21.4089485102064,6.687219073938699,,,,-1.0085069216526854,,
ASO433-456_total_20210622,H3,Naïve_P37,Naïve_P37,28.0068954920463,21.4940011590881,6.512894332958201,,,,-1.182831662633184,,
ASO433-456_total_20210622,H4,Naïve_P37,Naïve_P37,28.1111147199162,21.191278554395,6.919836165521197,,,,-0.775889830070188,-0.7709648264163521,1.7064105926241453
ASO433-456_total_20210622,H5,Naïve_P37,Naïve_P37,28.120687932668,21.2047306723665,6.9159572603015,,,,-0.7797687352898848,,
ASO433-456_total_20210622,H6,Naïve_P37,Naïve_P37,28.2197508714077,21.2812607897053,6.938490081702401,,,,-0.7572359138889837,,
ASO433-456_total_20210622,H7,Naïve_P37,Naïve_P37,28.2913813301438,21.2620673127686,7.029314017375199,,,,-0.6664119782161855,-0.6735050650516179,1.594943220121687
ASO433-456_total_20210622,H8,Naïve_P37,Naïve_P37,28.3198299812576,21.3190908816484,7.000739099609202,,,,-0.6949868959821828,,
ASO433-456_total_20210622,H9,Naïve_P37,Naïve_P37,28.3638308306686,21.3272211560337,7.036609674634899,,,,-0.6591163209564854,,
ASO433-456_total_20210622,G10,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.0621319885833,27.1578084089856,9.904323579597705,,,,2.20859758400632,2.5202134682570168,0.17431716356024363
ASO433-456_total_20210622,G11,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.6741000676838,27.131534221991,10.542565845692803,,,,2.846839850101418,,
ASO433-456_total_20210622,G12,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.2903153600333,27.0893863937786,10.200928966254697,,,,2.505202970663312,,
ASO433-456_total_20210622,H10,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.077863699713,27.7978704787711,9.2799932209419,,,,1.5842672253505157,2.8783780207172156,0.13599466667420906
ASO433-456_total_20210622,H11,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.9730266357343,27.7385562008103,10.234470434923999,,,,2.538744439332614,,
ASO433-456_total_20210622,H12,Ionis1375651_10_P37,Ionis1375651_10uM_P37,40,27.7921516069401,12.207848393059901,,,,4.5121223974685165,,
ASO433-456_total_20210622,G13,Ionis1375651_3_P37,Ionis1375651_3uM_P37,33.6554170967292,25.0532862024693,8.6021308942599,,,,0.9064048986685158,1.3850752118277836,0.38286953866680085
ASO433-456_total_20210622,G14,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.5756950634933,25.1207914582829,9.4549036052104,,,,1.759177609619016,,
ASO433-456_total_20210622,G15,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.3236064123771,25.1382372895899,9.185369122787204,,,,1.4896431271958193,,
ASO433-456_total_20210622,H13,Ionis1375651_3_P37,Ionis1375651_3uM_P37,35.4964915480092,24.9222052419142,10.574286306095004,,,,2.8785603105036195,2.7351296845174495,0.15019100484588654
ASO433-456_total_20210622,H14,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.9418071649732,24.9601705842654,9.9816365807078,,,,2.285910585116415,,
ASO433-456_total_20210622,H15,Ionis1375651_3_P37,Ionis1375651_3uM_P37,35.7092592106241,24.9726150571004,10.736644153523699,,,,3.040918157932314,,
ASO433-456_total_20210622,G16,Ionis676630_10_P37,Ionis676630_10uM_P37,34.5067942221186,26.8521405655171,7.6546536566015,8.042885504682568,7.695725995591385,0.4909576860635361,-0.04107233898988483,0.34715950909118237,0.7861303701854915
ASO433-456_total_20210622,G17,Ionis676630_10_P37,Ionis676630_10uM_P37,35.4938996390772,26.8279168993249,8.665982739752298,,,,0.9702567441609133,,
ASO433-456_total_20210622,G18,Ionis676630_10_P37,Ionis676630_10uM_P37,34.7151251829963,26.9071050653024,7.8080201176939035,,,,0.11229412210251866,,
ASO433-456_total_20210622,H16,Ionis676630_10_P37,Ionis676630_10uM_P37,34.7962211311437,28.0492048484037,6.747016282740002,7.348566486500203,,,-0.9487097128513824,-0.34715950909118237,1.272053641387808
ASO433-456_total_20210622,H17,Ionis676630_10_P37,Ionis676630_10uM_P37,35.3054355576386,28.0683890885588,7.237046469079804,,,,-0.45867952651158106,,
ASO433-456_total_20210622,H18,Ionis676630_10_P37,Ionis676630_10uM_P37,36.2362012857441,28.1745645780633,8.061636707680801,,,,0.3659107120894163,,
ASO433-456_total_20210622,A1,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.1345047596992,28.4791775945777,6.6553271651214985,,,,-1.0403988304698863,-0.8753758255782529,1.8344859122254304
ASO433-456_total_20210622,A2,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.7088750825242,28.3721229999197,7.336752082604502,,,,-0.3589739129868832,,
ASO433-456_total_20210622,A3,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,34.9536527821469,28.4846815198335,6.468971262313396,,,,-1.2267547332779891,,
ASO433-456_total_20210622,A4,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.2998983804102,28.1635698742256,7.136328506184597,,,,-0.5593974894067877,-0.11422320397218755,1.0823920919207572
