Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO481-504_total_20210623,G1,Naïve_P41,Naïve_P41,28.2168147857253,21.6112433071202,6.6055714786051,7.048396354313912,0.2355724553802256,-0.442824875708812,-0.4311706908286463,1.348327248110569
ASO481-504_total_20210623,G2,Naïve_P41,Naïve_P41,28.1096462987341,21.539229018495,6.5704172802390985,,,-0.4779790740748133,,
ASO481-504_total_20210623,G3,Naïve_P41,Naïve_P41,28.1141765349682,21.4384883033566,6.675688231611598,,,-0.37270812270231346,,
ASO481-504_total_20210623,G4,Naïve_P41,Naïve_P41,28.6849486978121,21.6301373158131,7.054811381998999,,,0.006415027685086727,-0.03685350412641242,1.0258739695206092
ASO481-504_total_20210623,G5,Naïve_P41,Naïve_P41,28.5545957385445,21.6161336113113,6.938462127233198,,,-0.10993422708071421,,
ASO481-504_total_20210623,G6,Naïve_P41,Naïve_P41,28.6938543598187,21.6524993184884,7.041355041330302,,,-0.007041312983609771,,
ASO481-504_total_20210623,G7,Naïve_P41,Naïve_P41,28.7847172498988,21.5626922800348,7.222024969864002,,,0.1736286155500899,0.23700080005758886,0.8485074311594686
ASO481-504_total_20210623,G8,Naïve_P41,Naïve_P41,28.94347776255,21.5476636646949,7.3958140978551015,,,0.3474177435411896,,
ASO481-504_total_20210623,G9,Naïve_P41,Naïve_P41,28.7684444293943,21.5300920339989,7.238352395395399,,,0.18995604108148711,,
ASO481-504_total_20210623,H1,Naïve_P41,Naïve_P41,29.1725745898466,21.9932287988036,7.179345791043001,,,0.13094943672908954,0.16339004148005523,0.8929244121085387
ASO481-504_total_20210623,H2,Naïve_P41,Naïve_P41,29.2225936219758,21.9998100325779,7.222783589397899,,,0.17438723508398724,,
ASO481-504_total_20210623,H3,Naïve_P41,Naïve_P41,29.1360782332453,21.9028484263043,7.233229806941001,,,0.18483345262708895,,
ASO481-504_total_20210623,H4,Naïve_P41,Naïve_P41,29.6114420830946,22.6513106677664,6.960131415328203,,,-0.08826493898570931,-0.08613690646137684,1.061523938893839
ASO481-504_total_20210623,H5,Naïve_P41,Naïve_P41,29.5629872632751,22.6266737674265,6.9363134958486015,,,-0.11208285846531041,,
ASO481-504_total_20210623,H6,Naïve_P41,Naïve_P41,29.5633496089002,22.5730161765194,6.990333432380801,,,-0.0580629219331108,,
ASO481-504_total_20210623,H7,Naïve_P41,Naïve_P41,29.0692607449948,21.8423576176496,7.226903127345199,,,0.17850677303128748,0.15377025987878787,0.898898259114489
ASO481-504_total_20210623,H8,Naïve_P41,Naïve_P41,28.9660949057926,21.8183047094265,7.147790196366099,,,0.09939384205218715,,
ASO481-504_total_20210623,H9,Naïve_P41,Naïve_P41,29.0558646823836,21.8240581635168,7.231806518866801,,,0.18341016455288894,,
ASO481-504_total_20210623,G10,Ionis1375651_10_P41,Ionis1375651_10uM_P41,36.2496247098521,26.8460538791149,9.403570830737198,,,2.3551744764232865,2.267905607710888,0.20763109041320216
ASO481-504_total_20210623,G11,Ionis1375651_10_P41,Ionis1375651_10uM_P41,36.5033746385522,26.9216194867773,9.581755151774903,,,2.5333587974609912,,
ASO481-504_total_20210623,G12,Ionis1375651_10_P41,Ionis1375651_10uM_P41,35.8017101225132,26.8381302189509,8.963579903562298,,,1.9151835492483862,,
ASO481-504_total_20210623,H10,Ionis1375651_10_P41,Ionis1375651_10uM_P41,39.4798752385273,28.6397691174114,10.840106121115898,,,3.7917097668019863,2.6011207084240358,0.16481041176113284
ASO481-504_total_20210623,H11,Ionis1375651_10_P41,Ionis1375651_10uM_P41,37.0597028492862,28.6007748449262,8.458928004359997,,,1.4105316500460852,,
ASO481-504_total_20210623,H12,Ionis1375651_10_P41,Ionis1375651_10uM_P41, ,28.5419581518991,,,,,,
ASO481-504_total_20210623,G13,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.1791653808078,26.0557323136479,9.123433067159901,,,2.0750367128459892,2.3485595104574224,0.19634196844931723
ASO481-504_total_20210623,G14,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.7702173173841,25.984756496932,9.785460820452101,,,2.7370644661381895,,
ASO481-504_total_20210623,G15,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.3121323476619,26.0301586409599,9.281973706702,,,2.233577352388089,,
ASO481-504_total_20210623,H13,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.9732293621995,26.5560921724974,9.417137189702096,,,2.3687408353881843,2.501799058191253,0.17655639000654946
ASO481-504_total_20210623,H14,Ionis1375651_3_P41,Ionis1375651_3uM_P41,35.5795787291851,26.5922569237173,8.9873218054678,,,1.9389254511538887,,
ASO481-504_total_20210623,H15,Ionis1375651_3_P41,Ionis1375651_3uM_P41,36.7884839626083,26.5423567202627,10.246127242345597,,,3.1977308880316855,,
ASO481-504_total_20210623,G16,Ionis676630_10_P41,Ionis676630_10uM_P41,34.1222534408717,26.3137228051435,7.808530635728204,,,0.7601342814142917,1.033486098912988,0.4885282516951158
ASO481-504_total_20210623,G17,Ionis676630_10_P41,Ionis676630_10uM_P41,34.3087719247173,26.2088370462838,8.099934878433498,,,1.0515385241195858,,
ASO481-504_total_20210623,G18,Ionis676630_10_P41,Ionis676630_10uM_P41,34.6276916290664,26.2905097835474,8.337181845518998,,,1.2887854912050862,,
ASO481-504_total_20210623,H16,Ionis676630_10_P41,Ionis676630_10uM_P41,35.9785284354218,28.907472317342,7.071056118079802,,,0.022659763765890517,-0.05213781883651336,1.036800140498023
ASO481-504_total_20210623,H17,Ionis676630_10_P41,Ionis676630_10uM_P41,35.8661041533237,28.9099297185032,6.956174434820497,,,-0.09222191949341507,,
ASO481-504_total_20210623,H18,Ionis676630_10_P41,Ionis676630_10uM_P41,35.8556845143158,28.8941394607839,6.961545053531896,,,-0.08685130078201553,,
ASO481-504_total_20210623,A1,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,35.0494129040473,26.3477408251035,8.701672078943801,,,1.6532757246298893,1.4202030098803238,0.37365972865909913
ASO481-504_total_20210623,A2,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.7572033655125,26.4216781734883,8.335525192024203,,,1.2871288377102914,,
ASO481-504_total_20210623,A3,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.757261585381,26.3886607637663,8.368600821614702,,,1.3202044673007904,,
ASO481-504_total_20210623,A4,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.8338275112009,26.491944155484,8.341883355716902,,,1.2934870014029904,1.385435172037288,0.38277402256413684
ASO481-504_total_20210623,A5,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.9356311400599,26.4204740158042,8.515157124255698,,,1.4667607699417857,,
ASO481-504_total_20210623,A6,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.8472172524992,26.4027631534182,8.444454099081,,,1.3960577447670879,,
ASO481-504_total_20210623,A7,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.4026563393884,24.0418644149084,8.36079192448,,,1.312395570166089,1.3775639097723555,0.38486812336034154
ASO481-504_total_20210623,A8,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.5569341687726,23.9563241727714,8.6006099960012,,,1.5522136416872883,,
ASO481-504_total_20210623,A9,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.2722739953631,23.9557951235855,8.316478871777601,,,1.2680825174636894,,
ASO481-504_total_20210623,A10,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.1114894128533,23.3993185660582,8.712170846795104,,,1.663774492481192,1.6017272354415901,0.32948227593599244
ASO481-504_total_20210623,A11,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,31.7544357753797,23.3085724102482,8.445863365131501,,,1.3974670108175893,,
ASO481-504_total_20210623,A12,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.1028164695063,23.3104799121664,8.792336557339901,,,1.7439402030259892,,
ASO481-504_total_20210623,B1,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.2228736610248,25.8400304205363,9.382843240488498,,,2.334446886174586,2.5367085273423213,0.17233545813235362
ASO481-504_total_20210623,B2,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.7008086574638,25.8359253574639,9.864883299999903,,,2.816486945685991,,
ASO481-504_total_20210623,B3,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.2344256716414,25.7268375671611,9.507588104480298,,,2.4591917501663865,,
ASO481-504_total_20210623,B4,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.8491285349713,26.546698915415,9.3024296195563,,,2.254033265242388,2.399099556614356,0.1895828601026865
ASO481-504_total_20210623,B5,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,36.0609532943295,26.4256084506386,9.635344843690902,,,2.58694848937699,,
ASO481-504_total_20210623,B6,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.774083708793,26.3693704392554,9.404713269537602,,,2.3563169152236902,,
ASO481-504_total_20210623,B7,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,34.3527708872837,24.5673964862767,9.785374401006997,,,2.7369780466930855,2.5445487392689885,0.1714014549173856
ASO481-504_total_20210623,B8,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,34.3924904617077,24.5261941038871,9.866296357820602,,,2.81790000350669,,
ASO481-504_total_20210623,B9,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,33.6224568144773,24.4952922925562,9.127164521921102,,,2.0787681676071905,,
ASO481-504_total_20210623,B10,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,33.1150650116778,24.2275561572152,8.887508854462599,,,1.839112500148687,1.9198186457815194,0.26428773038513753
ASO481-504_total_20210623,B11,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,33.3899845971379,24.1957552858346,9.194229311303296,,,2.145832956989384,,
ASO481-504_total_20210623,B12,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,32.967711254449,24.1448044199286,8.8229068345204,,,1.7745104802064873,,
ASO481-504_total_20210623,C1,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.0861775233824,25.5533277724265,8.532849750955904,,,1.4844533966419924,1.483720261230123,0.3575655718834298
ASO481-504_total_20210623,C2,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.0694161019506,25.4814484887626,8.587967613188003,,,1.5395712588740906,,
ASO481-504_total_20210623,C3,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,33.9560610373321,25.4805285548439,8.475532482488198,,,1.4271361281742863,,
ASO481-504_total_20210623,C4,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,35.0390765921687,26.3336583401975,8.7054182519712,,,1.6570218976572875,1.46630673794449,0.36190758809843343
ASO481-504_total_20210623,C5,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.7748758475494,26.2510287120536,8.523847135495803,,,1.475450781181891,,
ASO481-504_total_20210623,C6,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.5179188667552,26.203074977447,8.314843889308204,,,1.2664475349942919,,
ASO481-504_total_20210623,C7,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.7028631111781,24.2379445336521,8.464918577525996,,,1.416522223212084,1.3243813468066865,0.3993203921279101
ASO481-504_total_20210623,C8,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.4156889476174,24.1677887469281,8.247900200689298,,,1.1995038463753858,,
ASO481-504_total_20210623,C9,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.5739807970712,24.1684664719247,8.405514325146502,,,1.35711797083259,,
ASO481-504_total_20210623,C10,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,33.078072069845,23.9515585163559,9.1265135534891,,,2.078117199175189,2.07066113184059,0.23805038514408208
ASO481-504_total_20210623,C11,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,33.0584501745681,23.9114727383407,9.146977436227402,,,2.0985810819134905,,
ASO481-504_total_20210623,C12,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.9810563579014,23.8973748891544,9.083681468747002,,,2.0352851144330906,,
ASO481-504_total_20210623,D1,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,32.0719906978252,24.6031047145705,7.468885983254701,,,0.4204896289407891,0.39923349091185517,0.7582610430838798
ASO481-504_total_20210623,D2,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,31.8927452117049,24.5900708395451,7.3026743721597995,,,0.25427801784588766,,
ASO481-504_total_20210623,D3,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,32.1086828826132,24.5373537023504,7.571329180262801,,,0.5229328259488888,,
ASO481-504_total_20210623,D4,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,31.9545280359611,24.3305507784974,7.6239772574637,,,0.5755809031497883,0.6125575372562532,0.6540362310633935
ASO481-504_total_20210623,D5,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,31.8614120665521,24.3062497645028,7.555162302049297,,,0.506765947735385,,
ASO481-504_total_20210623,D6,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,32.0786191127878,24.2748969975903,7.803722115197498,,,0.7553257608835864,,
