Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO481-504_total_20210623,O1,Naïve_P42,Naïve_P42,28.236703322305,21.7157215340392,6.5209817882658,6.709034217860277,0.1369866467622447,-0.1880524295944772,-0.10372492171267715,1.074544270245894
ASO481-504_total_20210623,O2,Naïve_P42,Naïve_P42,28.271190314214,21.6356061016113,6.635584212602698,,,-0.0734500052575795,,
ASO481-504_total_20210623,O3,Naïve_P42,Naïve_P42,28.2873435541196,21.6279816665453,6.659361887574303,,,-0.04967233028597473,,
ASO481-504_total_20210623,O4,Naïve_P42,Naïve_P42,28.3279376517831,21.7881858082614,6.5397518435216995,,,-0.16928237433857785,-0.12498526832464456,1.090496597308572
ASO481-504_total_20210623,O5,Naïve_P42,Naïve_P42,28.3448146649233,21.7484699797592,6.596344685164102,,,-0.11268953269617565,,
ASO481-504_total_20210623,O6,Naïve_P42,Naïve_P42,28.3830802564687,21.7670299365476,6.616050319921097,,,-0.09298389793918016,,
ASO481-504_total_20210623,O7,Naïve_P42,Naïve_P42,28.5305449047774,21.6247034237462,6.905841481031199,,,0.19680726317092212,0.20308530170205655,0.868690820867674
ASO481-504_total_20210623,O8,Naïve_P42,Naïve_P42,28.5795774618115,21.5609886306509,7.018588831160599,,,0.30955461330032197,,
ASO481-504_total_20210623,O9,Naïve_P42,Naïve_P42,28.3858403937453,21.5739121472501,6.811928246495203,,,0.10289402863492558,,
ASO481-504_total_20210623,P1,Naïve_P42,Naïve_P42,28.6840491069938,22.0310166604246,6.653032446569199,,,-0.056001771291078306,-0.09514739502044407,1.0681745340657358
ASO481-504_total_20210623,P2,Naïve_P42,Naïve_P42,28.5187704073014,21.9308937003461,6.587876706955299,,,-0.12115751090497806,,
ASO481-504_total_20210623,P3,Naïve_P42,Naïve_P42,28.481233126622,21.880481811627,6.6007513149950015,,,-0.10828290286527587,,
ASO481-504_total_20210623,P4,Naïve_P42,Naïve_P42,28.4854673185713,21.7355670807789,6.749900237792399,,,0.04086601993212202,-0.0019265587524447032,1.0013362807960444
ASO481-504_total_20210623,P5,Naïve_P42,Naïve_P42,28.4024157371211,21.6909913505343,6.711424386586799,,,0.0023901687265217575,,
ASO481-504_total_20210623,P6,Naïve_P42,Naïve_P42,28.3067577680807,21.6467594151364,6.659998352944299,,,-0.04903586491597789,,
ASO481-504_total_20210623,P7,Naïve_P42,Naïve_P42,28.4768953843022,21.6129336986466,6.8639616856556,,,0.1549274677953223,0.12269884210815689,0.9184678694679885
ASO481-504_total_20210623,P8,Naïve_P42,Naïve_P42,28.3463181951839,21.5428488172481,6.8034693779358015,,,0.09443516007552422,,
ASO481-504_total_20210623,P9,Naïve_P42,Naïve_P42,28.3483318797207,21.5205637634068,6.8277681163139015,,,0.11873389845362414,,
ASO481-504_total_20210623,O10,Ionis1375651_10_P42,Ionis1375651_10uM_P42,33.3029808928698,25.3008614485974,8.002119444272399,,,1.2930852264121215,1.102758040076422,0.4656254952062007
ASO481-504_total_20210623,O11,Ionis1375651_10_P42,Ionis1375651_10uM_P42,33.1315468666135,25.3626258787989,7.768920987814596,,,1.0598867699543186,,
ASO481-504_total_20210623,O12,Ionis1375651_10_P42,Ionis1375651_10uM_P42,33.006749354348,25.3424130126249,7.664336341723104,,,0.9553021238628263,,
ASO481-504_total_20210623,P10,Ionis1375651_10_P42,Ionis1375651_10uM_P42, ,27.4824349211697,,,,,4.149783007588073,0.05633662673721582
ASO481-504_total_20210623,P11,Ionis1375651_10_P42,Ionis1375651_10uM_P42,40,27.332581887339,12.667418112661,,,5.958383894800723,,
ASO481-504_total_20210623,P12,Ionis1375651_10_P42,Ionis1375651_10uM_P42,36.432773699779,27.3825573615433,9.0502163382357,,,2.3411821203754224,,
ASO481-504_total_20210623,O13,Ionis1375651_3_P42,Ionis1375651_3uM_P42,32.8360448124668,24.0970942612742,8.738950551192602,,,2.0299163333323245,2.3636762565554905,0.19429541255553792
ASO481-504_total_20210623,O14,Ionis1375651_3_P42,Ionis1375651_3uM_P42,33.1802863433321,24.0860379856852,9.0942483576469,,,2.3852141397866236,,
ASO481-504_total_20210623,O15,Ionis1375651_3_P42,Ionis1375651_3uM_P42,33.4318381830682,24.0469056686604,9.3849325144078,,,2.6758982965475235,,
ASO481-504_total_20210623,P13,Ionis1375651_3_P42,Ionis1375651_3uM_P42,34.5699014091872,25.1001367785962,9.469764630591001,,,2.760730412730724,2.704538397734557,0.15340969901288745
ASO481-504_total_20210623,P14,Ionis1375651_3_P42,Ionis1375651_3uM_P42,34.5180833621894,25.1203892298617,9.3976941323277,,,2.688659914467423,,
ASO481-504_total_20210623,P15,Ionis1375651_3_P42,Ionis1375651_3uM_P42,34.3269958148653,24.9537367309995,9.3732590838658,,,2.664224866005523,,
ASO481-504_total_20210623,O16,Ionis676630_10_P42,Ionis676630_10uM_P42,35.2983387319237,27.0541200744376,8.244218657486101,,,1.5351844396258238,1.2394883521599889,0.4235228307607091
ASO481-504_total_20210623,O17,Ionis676630_10_P42,Ionis676630_10uM_P42,34.9185575812436,26.9980931767662,7.920464404477396,,,1.211430186617119,,
ASO481-504_total_20210623,O18,Ionis676630_10_P42,Ionis676630_10uM_P42,34.6899693181917,27.0090846700944,7.680884648097301,,,0.9718504302370237,,
ASO481-504_total_20210623,P16,Ionis676630_10_P42,Ionis676630_10uM_P42,35.4612549462209,28.5756377219693,6.885617224251597,,,0.1765830063913194,0.542984548032354,0.6863495667267548
ASO481-504_total_20210623,P17,Ionis676630_10_P42,Ionis676630_10uM_P42,35.8441555220763,28.5619712915575,7.282184230518798,,,0.5731500126585205,,
ASO481-504_total_20210623,P18,Ionis676630_10_P42,Ionis676630_10uM_P42,36.0784514575004,28.4901966145929,7.588254842907499,,,0.8792206250472221,,
ASO481-504_total_20210623,I1,ASO493_10,KQ2073_L21_7-08-6_10uM_P42,33.0874556136509,26.5638087411746,6.523646872476302,,,-0.18538734538397517,0.04531050850072275,0.9690812209860088
ASO481-504_total_20210623,I2,ASO493_10,KQ2073_L21_7-08-6_10uM_P42,33.8253969644355,26.4917185509388,7.333678413496699,,,0.6246441956364217,,
ASO481-504_total_20210623,I3,ASO493_10,KQ2073_L21_7-08-6_10uM_P42,32.8421740821424,26.4364651890324,6.405708893109999,,,-0.3033253247502783,,
ASO481-504_total_20210623,I4,ASO493_10,KQ2073_L21_7-08-6_10uM_P42,33.902115661246,26.2787073744136,7.623408286832401,,,0.9143740689721236,0.8935754529857904,0.5382784402036075
ASO481-504_total_20210623,I5,ASO493_10,KQ2073_L21_7-08-6_10uM_P42,34.0948776059247,26.1666411716843,7.9282364342404,,,1.2192022163801228,,
ASO481-504_total_20210623,I6,ASO493_10,KQ2073_L21_7-08-6_10uM_P42,33.4179433723961,26.1617590809307,7.256184291465402,,,0.5471500736051249,,
