Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
ASO1-24_total_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.4150871618392823,1.0
ASO1-24_total_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.330305898826623,1.0
ASO1-24_total_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.4809895083792955,1.0
ASO1-24_total_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1303407653078057,1.0
ASO1-24_total_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1,,1.0
ASO1-24_total_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.0759954696731189,1.0
ASO1-24_MT_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.3235034867459249,1.0
ASO1-24_MT_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.4786722641692588,1.0
ASO1-24_MT_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.425241768054363,1.0
ASO1-24_MT_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.0768696971207428,1.0
ASO1-24_MT_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.0809038254146502,1.0
ASO1-24_MT_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.0349787926507536,1.0
ASO1-24_WT_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.311907360866417,1.0
ASO1-24_WT_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.4518449172138759,1.0
ASO1-24_WT_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.3887509981663269,1.0
ASO1-24_WT_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.2805506325002421,1.0
ASO1-24_WT_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.2202599548629489,1.0
ASO1-24_WT_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1773891467172443,1.0
ASO1-24_total_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1289834304832975,1.0
ASO1-24_total_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1116212237330984,1.0
ASO1-24_total_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1254188840127537,1.0
ASO1-24_total_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.608950978660775,1.0
ASO1-24_total_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.5716641697216117,1.0
ASO1-24_total_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.5143464205816709,1.0
ASO1-24_MT_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1791482131486622,1.0
ASO1-24_MT_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1530566175549697,1.0
ASO1-24_MT_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1585419809568877,1.0
ASO1-24_MT_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.3812610756628881,1.0
ASO1-24_MT_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.6648309233595396,1.0
ASO1-24_MT_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.539488534188647,1.0
ASO1-24_WT_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1811493193426075,1.0
ASO1-24_WT_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1912462972233669,1.0
ASO1-24_WT_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1653672851718452,1.0
ASO1-24_WT_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.5819251954201098,1.0
ASO1-24_WT_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.642848391464339,1.0
ASO1-24_WT_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.694601696758779,1.0
ASO1-24_total_20210611,G16,Ionis676630_10_P1,Ionis676630_10_P1,0.7918139320938083,1.0
ASO1-24_total_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,0.9004111624779086,1.0
ASO1-24_total_20210611,G18,Ionis676630_10_P1,Ionis676630_10_P1,1.127687271886892,1.0
ASO1-24_total_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,0.6188689999610979,1.0
ASO1-24_total_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,0.5518119447915663,1.0
ASO1-24_total_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,0.3413758758903568,1.0
ASO1-24_MT_20210611,G16,Ionis676630_10_P1,Ionis676630_10_P1,1.2934499803761446,1.0
ASO1-24_MT_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,0.756002842880257,1.0
ASO1-24_MT_20210611,G18,Ionis676630_10_P1,Ionis676630_10_P1,1.346790753782554,1.0
ASO1-24_MT_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,0.739491162199143,1.0
ASO1-24_MT_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,0.3811796292967617,1.0
ASO1-24_MT_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,0.6042075614897691,1.0
ASO1-24_WT_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,1.5342373723831069,1.0
ASO1-24_WT_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,0.8399314227114824,1.0
ASO1-24_WT_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,0.6245782667972642,1.0
ASO1-24_WT_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,0.7768651026515649,1.0
ASO1-24_total_20210611,G1,Naive_P1,Naive_P1,1.00960989203797,1.0
ASO1-24_total_20210611,G2,Naive_P1,Naive_P1,1.0599734685949624,1.0
ASO1-24_total_20210611,G3,Naive_P1,Naive_P1,0.958998605287026,1.0
ASO1-24_total_20210611,G4,Naive_P1,Naive_P1,1.0077386347185544,1.0
ASO1-24_total_20210611,G5,Naive_P1,Naive_P1,1.0377546822781338,1.0
ASO1-24_total_20210611,G6,Naive_P1,Naive_P1,1.0083164220939278,1.0
ASO1-24_total_20210611,G7,Naive_P1,Naive_P1,1.2335309596594073,1.0
ASO1-24_total_20210611,G8,Naive_P1,Naive_P1,1.251281417013132,1.0
ASO1-24_total_20210611,G9,Naive_P1,Naive_P1,1.1463881423035172,1.0
ASO1-24_total_20210611,H1,Naive_P1,Naive_P1,0.9676889962567714,1.0
ASO1-24_total_20210611,H2,Naive_P1,Naive_P1,0.8777146176118122,1.0
ASO1-24_total_20210611,H3,Naive_P1,Naive_P1,0.9130495582330236,1.0
ASO1-24_total_20210611,H4,Naive_P1,Naive_P1,0.8468748401713869,1.0
ASO1-24_total_20210611,H5,Naive_P1,Naive_P1,0.7694985942870141,1.0
ASO1-24_total_20210611,H6,Naive_P1,Naive_P1,0.7975028228160551,1.0
ASO1-24_total_20210611,H7,Naive_P1,Naive_P1,1.1131852931278907,1.0
ASO1-24_total_20210611,H8,Naive_P1,Naive_P1,1.0641007739641253,1.0
ASO1-24_total_20210611,H9,Naive_P1,Naive_P1,1.0938663269143658,1.0
ASO1-24_MT_20210611,G1,Naive_P1,Naive_P1,1.0125542146563662,1.0
ASO1-24_MT_20210611,G2,Naive_P1,Naive_P1,1.0278630793882622,1.0
ASO1-24_MT_20210611,G3,Naive_P1,Naive_P1,1.0493937356995788,1.0
ASO1-24_MT_20210611,G4,Naive_P1,Naive_P1,1.055855855884043,1.0
ASO1-24_MT_20210611,G5,Naive_P1,Naive_P1,1.0567321224586808,1.0
ASO1-24_MT_20210611,G6,Naive_P1,Naive_P1,1.0835834391376002,1.0
ASO1-24_MT_20210611,G7,Naive_P1,Naive_P1,1.157448502360476,1.0
ASO1-24_MT_20210611,G8,Naive_P1,Naive_P1,1.195627975455162,1.0
ASO1-24_MT_20210611,G9,Naive_P1,Naive_P1,1.193919688411857,1.0
ASO1-24_MT_20210611,H1,Naive_P1,Naive_P1,0.9355361609767492,1.0
ASO1-24_MT_20210611,H2,Naive_P1,Naive_P1,0.963260043995144,1.0
ASO1-24_MT_20210611,H3,Naive_P1,Naive_P1,0.862745102076193,1.0
ASO1-24_MT_20210611,H4,Naive_P1,Naive_P1,0.7537783719450313,1.0
ASO1-24_MT_20210611,H5,Naive_P1,Naive_P1,0.7773816381105488,1.0
ASO1-24_MT_20210611,H6,Naive_P1,Naive_P1,,1.0
ASO1-24_MT_20210611,H7,Naive_P1,Naive_P1,1.1610792670125454,1.0
ASO1-24_MT_20210611,H8,Naive_P1,Naive_P1,1.1076650467713822,1.0
ASO1-24_MT_20210611,H9,Naive_P1,Naive_P1,1.0460166749607969,1.0
ASO1-24_WT_20210611,G1,Naive_P1,Naive_P1,0.9262532924040898,1.0
ASO1-24_WT_20210611,G2,Naive_P1,Naive_P1,0.9476724369145816,1.0
ASO1-24_WT_20210611,G3,Naive_P1,Naive_P1,1.0477570692938518,1.0
ASO1-24_WT_20210611,G4,Naive_P1,Naive_P1,1.0562615587403543,1.0
ASO1-24_WT_20210611,G5,Naive_P1,Naive_P1,1.0481277799543618,1.0
ASO1-24_WT_20210611,G6,Naive_P1,Naive_P1,1.074319369373939,1.0
ASO1-24_WT_20210611,G7,Naive_P1,Naive_P1,1.2449113109142067,1.0
ASO1-24_WT_20210611,G8,Naive_P1,Naive_P1,1.1345824086762497,1.0
ASO1-24_WT_20210611,G9,Naive_P1,Naive_P1,1.2244396370987958,1.0
ASO1-24_WT_20210611,H1,Naive_P1,Naive_P1,0.9379476258855846,1.0
ASO1-24_WT_20210611,H2,Naive_P1,Naive_P1,0.9880072142940156,1.0
ASO1-24_WT_20210611,H3,Naive_P1,Naive_P1,0.962278591941916,1.0
ASO1-24_WT_20210611,H4,Naive_P1,Naive_P1,,1.0
ASO1-24_WT_20210611,H5,Naive_P1,Naive_P1,0.7469112401226503,1.0
ASO1-24_WT_20210611,H6,Naive_P1,Naive_P1,0.798843737684701,1.0
ASO1-24_WT_20210611,H7,Naive_P1,Naive_P1,1.154962858207354,1.0
ASO1-24_WT_20210611,H8,Naive_P1,Naive_P1,1.0782849494395743,1.0
ASO1-24_WT_20210611,H9,Naive_P1,Naive_P1,1.1132506567616072,1.0
ASO1-24_total_20210611,O10,Ionis1375651_10_P2,Ionis1375651_10_P2,0.4392973636203007,2.0
ASO1-24_total_20210611,O11,Ionis1375651_10_P2,Ionis1375651_10_P2,0.409872623599251,2.0
ASO1-24_total_20210611,O12,Ionis1375651_10_P2,Ionis1375651_10_P2,0.5528811145753931,2.0
ASO1-24_total_20210611,P10,Ionis1375651_10_P2,Ionis1375651_10_P2,0.227233753890053,2.0
