Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
ASO1-24_total_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1289834304832975,1.0
ASO1-24_total_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1116212237330984,1.0
ASO1-24_total_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1254188840127537,1.0
ASO1-24_total_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.608950978660775,1.0
ASO1-24_total_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.5716641697216117,1.0
ASO1-24_total_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.5143464205816709,1.0
ASO1-24_MT_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1791482131486622,1.0
ASO1-24_MT_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1530566175549697,1.0
ASO1-24_MT_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1585419809568877,1.0
ASO1-24_MT_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.3812610756628881,1.0
ASO1-24_MT_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.6648309233595396,1.0
ASO1-24_MT_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.539488534188647,1.0
ASO1-24_WT_20210611,G13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1811493193426075,1.0
ASO1-24_WT_20210611,G14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1912462972233669,1.0
ASO1-24_WT_20210611,G15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.1653672851718452,1.0
ASO1-24_WT_20210611,H13,Ionis1375651_3_P1,Ionis1375651_3_P1,0.5819251954201098,1.0
ASO1-24_WT_20210611,H14,Ionis1375651_3_P1,Ionis1375651_3_P1,0.642848391464339,1.0
ASO1-24_WT_20210611,H15,Ionis1375651_3_P1,Ionis1375651_3_P1,0.694601696758779,1.0
ASO1-24_total_20210611,O13,Ionis1375651_3_P2,Ionis1375651_3_P2,0.5156130304128325,2.0
