SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
ASO365_10,KQJM101_L21_7-08-6_10uM_P31,31.0,0.061479054538644495,0.11045095439957063,000010
ASO468_10,KQ2048_L21_7-08-6_10uM_P39,39.0,0.08890662038625519,0.11949560590367621,000010
ASO65_10,KQ980_10,6.0,0.0850540353121732,0.34776042275040703,000030
ASO218_10,KQ501_L20_5-10-5_10uM_P19,19.0,0.12428106646652513,0.15754117063490597,010010
ASO219_10,KQ500_L20_5-10-5_10uM_P19,19.0,0.14904018246663367,0.17193129926172424,010010
ASO368_10,KQJM105_L19_6-08-5_10uM_P31,31.0,0.15089513452264647,0.1743182531477028,010010
ASO62_10,KQ830_10,6.0,0.19097674955696115,0.18595203677114985,010010
ASO350_10,KQJM096_L17_4-10-3_10uM_P30,30.0,0.19705500881278507,0.2415582297313789,010020
ASO482_10,KQ2062_L21_7-08-6_10uM_P41,41.0,0.18427720558111313,0.2930528923566233,010020
ASO61_10,KQ920_10,6.0,0.14214847750336707,0.2327183585093906,010020
ASO66_10,KQ928_10,6.0,0.12400479972229107,0.2513279962840728,010020
ASO364_10,KQJM100_L22_6-10-6_10uM_P31,31.0,0.17111294332386903,0.32082877895199563,010030
ASO506_10,KQ2086_L19_6-08-5_10uM_P43,43.0,0.1316896691112294,0.3435202731315274,010030
ASO485_10,KQ2065_L20_6-08-6_10uM_P41,41.0,0.19997775373425408,0.4068674532949777,010040
ASO208_10,KQ272_10,18.0,0.21216410585651033,0.26672217213647215,020020
ASO343_10,KQJM089_L18_4-10-4_10uM_P29,29.0,0.2726995962962425,0.21488010434859897,020020
ASO346_10,KQJM092_L21_6-10-5_10uM_P29,29.0,0.2417666745893247,0.2917848093041268,020020
ASO347_10,KQJM093_L17_4-10-3_10uM_P29,29.0,0.24683441538685277,0.2762151006887436,020020
ASO348_10,KQJM094_L19_5-10-4_10uM_P29,29.0,0.24515828301509435,0.2873030218499967,020020
ASO429_10,KQ2009_L21_6-10-5_10uM_P36,36.0,0.22246472016675378,0.26928975821848566,020020
ASO63_10,KQ919_10,6.0,0.21804891237312404,0.2564542380982434,020020
ASO213_10,KQ493_10,18.0,0.27217211028376037,0.3728864693641793,020030
ASO220_10,KQ499_L20_5-10-5_10uM_P19,19.0,0.2245780356667909,0.35166457905547555,020030
ASO255_10,KQ107_L20_5-10-5_10uM_P22,22.0,0.2904369348949867,0.3340873355847466,020030
ASO338_10,KQJM084_L18_4-10-4_10uM_P29,29.0,0.23946868233760235,0.3178498106821613,020030
ASO341_10,KQJM087_L18_4-10-4_10uM_P29,29.0,0.2397856658850553,0.36434072342329227,020030
ASO342_10,KQJM088_L17_4-10-3_10uM_P29,29.0,0.26308836594161517,0.3240107279076918,020030
