Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
ASO1-24_total_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.6158761853288781,1.0
ASO1-24_total_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.490083904449283,1.0
ASO1-24_total_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.7136573010141671,1.0
ASO1-24_total_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1933901616588643,1.0
ASO1-24_total_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1,,1.0
ASO1-24_total_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1127565587843425,1.0
ASO1-24_MT_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.4150259914869868,1.0
ASO1-24_MT_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.6140936316714058,1.0
ASO1-24_MT_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.5455470918835914,1.0
ASO1-24_MT_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.0986169348087948,1.0
ASO1-24_MT_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1037923600006707,1.0
ASO1-24_MT_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.044874657293256,1.0
ASO1-24_WT_20210611,G10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.2693336241281713,1.0
ASO1-24_WT_20210611,G11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.3901704299605382,1.0
ASO1-24_WT_20210611,G12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.3356885035631561,1.0
ASO1-24_WT_20210611,H10,Ionis1375651_10_P1,Ionis1375651_10_P1,0.2422569265208919,1.0
ASO1-24_WT_20210611,H11,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1901956136230858,1.0
ASO1-24_WT_20210611,H12,Ionis1375651_10_P1,Ionis1375651_10_P1,0.1531764483968721,1.0
ASO1-24_total_20210611,G16,Ionis676630_10_P1,Ionis676630_10_P1,1.1748360075202977,1.0
ASO1-24_total_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,1.3359646911680398,1.0
ASO1-24_total_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,0.918232877223784,1.0
ASO1-24_total_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,0.8187384887339038,1.0
ASO1-24_total_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,0.5065087324672846,1.0
ASO1-24_MT_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,0.9698839186848788,1.0
ASO1-24_MT_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,0.9487009116183184,1.0
ASO1-24_MT_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,0.4890193152934338,1.0
ASO1-24_MT_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,0.7751441716860714,1.0
ASO1-24_WT_20210611,G17,Ionis676630_10_P1,Ionis676630_10_P1,1.3248219299120627,1.0
ASO1-24_WT_20210611,H16,Ionis676630_10_P1,Ionis676630_10_P1,0.7252851406571973,1.0
ASO1-24_WT_20210611,H17,Ionis676630_10_P1,Ionis676630_10_P1,0.5393265733803694,1.0
ASO1-24_WT_20210611,H18,Ionis676630_10_P1,Ionis676630_10_P1,0.6708270461288048,1.0
ASO1-24_total_20210611,O10,Ionis1375651_10_P2,Ionis1375651_10_P2,0.5375547726761734,2.0
ASO1-24_total_20210611,O11,Ionis1375651_10_P2,Ionis1375651_10_P2,0.5015486166120491,2.0
ASO1-24_total_20210611,O12,Ionis1375651_10_P2,Ionis1375651_10_P2,0.6765437411534478,2.0
ASO1-24_total_20210611,P10,Ionis1375651_10_P2,Ionis1375651_10_P2,0.2780590074797257,2.0
ASO1-24_total_20210611,P11,Ionis1375651_10_P2,Ionis1375651_10_P2,0.5299750171559906,2.0
ASO1-24_total_20210611,P12,Ionis1375651_10_P2,Ionis1375651_10_P2,0.4538523519833692,2.0
ASO1-24_WT_20210611,O10,Ionis1375651_10_P2,Ionis1375651_10_P2,0.5460553945945873,2.0
