SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
ASO506_10,KQ2086_L19_6-08-5_10uM_P43,43.0,0.05700407126972795,0.3435202731315274,000030
ASO218_10,KQ501_L20_5-10-5_10uM_P19,19.0,0.12031867938197839,0.20689249447842767,010020
ASO219_10,KQ500_L20_5-10-5_10uM_P19,19.0,0.14428841366648945,0.22579047267339356,010020
ASO365_10,KQJM101_L21_7-08-6_10uM_P31,31.0,0.14542140785700589,0.2962519759840797,010020
ASO508_10,KQ2088_L19_6-08-5_10uM_P43,43.0,0.17090142662052354,0.6379573794960295,010060
ASO511_10,KQ2091_L20_6-08-6_10uM_P43,43.0,0.1557132730514872,0.6793097189344299,010060
ASO512_10,KQ2092_L20_6-08-6_10uM_P43,43.0,0.16184698295334277,0.6435357201421609,010060
ASO65_10,KQ980_10,6.0,0.15867832313074773,0.7254712659402757,010070
ASO404_10,KQJM150_L20_6-08-6_10uM_P34,34.0,0.22807071882611937,0.20327736780349348,020020
ASO468_10,KQ2048_L21_7-08-6_10uM_P39,39.0,0.22304462621627877,0.2338965511714358,020020
ASO407_10,KQJM153_L18_5-08-5_10uM_P34,34.0,0.26175611813882566,0.3202121290324142,020030
ASO482_10,KQ2062_L21_7-08-6_10uM_P41,41.0,0.2522159230358405,0.33335785902661974,020030
ASO220_10,KQ499_L20_5-10-5_10uM_P19,19.0,0.21741793370356344,0.46182697314788806,020040
ASO485_10,KQ2065_L20_6-08-6_10uM_P41,41.0,0.27370489793170777,0.46282588118247436,020040
ASO61_10,KQ920_10,6.0,0.2651947313614975,0.48547928720607375,020040
ASO443_10,KQ2023_L21_6-10-5_10uM_P37,37.0,0.24764708937159438,0.5650591673621878,020050
ASO491_10,KQ2071_L20_6-08-6_10uM_P41,41.0,0.2997771922862293,0.5672111868637217,020050
ASO66_10,KQ928_10,6.0,0.2313455629456905,0.5243012939436787,020050
ASO442_10,KQ2022_L21_6-10-5_10uM_P37,37.0,0.21296790130972684,0.6255410138628824,020060
ASO255_10,KQ107_L20_5-10-5_10uM_P22,22.0,0.35386424248405124,0.39095022825669673,030030
ASO418_10,KQJM177_L17_5-08-4_10uM_P35,35.0,0.3457618534728499,0.36936639169042124,030030
ASO429_10,KQ2009_L21_6-10-5_10uM_P36,36.0,0.35222428046090504,0.38937272161634695,030030
ASO62_10,KQ830_10,6.0,0.3562896253591646,0.38791895424327966,030030
ASO368_10,KQJM105_L19_6-08-5_10uM_P31,31.0,0.35692453414784325,0.4675570910711908,030040
ASO441_10,KQ2021_L21_6-10-5_10uM_P37,37.0,0.30648797818175644,0.40236543554709203,030040
ASO431_10,KQ2011_L21_6-10-5_10uM_P36,36.0,0.38013382027045345,0.5325921367241933,030050
ASO483_10,KQ2063_L21_7-08-6_10uM_P41,41.0,0.3324938424531593,0.5823476234552377,030050
ASO490_10,KQ2070_L20_6-08-6_10uM_P41,41.0,0.39240058357816454,0.5885879368997268,030050
ASO217_10,KQ999_L20_5-10-5_10uM_P19,19.0,0.37237843331708137,0.6271293216162706,030060
ASO439_10,KQ2019_L21_6-10-5_10uM_P37,37.0,0.3465559535491149,0.7193733155086005,030070
ASO195_10,KQ956_10,17.0,0.3661214426709088,0.8441930637860615,030080
ASO197_10,KQ958_10,17.0,0.3976347040462222,0.9243354289233117,030090
ASO476_10,KQ2056_L21_7-08-6_10uM_P40,40.0,0.436297998051889,0.3931699899137712,040030
ASO80_10,KQ341_10,7.0,0.453364561805516,0.36373834888779216,040030
ASO82_10,KQ340_10,7.0,0.47939250573597864,0.30433355778387694,040030
ASO208_10,KQ272_10,18.0,0.4655230083682761,0.46777699701719655,040040
ASO428_10,KQ2008_L21_6-10-5_10uM_P36,36.0,0.41760956338802285,0.49537394822167213,040040
ASO59_10,KQ979_10,5.0,0.4303568635386865,0.4949759751612049,040040
ASO60_10,KQ921_10,5.0,0.4617134696914527,0.43716882687594816,040040
ASO324_10,KQJM065_L19_5-10-4_10uM_P27,27.0,0.43672526876927864,0.5477597581625552,040050
ASO427_10,KQ2007_L21_6-10-5_10uM_P36,36.0,0.4930795522946407,0.52968527651985,040050
ASO63_10,KQ919_10,6.0,0.40679593447694584,0.5349952685743441,040050
ASO383_10,KQJM174_L18_4-10-4_10uM_P32,32.0,0.4406884527741193,0.6859908733622971,040060
ASO410_10,KQJM163_L19_5-10-4_10uM_P35,35.0,0.42095758845266823,0.6394134062590425,040060
ASO475_10,KQ2055_L21_7-08-6_10uM_P40,40.0,0.43766025535760517,0.6217213924565209,040060
ASO233_10,KQ512_L20_5-10-5_10uM_P20,20.0,0.4911960639749415,0.7399038352282855,040070
ASO481_10,KQ2061_L20_6-08-6_10uM_P41,41.0,0.4452550977793434,0.7198424146676481,040070
ASO67_10,KQ927_10,6.0,0.4151095398420308,0.7213220059118837,040070
ASO364_10,KQJM100_L22_6-10-6_10uM_P31,31.0,0.40474736164122077,0.8605281885862791,040080
ASO221_10,KQ498_L20_5-10-5_10uM_P19,19.0,0.4161632982187147,0.9243952447235961,040090
ASO203_10,KQ484_10,17.0,0.4995371639592254,1.1086694742120993,040100
