Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO217-246_WT_1.2-10_20210701,G1,Na夫e_P1.2-9,Na夫e_P1.2-9,31.16884289,24.05294213,7.12,,,,-0.76,-0.71,1.64
ASO217-246_WT_1.2-10_20210701,G2,Na夫e_P1.2-9,Na夫e_P1.2-9,31.11170927,24.04901208,7.06,,,,-0.81,,
ASO217-246_WT_1.2-10_20210701,G3,Na夫e_P1.2-9,Na夫e_P1.2-9,31.33405492,24.02283273,7.31,,,,-0.56,,
ASO217-246_WT_1.2-10_20210701,G4,Na夫e_P1.2-9,Na夫e_P1.2-9,30.5571221,23.29566191,7.26,,,,-0.61,-0.65,1.56
ASO217-246_WT_1.2-10_20210701,G5,Na夫e_P1.2-9,Na夫e_P1.2-9,30.59070308,23.30072591,7.29,,,,-0.58,,
ASO217-246_WT_1.2-10_20210701,G6,Na夫e_P1.2-9,Na夫e_P1.2-9,30.47157459,23.33707323,7.13,,,,-0.74,,
ASO217-246_WT_1.2-10_20210701,G7,Na夫e_P1.2-9,Na夫e_P1.2-9,30.14307835,22.974404,7.17,,,,-0.71,-0.68,1.61
ASO217-246_WT_1.2-10_20210701,G8,Na夫e_P1.2-9,Na夫e_P1.2-9,30.16220942,22.92583703,7.24,,,,-0.64,,
ASO217-246_WT_1.2-10_20210701,G9,Na夫e_P1.2-9,Na夫e_P1.2-9,30.15774435,22.99490554,7.16,,,,-0.71,,
ASO217-246_WT_1.2-10_20210701,H1,Na夫e_P1.2-9,Na夫e_P1.2-9,31.95136897,24.30637934,7.64,,,,-0.23,-0.15,1.11
ASO217-246_WT_1.2-10_20210701,H2,Na夫e_P1.2-9,Na夫e_P1.2-9,32.04483386,24.32082487,7.72,,,,-0.15,,
ASO217-246_WT_1.2-10_20210701,H3,Na夫e_P1.2-9,Na夫e_P1.2-9,32.22285456,24.43191247,7.79,,,,-0.08,,
ASO217-246_WT_1.2-10_20210701,H4,Na夫e_P1.2-9,Na夫e_P1.2-9,31.8348085,23.96726335,7.87,,,,-0.01,-0.05,1.03
ASO217-246_WT_1.2-10_20210701,H5,Na夫e_P1.2-9,Na夫e_P1.2-9,31.79994619,24.0134374,7.79,,,,-0.09,,
ASO217-246_WT_1.2-10_20210701,H6,Na夫e_P1.2-9,Na夫e_P1.2-9,31.79442468,23.96840926,7.83,,,,-0.05,,
ASO217-246_WT_1.2-10_20210701,H7,Na夫e_P1.2-9,Na夫e_P1.2-9,30.23764506,22.98429177,7.25,,,,-0.62,-0.71,1.64
ASO217-246_WT_1.2-10_20210701,H8,Na夫e_P1.2-9,Na夫e_P1.2-9,30.06136104,23.03440341,7.03,,,,-0.85,,
ASO217-246_WT_1.2-10_20210701,H9,Na夫e_P1.2-9,Na夫e_P1.2-9,30.2298982,23.01887775,7.21,,,,-0.66,,
ASO217-246_WT_1.2-10_20210701,G10,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,33.81930102,24.22755454,9.59,,,,1.72,1.83,0.28
ASO217-246_WT_1.2-10_20210701,G11,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,34.50245045,24.23502371,10.27,,,,2.39,,
ASO217-246_WT_1.2-10_20210701,G12,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,33.51136241,24.26336462,9.25,,,,1.37,,
ASO217-246_WT_1.2-10_20210701,H10,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,34.98258091,25.25315209,9.73,,,,1.86,1.95,0.26
ASO217-246_WT_1.2-10_20210701,H11,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,35.35696231,25.16662831,10.19,,,,2.32,,
ASO217-246_WT_1.2-10_20210701,H12,Ionis1375651_10_P1.2-9,Ionis1375651_10uM_P1.2-9,34.7630574,25.2204712,9.54,,,,1.67,,
ASO217-246_WT_1.2-10_20210701,G13,Ionis676630_10_P1.2-9,Ionis676630_10uM_P1.2-9,33.24192268,25.43547633,7.81,7.46,7.87,0.34,-0.07,-0.41,1.33
ASO217-246_WT_1.2-10_20210701,G14,Ionis676630_10_P1.2-9,Ionis676630_10uM_P1.2-9,33.04539519,25.56967207,7.48,,,,-0.40,,
ASO217-246_WT_1.2-10_20210701,G15,Ionis676630_10_P1.2-9,Ionis676630_10uM_P1.2-9,32.72600606,25.62138856,7.10,,,,-0.77,,
