Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO42-266_total_1.2-7_20210701,G1,Na夫e_P1.2-3,Na夫e_P1.2-3,29.73839868,23.02627818,6.71,,,,-0.95,-0.95,1.93
ASO42-266_total_1.2-7_20210701,G2,Na夫e_P1.2-3,Na夫e_P1.2-3,29.68008805,23.0457928,6.63,,,,-1.03,,
ASO42-266_total_1.2-7_20210701,G3,Na夫e_P1.2-3,Na夫e_P1.2-3,29.88938464,23.09392149,6.80,,,,-0.86,,
ASO42-266_total_1.2-7_20210701,G4,Na夫e_P1.2-3,Na夫e_P1.2-3,29.4248,22.83317814,6.59,,,,-1.07,-1.00,2.00
ASO42-266_total_1.2-7_20210701,G5,Na夫e_P1.2-3,Na夫e_P1.2-3,29.49964487,22.81794606,6.68,,,,-0.98,,
ASO42-266_total_1.2-7_20210701,G6,Na夫e_P1.2-3,Na夫e_P1.2-3,29.56972602,22.87189067,6.70,,,,-0.96,,
ASO42-266_total_1.2-7_20210701,G7,Na夫e_P1.2-3,Na夫e_P1.2-3,30.19243701,23.06196253,7.13,,,,-0.53,-0.59,1.50
ASO42-266_total_1.2-7_20210701,G8,Na夫e_P1.2-3,Na夫e_P1.2-3,30.14193137,23.04369439,7.10,,,,-0.56,,
ASO42-266_total_1.2-7_20210701,G9,Na夫e_P1.2-3,Na夫e_P1.2-3,30.07595213,23.09265948,6.98,,,,-0.68,,
ASO42-266_total_1.2-7_20210701,H1,Na夫e_P1.2-3,Na夫e_P1.2-3,29.61942765,22.92724188,6.69,,,,-0.97,-0.89,1.85
ASO42-266_total_1.2-7_20210701,H2,Na夫e_P1.2-3,Na夫e_P1.2-3,29.72847656,22.88374037,6.84,,,,-0.81,,
ASO42-266_total_1.2-7_20210701,H3,Na夫e_P1.2-3,Na夫e_P1.2-3,29.66784038,22.8835069,6.78,,,,-0.88,,
ASO42-266_total_1.2-7_20210701,H4,Na夫e_P1.2-3,Na夫e_P1.2-3,29.92813175,23.03439807,6.89,,,,-0.77,-0.80,1.75
ASO42-266_total_1.2-7_20210701,H5,Na夫e_P1.2-3,Na夫e_P1.2-3,29.75639862,22.98889667,6.77,,,,-0.89,,
ASO42-266_total_1.2-7_20210701,H6,Na夫e_P1.2-3,Na夫e_P1.2-3,29.82976527,22.92272793,6.91,,,,-0.75,,
ASO42-266_total_1.2-7_20210701,H7,Na夫e_P1.2-3,Na夫e_P1.2-3,29.84500089,23.02723367,6.82,,,,-0.84,-0.84,1.80
ASO42-266_total_1.2-7_20210701,H8,Na夫e_P1.2-3,Na夫e_P1.2-3,29.76871305,22.97350392,6.80,,,,-0.86,,
ASO42-266_total_1.2-7_20210701,H9,Na夫e_P1.2-3,Na夫e_P1.2-3,29.80370326,22.9696303,6.83,,,,-0.83,,
ASO42-266_total_1.2-7_20210701,G10,Ionis1375651_10_P1.2-3,Ionis1375651_10uM_P1.2-3,34.62676903,24.74874418,9.88,,,,2.22,2.35,0.20
ASO42-266_total_1.2-7_20210701,G11,Ionis1375651_10_P1.2-3,Ionis1375651_10uM_P1.2-3,34.65969944,24.71644926,9.94,,,,2.28,,
ASO42-266_total_1.2-7_20210701,G12,Ionis1375651_10_P1.2-3,Ionis1375651_10uM_P1.2-3,34.97273869,24.76001771,10.21,,,,2.55,,
ASO42-266_total_1.2-7_20210701,H10,Ionis1375651_10_P1.2-3,Ionis1375651_10uM_P1.2-3,35.55124994,25.67339204,9.88,,,,2.22,2.64,0.16
ASO42-266_total_1.2-7_20210701,H11,Ionis1375651_10_P1.2-3,Ionis1375651_10uM_P1.2-3,36.87460768,25.6624607,11.21,,,,3.55,,
ASO42-266_total_1.2-7_20210701,H12,Ionis1375651_10_P1.2-3,Ionis1375651_10uM_P1.2-3,35.51100808,25.69110173,9.82,,,,2.16,,
ASO42-266_total_1.2-7_20210701,G13,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.71990779,26.01828404,7.70,7.77,7.66,0.17,0.04,0.11,0.93
ASO42-266_total_1.2-7_20210701,G14,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.7036123,25.98135969,7.72,,,,0.06,,
ASO42-266_total_1.2-7_20210701,G15,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.90464381,26.02104121,7.88,,,,0.22,,
ASO42-266_total_1.2-7_20210701,G16,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.39160018,25.74810718,7.64,7.75,,,-0.02,0.09,0.94
ASO42-266_total_1.2-7_20210701,G17,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.71595302,25.76000045,7.96,,,,0.30,,
ASO42-266_total_1.2-7_20210701,G18,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.41930461,25.77280901,7.65,,,,-0.01,,
ASO42-266_total_1.2-7_20210701,H13,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,34.90796676,26.94926509,7.96,7.40,,,0.30,-0.26,1.20
ASO42-266_total_1.2-7_20210701,H14,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,34.34696666,27.00211787,7.34,,,,-0.31,,
ASO42-266_total_1.2-7_20210701,H15,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,33.95954597,27.0647994,6.89,,,,-0.76,,
ASO42-266_total_1.2-7_20210701,H16,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,34.20924146,26.78126154,7.43,7.72,,,-0.23,0.06,0.96
ASO42-266_total_1.2-7_20210701,H17,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,34.53448539,26.80821534,7.73,,,,0.07,,
ASO42-266_total_1.2-7_20210701,H18,Ionis676630_10_P1.2-3,Ionis676630_10uM_P1.2-3,34.77743592,26.76703007,8.01,,,,0.35,,
ASO42-266_total_1.2-7_20210701,A1,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,37.20599491,30.89323643,6.31,,,,-1.35,-2.05,4.13
ASO42-266_total_1.2-7_20210701,A2,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,36.70827161,30.82593019,5.88,,,,-1.78,,
ASO42-266_total_1.2-7_20210701,A3,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,35.3938507,30.75072784,4.64,,,,-3.02,,
ASO42-266_total_1.2-7_20210701,A4,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,38.18996706,30.58924658,7.60,,,,-0.06,-1.23,2.35
ASO42-266_total_1.2-7_20210701,A5,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,37.23116373,30.52965809,6.70,,,,-0.96,,
ASO42-266_total_1.2-7_20210701,A6,ASO42_10,KQ316_L20_5-10-5_10uM_P1.2-3,35.80601264,30.82978486,4.98,,,,-2.68,,
ASO42-266_total_1.2-7_20210701,A7,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.72835286,24.97875549,6.75,,,,-0.91,-0.90,1.87
ASO42-266_total_1.2-7_20210701,A8,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.62526578,24.91019447,6.72,,,,-0.94,,
ASO42-266_total_1.2-7_20210701,A9,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.74617408,24.93845948,6.81,,,,-0.85,,
ASO42-266_total_1.2-7_20210701,A10,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,32.11001624,25.57965707,6.53,,,,-1.13,-1.22,2.34
ASO42-266_total_1.2-7_20210701,A11,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,32.01993275,25.58479408,6.44,,,,-1.22,,
ASO42-266_total_1.2-7_20210701,A12,ASO42_3,KQ316_L20_5-10-5_3uM_P1.2-3,31.97116131,25.63065031,6.34,,,,-1.32,,
ASO42-266_total_1.2-7_20210701,A13,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,31.95797057,23.94410201,8.01,,,,0.35,0.19,0.88
ASO42-266_total_1.2-7_20210701,A14,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,31.71531174,23.88866738,7.83,,,,0.17,,
ASO42-266_total_1.2-7_20210701,A15,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,31.69148952,23.98016812,7.71,,,,0.05,,
ASO42-266_total_1.2-7_20210701,A16,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,30.37293124,23.09132982,7.28,,,,-0.38,-0.26,1.20
ASO42-266_total_1.2-7_20210701,A17,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,30.69341522,23.14117008,7.55,,,,-0.11,,
ASO42-266_total_1.2-7_20210701,A18,ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,30.59418222,23.22822647,7.37,,,,-0.29,,
ASO42-266_total_1.2-7_20210701,A19,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,29.77131857,23.24945456,6.52,,,,-1.14,-1.06,2.09
ASO42-266_total_1.2-7_20210701,A20,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,29.91299113,23.26879587,6.64,,,,-1.02,,
ASO42-266_total_1.2-7_20210701,A21,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,29.92642764,23.30435806,6.62,,,,-1.04,,
ASO42-266_total_1.2-7_20210701,A22,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,29.74528444,23.1158536,6.63,,,,-1.03,-1.05,2.07
ASO42-266_total_1.2-7_20210701,A23,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,29.64970313,23.10707628,6.54,,,,-1.12,,
ASO42-266_total_1.2-7_20210701,A24,ASO68_3,KQ104_L20_5-10-5_3uM_P1.2-3,29.77388151,23.12174858,6.65,,,,-1.01,,
ASO42-266_total_1.2-7_20210701,B1,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,31.79231499,25.22685684,6.57,,,,-1.09,-1.09,2.13
ASO42-266_total_1.2-7_20210701,B2,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,31.81915812,25.17255588,6.65,,,,-1.01,,
ASO42-266_total_1.2-7_20210701,B3,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,31.68497693,25.19200821,6.49,,,,-1.17,,
ASO42-266_total_1.2-7_20210701,B4,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,32.87501716,25.17147299,7.70,,,,0.04,0.15,0.90
ASO42-266_total_1.2-7_20210701,B5,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,32.69873124,25.1326397,7.57,,,,-0.09,,
ASO42-266_total_1.2-7_20210701,B6,ASO65_10,KQ980_L20_5-10-5_10uM_P1.2-3,33.32493405,25.16661191,8.16,,,,0.50,,
ASO42-266_total_1.2-7_20210701,B7,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.05893183,22.90103245,7.16,,,,-0.50,-0.52,1.43
ASO42-266_total_1.2-7_20210701,B8,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,29.99657239,22.82263299,7.17,,,,-0.49,,
ASO42-266_total_1.2-7_20210701,B9,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,29.97285508,22.88545583,7.09,,,,-0.57,,
ASO42-266_total_1.2-7_20210701,B10,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.54716638,23.00802187,7.54,,,,-0.12,-0.29,1.22
ASO42-266_total_1.2-7_20210701,B11,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.1801324,22.99167508,7.19,,,,-0.47,,
ASO42-266_total_1.2-7_20210701,B12,ASO65_3,KQ980_L20_5-10-5_3uM_P1.2-3,30.39811803,23.02371754,7.37,,,,-0.29,,
ASO42-266_total_1.2-7_20210701,B13,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,30.07516859,23.06444867,7.01,,,,-0.65,-0.50,1.42
ASO42-266_total_1.2-7_20210701,B14,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,30.36398757,23.06743136,7.30,,,,-0.36,,
ASO42-266_total_1.2-7_20210701,B15,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,30.24811673,23.08878392,7.16,,,,-0.50,,
ASO42-266_total_1.2-7_20210701,B16,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,29.91150541,23.06474036,6.85,,,,-0.81,-0.79,1.73
ASO42-266_total_1.2-7_20210701,B17,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,29.91053916,23.07723768,6.83,,,,-0.83,,
ASO42-266_total_1.2-7_20210701,B18,ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,29.99703359,23.07208929,6.92,,,,-0.73,,
ASO42-266_total_1.2-7_20210701,B19,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,29.55758449,22.76204365,6.80,,,,-0.86,-0.94,1.91
ASO42-266_total_1.2-7_20210701,B20,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,29.30525695,22.60219255,6.70,,,,-0.96,,
ASO42-266_total_1.2-7_20210701,B21,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,29.41275937,22.74189708,6.67,,,,-0.99,,
ASO42-266_total_1.2-7_20210701,B22,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,29.62688075,22.77941351,6.85,,,,-0.81,-0.73,1.66
ASO42-266_total_1.2-7_20210701,B23,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,29.71462451,22.74671388,6.97,,,,-0.69,,
ASO42-266_total_1.2-7_20210701,B24,ASO119_3,KQJM071_L17_5-08-4_3uM_P1.2-3,29.73234074,22.7710361,6.96,,,,-0.70,,
ASO42-266_total_1.2-7_20210701,C1,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,30.83600242,24.03459662,6.80,,,,-0.86,-0.68,1.60
ASO42-266_total_1.2-7_20210701,C2,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,30.99731832,23.9714971,7.03,,,,-0.63,,
ASO42-266_total_1.2-7_20210701,C3,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.05830375,23.95349169,7.10,,,,-0.55,,
ASO42-266_total_1.2-7_20210701,C4,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.0513568,23.6784928,7.37,,,,-0.29,-0.21,1.15
ASO42-266_total_1.2-7_20210701,C5,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.18756293,23.61147627,7.58,,,,-0.08,,
ASO42-266_total_1.2-7_20210701,C6,ASO66_10,KQ928_L20_5-10-5_10uM_P1.2-3,31.07011871,23.66306389,7.41,,,,-0.25,,
ASO42-266_total_1.2-7_20210701,C7,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,29.30891165,22.1732922,7.14,,,,-0.52,-0.54,1.46
ASO42-266_total_1.2-7_20210701,C8,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,29.29146709,22.19609378,7.10,,,,-0.56,,
ASO42-266_total_1.2-7_20210701,C9,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,29.31095081,22.18812819,7.12,,,,-0.54,,
ASO42-266_total_1.2-7_20210701,C10,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,29.81121495,22.73925223,7.07,,,,-0.59,-0.57,1.48
ASO42-266_total_1.2-7_20210701,C11,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,29.82150741,22.72468217,7.10,,,,-0.56,,
ASO42-266_total_1.2-7_20210701,C12,ASO66_3,KQ928_L20_5-10-5_3uM_P1.2-3,29.86134171,22.75459492,7.11,,,,-0.55,,
ASO42-266_total_1.2-7_20210701,C13,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,29.67778417,22.81360705,6.86,,,,-0.80,-0.80,1.74
ASO42-266_total_1.2-7_20210701,C14,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,29.69452247,22.81236559,6.88,,,,-0.78,,
ASO42-266_total_1.2-7_20210701,C15,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,29.66634878,22.83129211,6.84,,,,-0.82,,
ASO42-266_total_1.2-7_20210701,C16,ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,29.17424017,22.45321945,6.72,,,,-0.94,-0.96,1.94
