Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO1-95_MT_1.2-6_20210630,O1,Na夫e_P1.2-2,Na夫e_P1.2-2,31.75,23.97,7.79,,,,-0.32,-0.20,1.15
ASO1-95_MT_1.2-6_20210630,O2,Na夫e_P1.2-2,Na夫e_P1.2-2,31.84,23.87,7.97,,,,-0.13,,
ASO1-95_MT_1.2-6_20210630,O3,Na夫e_P1.2-2,Na夫e_P1.2-2,31.92,23.97,7.96,,,,-0.15,,
ASO1-95_MT_1.2-6_20210630,O4,Na夫e_P1.2-2,Na夫e_P1.2-2,31.70,23.72,7.98,,,,-0.12,-0.10,1.07
ASO1-95_MT_1.2-6_20210630,O5,Na夫e_P1.2-2,Na夫e_P1.2-2,31.60,23.66,7.94,,,,-0.16,,
ASO1-95_MT_1.2-6_20210630,O6,Na夫e_P1.2-2,Na夫e_P1.2-2,31.81,23.71,8.10,,,,-0.01,,
ASO1-95_MT_1.2-6_20210630,O7,Na夫e_P1.2-2,Na夫e_P1.2-2,31.75,23.96,7.79,,,,-0.32,-0.34,1.26
ASO1-95_MT_1.2-6_20210630,O8,Na夫e_P1.2-2,Na夫e_P1.2-2,31.67,23.87,7.80,,,,-0.31,,
ASO1-95_MT_1.2-6_20210630,O9,Na夫e_P1.2-2,Na夫e_P1.2-2,31.70,23.97,7.73,,,,-0.38,,
ASO1-95_MT_1.2-6_20210630,P1,Na夫e_P1.2-2,Na夫e_P1.2-2,31.81,23.84,7.98,,,,-0.13,0.07,0.95
ASO1-95_MT_1.2-6_20210630,P2,Na夫e_P1.2-2,Na夫e_P1.2-2,32.21,23.82,8.39,,,,0.29,,
ASO1-95_MT_1.2-6_20210630,P3,Na夫e_P1.2-2,Na夫e_P1.2-2,32.11,23.94,8.16,,,,0.06,,
ASO1-95_MT_1.2-6_20210630,P4,Na夫e_P1.2-2,Na夫e_P1.2-2,31.48,23.41,8.07,,,,-0.04,0.07,0.95
ASO1-95_MT_1.2-6_20210630,P5,Na夫e_P1.2-2,Na夫e_P1.2-2,31.64,23.41,8.23,,,,0.13,,
ASO1-95_MT_1.2-6_20210630,P6,Na夫e_P1.2-2,Na夫e_P1.2-2,31.67,23.45,8.22,,,,0.11,,
ASO1-95_MT_1.2-6_20210630,P7,Na夫e_P1.2-2,Na夫e_P1.2-2,31.83,23.76,8.07,,,,-0.04,-0.01,1.01
ASO1-95_MT_1.2-6_20210630,P8,Na夫e_P1.2-2,Na夫e_P1.2-2,31.81,23.71,8.10,,,,-0.01,,
ASO1-95_MT_1.2-6_20210630,P9,Na夫e_P1.2-2,Na夫e_P1.2-2,31.88,23.77,8.11,,,,0.01,,
ASO1-95_MT_1.2-6_20210630,O10,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,36.93,27.88,9.05,,,,0.95,1.07,0.48
ASO1-95_MT_1.2-6_20210630,O11,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,36.92,27.80,9.13,,,,1.02,,
ASO1-95_MT_1.2-6_20210630,O12,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,37.24,27.91,9.34,,,,1.23,,
ASO1-95_MT_1.2-6_20210630,P10,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,40.00,28.06,11.94,,,,3.84,3.14,0.11
ASO1-95_MT_1.2-6_20210630,P11,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,40.00,28.06,11.94,,,,3.83,,
ASO1-95_MT_1.2-6_20210630,P12,Ionis1375651_10_P1.2-2,Ionis1375651_10_P1.2-2,38.08,28.24,9.85,,,,1.74,,
ASO1-95_MT_1.2-6_20210630,O13,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,33.72,26.12,7.60,8.09,8.11,0.04,-0.50,-0.01,1.01
ASO1-95_MT_1.2-6_20210630,O14,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.29,26.13,8.16,,,,0.05,,
ASO1-95_MT_1.2-6_20210630,O15,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.67,26.15,8.52,,,,0.41,,
ASO1-95_MT_1.2-6_20210630,O16,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.49,26.59,7.89,8.15,,,-0.21,0.05,0.97
ASO1-95_MT_1.2-6_20210630,O17,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,35.10,26.61,8.48,,,,0.38,,
ASO1-95_MT_1.2-6_20210630,O18,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,34.79,26.70,8.09,,,,-0.02,,
ASO1-95_MT_1.2-6_20210630,P13,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,36.77,29.05,7.72,8.07,,,-0.39,-0.03,1.02
ASO1-95_MT_1.2-6_20210630,P14,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,36.58,29.16,7.42,,,,-0.69,,
ASO1-95_MT_1.2-6_20210630,P15,Ionis676630_10_P1.2-2,Ionis676630_10_P1.2-2,38.18,29.11,9.07,,,,0.97,,
