Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
ASO204-238_WT_1.2-9_20210701,O1,Na夫e_P1.2-8,Na夫e_P1.2-8,29.92191974,23.02589748,6.90,,,,-0.39,-0.34,1.26
ASO204-238_WT_1.2-9_20210701,O2,Na夫e_P1.2-8,Na夫e_P1.2-8,29.9926928,23.07123514,6.92,,,,-0.36,,
ASO204-238_WT_1.2-9_20210701,O3,Na夫e_P1.2-8,Na夫e_P1.2-8,30.13116942,23.10311797,7.03,,,,-0.26,,
ASO204-238_WT_1.2-9_20210701,O4,Na夫e_P1.2-8,Na夫e_P1.2-8,29.63507245,22.84076316,6.79,,,,-0.49,-0.55,1.46
ASO204-238_WT_1.2-9_20210701,O5,Na夫e_P1.2-8,Na夫e_P1.2-8,29.63590722,23.10210876,6.53,,,,-0.75,,
ASO204-238_WT_1.2-9_20210701,O6,Na夫e_P1.2-8,Na夫e_P1.2-8,29.80250954,22.92088335,6.88,,,,-0.40,,
ASO204-238_WT_1.2-9_20210701,O7,Na夫e_P1.2-8,Na夫e_P1.2-8,29.68289937,22.63890336,7.04,,,,-0.24,-0.19,1.14
ASO204-238_WT_1.2-9_20210701,O8,Na夫e_P1.2-8,Na夫e_P1.2-8,29.7120801,22.62022786,7.09,,,,-0.19,,
ASO204-238_WT_1.2-9_20210701,O9,Na夫e_P1.2-8,Na夫e_P1.2-8,29.80946951,22.65635555,7.15,,,,-0.13,,
ASO204-238_WT_1.2-9_20210701,P1,Na夫e_P1.2-8,Na夫e_P1.2-8,29.97861026,23.00002384,6.98,,,,-0.31,-0.28,1.22
ASO204-238_WT_1.2-9_20210701,P2,Na夫e_P1.2-8,Na夫e_P1.2-8,29.96678753,23.00178232,6.97,,,,-0.32,,
ASO204-238_WT_1.2-9_20210701,P3,Na夫e_P1.2-8,Na夫e_P1.2-8,30.10875963,23.03852479,7.07,,,,-0.22,,
ASO204-238_WT_1.2-9_20210701,P4,Na夫e_P1.2-8,Na夫e_P1.2-8,30.17048412,23.27923682,6.89,,,,-0.39,-0.31,1.24
ASO204-238_WT_1.2-9_20210701,P5,Na夫e_P1.2-8,Na夫e_P1.2-8,30.21842718,23.20629293,7.01,,,,-0.27,,
ASO204-238_WT_1.2-9_20210701,P6,Na夫e_P1.2-8,Na夫e_P1.2-8,30.27912984,23.25462671,7.02,,,,-0.26,,
ASO204-238_WT_1.2-9_20210701,P7,Na夫e_P1.2-8,Na夫e_P1.2-8,30.47313674,23.41310765,7.06,,,,-0.23,-0.32,1.25
ASO204-238_WT_1.2-9_20210701,P8,Na夫e_P1.2-8,Na夫e_P1.2-8,30.40237965,23.41509458,6.99,,,,-0.30,,
ASO204-238_WT_1.2-9_20210701,P9,Na夫e_P1.2-8,Na夫e_P1.2-8,30.3840202,23.53616776,6.85,,,,-0.44,,
ASO204-238_WT_1.2-9_20210701,O10,Ionis1375651_10_P1.2-8,Ionis1375651_10uM_P1.2-8,33.66900139,25.04782949,8.62,,,,1.34,1.57,0.34
ASO204-238_WT_1.2-9_20210701,O11,Ionis1375651_10_P1.2-8,Ionis1375651_10uM_P1.2-8,34.34142064,25.10917135,9.23,,,,1.95,,
ASO204-238_WT_1.2-9_20210701,O12,Ionis1375651_10_P1.2-8,Ionis1375651_10uM_P1.2-8,33.83987422,25.13805988,8.70,,,,1.42,,
ASO204-238_WT_1.2-9_20210701,P10,Ionis1375651_10_P1.2-8,Ionis1375651_10uM_P1.2-8,36.02681007,26.0134844,10.01,,,,2.73,2.67,0.16
ASO204-238_WT_1.2-9_20210701,P11,Ionis1375651_10_P1.2-8,Ionis1375651_10uM_P1.2-8,35.74550589,26.07227988,9.67,,,,2.39,,
ASO204-238_WT_1.2-9_20210701,P12,Ionis1375651_10_P1.2-8,Ionis1375651_10uM_P1.2-8,36.2292213,26.03669834,10.19,,,,2.91,,
ASO204-238_WT_1.2-9_20210701,O13,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.0523475,25.42446693,7.63,7.64,7.29,0.41,0.34,0.36,0.78
ASO204-238_WT_1.2-9_20210701,O14,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.23399368,25.43373741,7.80,,,,0.51,,
ASO204-238_WT_1.2-9_20210701,O15,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.05582533,25.55248613,7.50,,,,0.22,,
ASO204-238_WT_1.2-9_20210701,O16,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,32.51237741,25.32698585,7.19,7.34,,,-0.10,0.05,0.96
ASO204-238_WT_1.2-9_20210701,O17,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,32.73799875,25.3132636,7.42,,,,0.14,,
ASO204-238_WT_1.2-9_20210701,O18,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,32.76378922,25.35249351,7.41,,,,0.13,,
ASO204-238_WT_1.2-9_20210701,P13,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.07870662,26.78165217,6.30,6.71,,,-0.99,-0.58,1.49
ASO204-238_WT_1.2-9_20210701,P14,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.8475319,26.81757821,7.03,,,,-0.26,,
ASO204-238_WT_1.2-9_20210701,P15,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.68342976,26.89164449,6.79,,,,-0.49,,
ASO204-238_WT_1.2-9_20210701,P16,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,34.31482519,26.60128853,7.71,7.45,,,0.43,0.17,0.89
ASO204-238_WT_1.2-9_20210701,P17,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,33.89241355,26.62042666,7.27,,,,-0.01,,
ASO204-238_WT_1.2-9_20210701,P18,Ionis676630_10_P1.2-8,Ionis676630_10uM_P1.2-8,34.05852933,26.68517438,7.37,,,,0.09,,
ASO204-238_WT_1.2-9_20210701,I1,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.26909656,24.0344165,7.23,,,,-0.05,-0.45,1.36
ASO204-238_WT_1.2-9_20210701,I2,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.21269036,24.0359947,7.18,,,,-0.11,,
ASO204-238_WT_1.2-9_20210701,I3,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,31.44936985,25.34598915,6.10,,,,-1.18,,
ASO204-238_WT_1.2-9_20210701,I4,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,30.50787352,23.24907478,7.26,,,,-0.03,0.04,0.97
ASO204-238_WT_1.2-9_20210701,I5,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,30.69394714,23.27130076,7.42,,,,0.14,,
ASO204-238_WT_1.2-9_20210701,I6,ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,30.61196024,23.30256908,7.31,,,,0.02,,
ASO204-238_WT_1.2-9_20210701,I7,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.25449118,23.07595924,7.18,,,,-0.11,-0.17,1.12
ASO204-238_WT_1.2-9_20210701,I8,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.15057703,23.05580467,7.09,,,,-0.19,,
ASO204-238_WT_1.2-9_20210701,I9,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.19656944,23.11555057,7.08,,,,-0.20,,
ASO204-238_WT_1.2-9_20210701,I10,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,29.99421805,22.9663459,7.03,,,,-0.26,-0.13,1.09
ASO204-238_WT_1.2-9_20210701,I11,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.11171986,22.95161352,7.16,,,,-0.13,,
ASO204-238_WT_1.2-9_20210701,I12,ASO205_3,KQ997_L20_5-10-5_3uM_P1.2-8,30.29456696,23.01092435,7.28,,,,0.00,,
ASO204-238_WT_1.2-9_20210701,I13,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,31.11784724,23.83233411,7.29,,,,0.00,0.04,0.97
ASO204-238_WT_1.2-9_20210701,I14,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,31.23549819,23.87102349,7.36,,,,0.08,,
ASO204-238_WT_1.2-9_20210701,I15,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,31.25076343,23.92346567,7.33,,,,0.04,,
ASO204-238_WT_1.2-9_20210701,I16,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,32.50904173,25.3346256,7.17,,,,-0.11,-0.04,1.03
ASO204-238_WT_1.2-9_20210701,I17,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,32.6874392,25.35880691,7.33,,,,0.04,,
ASO204-238_WT_1.2-9_20210701,I18,ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,32.63834602,25.40917678,7.23,,,,-0.06,,
ASO204-238_WT_1.2-9_20210701,I19,ASO232_3,KQ236_L20_5-10-5_3uM_P1.2-8,29.64112735,22.76391973,6.88,,,,-0.41,-0.38,1.30
ASO204-238_WT_1.2-9_20210701,I20,ASO232_3,KQ236_L20_5-10-5_3uM_P1.2-8,29.62785382,22.75751684,6.87,,,,-0.42,,
ASO204-238_WT_1.2-9_20210701,I21,ASO232_3,KQ236_L20_5-10-5_3uM_P1.2-8,29.73608797,22.77767144,6.96,,,,-0.33,,
ASO204-238_WT_1.2-9_20210701,I22,ASO232_3,KQ236_L20_5-10-5_3uM_P1.2-8,29.50885335,22.52692869,6.98,,,,-0.30,-0.28,1.22
ASO204-238_WT_1.2-9_20210701,I23,ASO232_3,KQ236_L20_5-10-5_3uM_P1.2-8,29.61624969,22.58772609,7.03,,,,-0.26,,
ASO204-238_WT_1.2-9_20210701,I24,ASO232_3,KQ236_L20_5-10-5_3uM_P1.2-8,29.61392776,22.62163549,6.99,,,,-0.29,,
ASO204-238_WT_1.2-9_20210701,J1,ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,31.0282684,23.74685446,7.28,,,,0.00,-0.07,1.05
ASO204-238_WT_1.2-9_20210701,J2,ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,30.81313897,23.70223676,7.11,,,,-0.17,,
ASO204-238_WT_1.2-9_20210701,J3,ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,31.01169816,23.76690867,7.24,,,,-0.04,,
ASO204-238_WT_1.2-9_20210701,J4,ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,30.91706665,23.56276154,7.35,,,,0.07,0.00,1.00
ASO204-238_WT_1.2-9_20210701,J5,ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,30.82567505,23.62434441,7.20,,,,-0.08,,
ASO204-238_WT_1.2-9_20210701,J6,ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,30.99709227,23.68541171,7.31,,,,0.03,,
ASO204-238_WT_1.2-9_20210701,J7,ASO283_3,KQJM026_L17_4-10-3_3uM_P1.2-8,30.25177323,22.95951536,7.29,,,,0.01,-0.01,1.01
ASO204-238_WT_1.2-9_20210701,J8,ASO283_3,KQJM026_L17_4-10-3_3uM_P1.2-8,30.19267524,22.89248942,7.30,,,,0.01,,
ASO204-238_WT_1.2-9_20210701,J9,ASO283_3,KQJM026_L17_4-10-3_3uM_P1.2-8,30.14977529,22.91878196,7.23,,,,-0.05,,
ASO204-238_WT_1.2-9_20210701,J10,ASO283_3,KQJM026_L17_4-10-3_3uM_P1.2-8,30.33176564,23.19630178,7.14,,,,-0.15,-0.07,1.05
ASO204-238_WT_1.2-9_20210701,J11,ASO283_3,KQJM026_L17_4-10-3_3uM_P1.2-8,30.5474548,23.20839946,7.34,,,,0.05,,
ASO204-238_WT_1.2-9_20210701,J12,ASO283_3,KQJM026_L17_4-10-3_3uM_P1.2-8,30.47696082,23.29343623,7.18,,,,-0.10,,
ASO204-238_WT_1.2-9_20210701,J13,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,30.47925069,23.33939641,7.14,,,,-0.15,-0.06,1.04
ASO204-238_WT_1.2-9_20210701,J14,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,30.78000628,23.39236227,7.39,,,,0.10,,
ASO204-238_WT_1.2-9_20210701,J15,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,30.64839218,23.49397346,7.15,,,,-0.13,,
ASO204-238_WT_1.2-9_20210701,J16,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,31.80508249,24.10839435,7.70,,,,0.41,0.54,0.69
ASO204-238_WT_1.2-9_20210701,J17,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,32.11306419,24.07157902,8.04,,,,0.76,,
ASO204-238_WT_1.2-9_20210701,J18,ASO233_10,KQ512_L20_5-10-5_10uM_P1.2-8,31.94405738,24.19176902,7.75,,,,0.47,,
ASO204-238_WT_1.2-9_20210701,J19,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.47821722,23.49695802,6.98,,,,-0.30,-0.28,1.21
ASO204-238_WT_1.2-9_20210701,J20,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.51424786,23.43838586,7.08,,,,-0.21,,
ASO204-238_WT_1.2-9_20210701,J21,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.55762937,23.59921708,6.96,,,,-0.33,,
ASO204-238_WT_1.2-9_20210701,J22,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.48809898,23.2142498,7.27,,,,-0.01,-0.12,1.09
ASO204-238_WT_1.2-9_20210701,J23,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.35223609,23.2187921,7.13,,,,-0.15,,
ASO204-238_WT_1.2-9_20210701,J24,ASO233_3,KQ512_L20_5-10-5_3uM_P1.2-8,30.40983483,23.32181942,7.09,,,,-0.20,,
