Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO268-186_MT_1.2-8_20210701,G1,Na夫e_P1.2-5,Na夫e_P1.2-5,30.17874282,22.80580988,7.37,,,,-0.06,-0.11,1.08,,,
ASO268-186_MT_1.2-8_20210701,G2,Na夫e_P1.2-5,Na夫e_P1.2-5,30.11166257,22.85495245,7.26,,,,-0.17,,,,,
ASO268-186_MT_1.2-8_20210701,G3,Na夫e_P1.2-5,Na夫e_P1.2-5,30.19060083,22.85963393,7.33,,,,-0.10,,,,,
ASO268-186_MT_1.2-8_20210701,G4,Na夫e_P1.2-5,Na夫e_P1.2-5,30.19408698,22.95207249,7.24,,,,-0.19,-0.18,1.13,,,
ASO268-186_MT_1.2-8_20210701,G5,Na夫e_P1.2-5,Na夫e_P1.2-5,30.13746353,22.90500017,7.23,,,,-0.20,,,,,
ASO268-186_MT_1.2-8_20210701,G6,Na夫e_P1.2-5,Na夫e_P1.2-5,30.17931188,22.90090298,7.28,,,,-0.15,,,,,
ASO268-186_MT_1.2-8_20210701,G7,Na夫e_P1.2-5,Na夫e_P1.2-5,30.52624895,23.0458159,7.48,,,,0.05,0.10,0.94,,,
ASO268-186_MT_1.2-8_20210701,G8,Na夫e_P1.2-5,Na夫e_P1.2-5,30.49162065,23.02606767,7.47,,,,0.04,,,,,
ASO268-186_MT_1.2-8_20210701,G9,Na夫e_P1.2-5,Na夫e_P1.2-5,30.66756637,23.03503062,7.63,,,,0.20,,,,,
ASO268-186_MT_1.2-8_20210701,H1,Na夫e_P1.2-5,Na夫e_P1.2-5,30.63589817,23.0905933,7.55,,,,0.12,0.09,0.94,,,
ASO268-186_MT_1.2-8_20210701,H2,Na夫e_P1.2-5,Na夫e_P1.2-5,30.59908505,23.1377605,7.46,,,,0.03,,,,,
ASO268-186_MT_1.2-8_20210701,H3,Na夫e_P1.2-5,Na夫e_P1.2-5,30.73538025,23.19451944,7.54,,,,0.11,,,,,
ASO268-186_MT_1.2-8_20210701,H4,Na夫e_P1.2-5,Na夫e_P1.2-5,30.51195295,23.01137625,7.50,,,,0.07,0.00,1.00,,,
ASO268-186_MT_1.2-8_20210701,H5,Na夫e_P1.2-5,Na夫e_P1.2-5,30.51181036,22.99163195,7.52,,,,0.09,,,,,
ASO268-186_MT_1.2-8_20210701,H6,Na夫e_P1.2-5,Na夫e_P1.2-5,30.33903334,23.07282595,7.27,,,,-0.16,,,,,
ASO268-186_MT_1.2-8_20210701,H7,Na夫e_P1.2-5,Na夫e_P1.2-5,30.80064284,23.27541992,7.53,,,,0.10,0.05,0.97,,,
ASO268-186_MT_1.2-8_20210701,H8,Na夫e_P1.2-5,Na夫e_P1.2-5,30.71667973,23.22266475,7.49,,,,0.06,,,,,
ASO268-186_MT_1.2-8_20210701,H9,Na夫e_P1.2-5,Na夫e_P1.2-5,30.72004232,23.30154729,7.42,,,,-0.01,,,,,
ASO268-186_MT_1.2-8_20210701,G10,Ionis1375651_10_P1.2-5,Ionis1375651_10uM_P1.2-5,34.20815527,24.25047064,9.96,,,,2.53,2.57,0.17,,,
ASO268-186_MT_1.2-8_20210701,G11,Ionis1375651_10_P1.2-5,Ionis1375651_10uM_P1.2-5,34.01992025,24.22355487,9.80,,,,2.37,,,,,
ASO268-186_MT_1.2-8_20210701,G12,Ionis1375651_10_P1.2-5,Ionis1375651_10uM_P1.2-5,34.50310198,24.25070072,10.25,,,,2.82,,,,,
ASO268-186_MT_1.2-8_20210701,H10,Ionis1375651_10_P1.2-5,Ionis1375651_10uM_P1.2-5,35.21465795,25.7784048,9.44,,,,2.01,2.00,0.25,,,
ASO268-186_MT_1.2-8_20210701,H11,Ionis1375651_10_P1.2-5,Ionis1375651_10uM_P1.2-5,35.4874162,25.76710938,9.72,,,,2.29,,,,,
ASO268-186_MT_1.2-8_20210701,H12,Ionis1375651_10_P1.2-5,Ionis1375651_10uM_P1.2-5,34.983302,25.83955896,9.14,,,,1.71,,,,,
ASO268-186_MT_1.2-8_20210701,G13,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,34.25754751,27.61119967,6.65,,7.43,0.00,-0.78,-1.09,2.14,,,
ASO268-186_MT_1.2-8_20210701,G14,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,34.0064052,27.66440736,6.34,,,,-1.09,,,,,
ASO268-186_MT_1.2-8_20210701,G15,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,33.63050404,27.61453295,6.02,,,,-1.41,,,,,
ASO268-186_MT_1.2-8_20210701,G16,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,33.3866792,27.17375261,6.21,,,,-1.22,-1.26,2.40,,,
ASO268-186_MT_1.2-8_20210701,G17,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,33.12126404,27.13179404,5.99,,,,-1.44,,,,,
ASO268-186_MT_1.2-8_20210701,G18,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,33.4890761,27.18320108,6.31,,,,-1.12,,,,,
ASO268-186_MT_1.2-8_20210701,H13,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,35.70372539,28.55057469,7.15,7.43,,,-0.28,0.00,1.00,,,
ASO268-186_MT_1.2-8_20210701,H14,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,36.49675966,28.60279792,7.89,,,,0.46,,,,,
ASO268-186_MT_1.2-8_20210701,H15,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,35.8262125,28.57410864,7.25,,,,-0.18,,,,,
ASO268-186_MT_1.2-8_20210701,H16,Ionis676630_10_P1.2-5,Ionis676630_10uM_P1.2-5,33.57618317,26.01974025,7.56,7.43,,,0.13,0.00,1.00,,,
