SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,1.0,0.13316546421946399,0.5173796882023077,010050
ASO219_10,KQ500_L20_5-10-5_10uM_P1.2-9,9.0,0.261019950686855,0.7356762800128381,020070
ASO187_10,KQ995_L20_5-10-5_10uM_P1.2-7,7.0,0.38106113696814287,0.7819071475354034,030070
ASO175_10,KQ993_L20_5-10-5_10uM_P1.2-6,6.0,0.3366105445453535,0.8812530173353489,030080
ASO191_10,KQ477_L20_5-10-5_10uM_P1.2-7,7.0,0.4462041626269051,0.6272948648888484,040060
ASO37_10,KQ258_L20_5-10-5_10uM_P1.2-2,2.0,0.4146374172231869,0.6535092086754662,040060
ASO195_10,KQ956_L20_5-10-5_10uM_P1.2-7,7.0,0.4673132900704771,0.895157824029234,040080
ASO194_10,KQ955_L20_5-10-5_10uM_P1.2-7,7.0,0.4434353768193348,0.9784706738122649,040090
ASO204_10,KQ297_L20_5-10-5_10uM_P1.2-7,7.0,0.45103876487696865,0.9219157226987228,040090
ASO68_10,KQ104_L20_5-10-5_10uM_P1.2-3,3.0,0.519220123358743,0.7354806678104592,050070
ASO196_10,KQ957_L20_5-10-5_10uM_P1.2-7,7.0,0.5870991602301892,0.9216278846007878,050090
ASO197_10,KQ958_L20_5-10-5_10uM_P1.2-7,7.0,0.5724973612819517,0.9585171241790764,050090
ASO190_10,KQ478_L20_5-10-5_10uM_P1.2-7,7.0,0.5382201521371287,1.090247163040434,050100
ASO276_10,KQJM019_L22_6-10-6_10uM_P1.2-5,5.0,0.5351403653596515,1.1683682596986604,050100
ASO7_10,KQ973_L20_5-10-5_10uM_P1.2-1,1.0,0.578633166769675,1.1105456193599847,050100
ASO118_10,KQ288_L20_5-10-5_10uM_P1.2-4,4.0,0.6150623642210525,0.7193120137113423,060070
ASO192_10,KQ296_L20_5-10-5_10uM_P1.2-7,7.0,0.6821274710456565,0.837441248799898,060080
ASO210_10,KQ271_L20_5-10-5_10uM_P1.2-8,8.0,0.6440869629838207,0.869485400862913,060080
ASO119_10,KQJM071_L17_5-08-4_10uM_P1.2-3,3.0,0.6461967497538139,1.1922207984530437,060100
ASO205_10,KQ997_L20_5-10-5_10uM_P1.2-8,8.0,0.6785114376717234,1.0058514291727036,060100
ASO218_10,KQ501_L20_5-10-5_10uM_P1.2-9,9.0,0.6718908106746585,1.0628384863472446,060100
ASO253_10,KQ105_L20_5-10-5_10uM_P1.2-4,4.0,0.794975676751373,0.9242256742635323,070090
ASO270_10,KQJM012_L19_6-08-5_10uM_P1.2-5,5.0,0.754366646640686,0.993992249544406,070090
ASO272_10,KQJM015_L18_5-08-5_10uM_P1.2-5,5.0,0.7770377327937332,0.9934404612056875,070090
ASO3_10,KQ379_L20_5-10-5_10uM_P1.2-1,1.0,0.7735315318560723,0.9146898139078066,070090
ASO280_10,KQJM023_L17_4-10-3_10uM_P1.2-5,5.0,0.7788623574137826,1.0724226520493993,070100
ASO80_10,KQ341_L20_5-10-5_10uM_P1.2-3,3.0,0.7452778531580894,1.0440973787034886,070100
ASO149_10,KQ455_L20_5-10-5_10uM_P1.2-5,5.0,0.8323006827886407,1.172745693886587,080100
ASO260_10,KQJM113_L17_5-08-4_10uM_P1.2-3,3.0,0.8733241827331778,1.4934189725747797,080100
ASO262_10,KQJM115_L17_5-08-4_10uM_P1.2-3,3.0,0.8282294588240668,1.2180362458514338,080100
ASO283_10,KQJM026_L17_4-10-3_10uM_P1.2-8,8.0,0.8027792698440394,1.0237081079228534,080100
ASO288_10,KQJM129_L17_4-10-3_10uM_P1.2-4,4.0,0.8661990068335129,1.2113240134474592,080100
ASO265_10,KQJM006_L20_6-08-6_10uM_P1.2-4,4.0,0.9466196923229667,0.9160601804889078,090090
ASO266_10,KQJM008_L20_6-08-6_10uM_P1.2-4,4.0,0.9431373932381865,0.9616590763570251,090090
ASO232_10,KQ236_L20_5-10-5_10uM_P1.2-8,8.0,0.9827084545544545,1.002176923149286,090100
ASO269_10,KQJM011_L19_5-10-4_10uM_P1.2-5,5.0,0.9233914579785006,1.2976202825091525,090100
ASO117_10,KQ426_L20_5-10-5_10uM_P1.2-4,4.0,1.2074060454746138,1.260728212200854,100100
ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,1.0,1.0698009205924406,1.2775121973519576,100100
ASO163_10,KQ991_L20_5-10-5_10uM_P1.2-6,6.0,1.267560677612874,1.2745578682327312,100100
ASO178_10,KQ471_L20_5-10-5_10uM_P1.2-6,6.0,1.5405769722026985,1.904879425563171,100100
ASO179_10,KQ470_L20_5-10-5_10uM_P1.2-6,6.0,1.1097689338646703,1.2265741284331837,100100
ASO184_10,KQ274_L20_5-10-5_10uM_P1.2-6,6.0,1.2378489119659997,1.6443387263915035,100100
ASO19_10,KQ975_L20_5-10-5_10uM_P1.2-2,2.0,1.5464274096003834,1.591100537669284,100100
ASO1_10,KQ972_L20_5-10-5_10uM_P1.2-1,1.0,1.0002367021108727,1.6020075664508875,100100
ASO222_10,KQ299_L20_5-10-5_10uM_P1.2-9,9.0,1.032609280750892,1.2577880263540837,100100
ASO229_10,KQ1002_L20_5-10-5_10uM_P1.2-8,8.0,2.370748136133737,3.5198963172556232,100100
ASO235_10,KQ1003_L20_5-10-5_10uM_P1.2-8,8.0,1.5598087888626218,1.3328467166790514,100100
ASO237_10,KQ520_L20_5-10-5_10uM_P1.2-8,8.0,1.0614473269401767,1.0105420555500186,100100
ASO238_10,KQ519_L20_5-10-5_10uM_P1.2-8,8.0,2.146602365656703,1.2437517294116254,100100
ASO242_10,KQ508_L20_5-10-5_10uM_P1.2-9,9.0,1.1585931328147112,1.2627797023120129,100100
