Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
ASO1-95_total_1.2-6_20210630,F1,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,9.088492199999997,1.55,0.34151006418859886,0.08680804390256375,0.9687496503779102,1.0,0.7831926836334168,0.007585231700137728,2.5557917926276454
ASO1-95_total_1.2-6_20210630,F2,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.516765890000002,0.98,0.5069797398950145,0.08680804390256375,1.229681233455941,1.0,,,
ASO1-95_total_1.2-6_20210630,F3,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.629122540000001,1.09,0.46976137460700584,0.08680804390256375,0.7351978585072848,1.0,,,
ASO1-95_total_1.2-6_20210630,F4,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,9.214991569999999,1.68,0.31208263722540297,0.06894518842451018,1.359722582375664,1.0,,,
ASO1-95_total_1.2-6_20210630,F5,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.708036190000001,1.17,0.44442134058328514,0.06894518842451018,0.39853004818300186,1.0,,,
ASO1-95_total_1.2-6_20210630,F6,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.815070420000005,1.28,0.41179550863378656,0.06894518842451018,0.034936907392652816,1.0,,,
ASO1-95_WT_1.2-6_20210630,F1,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.643508880000002,0.21,0.8645372313078652,0.11155502093013117,1.2520997595749377,1.0,,,
ASO1-95_WT_1.2-6_20210630,F2,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.438368050000001,0.01,0.9930924954370359,0.11155502093013117,0.7267492926349769,1.0,,,
ASO1-95_WT_1.2-6_20210630,F3,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.313152850000002,-0.12,1.086734862526058,0.11155502093013117,0.3440729268803207,1.0,,,
ASO1-95_WT_1.2-6_20210630,F4,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.0819492,-0.35,1.2745606273192622,0.1719068232261151,0.4234907657143158,1.0,,,
ASO1-95_WT_1.2-6_20210630,F5,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,8.104441419999997,-0.32,1.2483305489016119,0.1719068232261151,0.3162996363744979,1.0,,,
ASO1-95_WT_1.2-6_20210630,F6,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,7.793689279999999,-0.64,1.5583291593209998,0.1719068232261151,1.5831315770014243,1.0,,,
ASO1-95_MT_1.2-6_20210630,F1,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,9.299411769999999,1.36,0.3895822898302499,0.10707448213858811,0.6914311998682234,1.0,,,
ASO1-95_MT_1.2-6_20210630,F2,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,10.362006599999997,2.42,0.1868561560793673,0.10707448213858811,0.4681000143898373,1.0,,,
