Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO145-168_WT_20210616,O1,Naïve_P14,Naïve_P14,28.9329463185526,21.4474336995388,7.4855126190138,7.440765712898744,0.15670956672314448,0.04474690611505583,0.9694598756364751,1.0056889752141285
ASO145-168_WT_20210616,O2,Naïve_P14,Naïve_P14,28.8015421641537,21.3599933039335,7.441548860220202,,,0.0007831473214574558,0.9994573109511683,
ASO145-168_WT_20210616,O3,Naïve_P14,Naïve_P14,28.8374712317838,21.4421412922756,7.395329939508198,,,-0.04543577339054661,1.0319948515329005,
ASO145-168_WT_20210616,O4,Naïve_P14,Naïve_P14,28.7227411410116,21.2983189867254,7.4244221542862014,,,-0.016343558612542886,1.0113929019275232,
ASO145-168_WT_20210616,O5,Naïve_P14,Naïve_P14,28.6907632041438,21.3351031600998,7.355660044044001,,,-0.08510566885474358,1.0607654332992575,
ASO145-168_WT_20210616,O6,Naïve_P14,Naïve_P14,28.6953139881109,21.3137028747356,7.3816111133753,,,-0.059154599523444595,1.0418550684487542,
ASO145-168_WT_20210616,O7,Naïve_P14,Naïve_P14,28.7932020566097,21.6424684413723,7.1507336152373995,,,-0.29003209766134486,1.2226674797888581,
ASO145-168_WT_20210616,O8,Naïve_P14,Naïve_P14,28.840866878312,21.6688310952304,7.172035783081601,,,-0.2687299298171437,1.2047467672342325,
ASO145-168_WT_20210616,O9,Naïve_P14,Naïve_P14,28.9503778778721,21.788849125147,7.161528752725101,,,-0.27923696017364374,1.2135528678469818,
ASO145-168_WT_20210616,P1,Naïve_P14,Naïve_P14,29.1456458979301,21.6954963052165,7.450149592713597,,,0.00938387981485267,0.9935166980477097,
ASO145-168_WT_20210616,P2,Naïve_P14,Naïve_P14,29.2593937297487,21.7254863107263,7.533907419022402,,,0.09314170612365746,0.9374790097463118,
ASO145-168_WT_20210616,P3,Naïve_P14,Naïve_P14,29.2709106720468,21.7862104697453,7.4847002023015,,,0.043934489402755794,0.9700059558433566,
ASO145-168_WT_20210616,P4,Naïve_P14,Naïve_P14,29.0315167499909,21.4546331617632,7.576883588227698,,,0.1361178753289538,0.9099644724400204,
ASO145-168_WT_20210616,P5,Naïve_P14,Naïve_P14,29.1531663969743,21.5120012887998,7.641165108174498,,,0.20039939527575346,0.8703095936877522,
ASO145-168_WT_20210616,P6,Naïve_P14,Naïve_P14,29.2812040598176,21.5863128356944,7.6948912241232,,,0.2541255112244558,0.8384952340678279,
ASO145-168_WT_20210616,P7,Naïve_P14,Naïve_P14,28.9537094141559,21.3491268458967,7.6045825682592,,,0.16381685536045598,0.8926602841030296,
ASO145-168_WT_20210616,P8,Naïve_P14,Naïve_P14,28.857096592796,21.4031775425526,7.4539190502434,,,0.013153337344655291,0.9909242369393697,
ASO145-168_WT_20210616,P9,Naïve_P14,Naïve_P14,28.9688169204691,21.443615722849,7.525201197620099,,,0.08443548472135465,0.9431535123127812,
ASO145-168_WT_20210616,O10,Ionis1375651_10_P14,Ionis1375651_10_P14,34.4930244908617,27.2140537646708,7.278970726190899,,,-0.16179498670784564,1.1186781206732386,0.8553529311960889
ASO145-168_WT_20210616,O11,Ionis1375651_10_P14,Ionis1375651_10_P14,35.4986379436268,27.163958436924,8.334679506702798,,,0.893913793804054,0.5381522179536886,
ASO145-168_WT_20210616,O12,Ionis1375651_10_P14,Ionis1375651_10_P14,34.7634698622257,27.1854188894854,7.5780509727402965,,,0.13728525984155215,0.9092284549613394,
ASO145-168_WT_20210616,P10,Ionis1375651_10_P14,Ionis1375651_10_P14,37.7140737021174,28.2005093147702,9.513564387347202,,,2.0727986744484577,0.2376979433223999,0.14474097188885546
ASO145-168_WT_20210616,P11,Ionis1375651_10_P14,Ionis1375651_10_P14,40,28.2878845189976,11.7121154810024,,,4.271349768103655,0.05178400045531099,
ASO145-168_WT_20210616,P12,Ionis1375651_10_P14,Ionis1375651_10_P14, ,28.282742376143,,,,,,
ASO145-168_WT_20210616,O13,Ionis1375651_3_P14,Ionis1375651_3_P14,33.768348855984,23.9579266944417,9.810422161542302,,,2.369656448643558,0.19349169520453072,0.17962309087295195
ASO145-168_WT_20210616,O14,Ionis1375651_3_P14,Ionis1375651_3_P14,33.987004023708,23.9405258343089,10.046478189399103,,,2.6057124765003588,0.16428669182871788,
ASO145-168_WT_20210616,O15,Ionis1375651_3_P14,Ionis1375651_3_P14,33.9009853431464,23.9950054717569,9.905979871389501,,,2.465214158490757,0.18109088558560724,
ASO145-168_WT_20210616,P13,Ionis1375651_3_P14,Ionis1375651_3_P14,34.6236946636901,25.1277095814035,9.495985082286602,,,2.0552193693878573,0.24061202166715676,0.19455026520709773
ASO145-168_WT_20210616,P14,Ionis1375651_3_P14,Ionis1375651_3_P14,35.3165952142412,25.1316731964142,10.184922017826995,,,2.744156304928251,0.1492542269590476,
ASO145-168_WT_20210616,P15,Ionis1375651_3_P14,Ionis1375651_3_P14,35.024495928503,25.2162556509001,9.808240277602902,,,2.3674745647041577,0.19378454699508887,
ASO145-168_WT_20210616,O16,Ionis676630_10_P14,Ionis676630_10_P14,35.5775546563201,26.7925728004142,8.784981855905905,,,1.3442161430071602,0.3938679297378454,0.5341905710845717
ASO145-168_WT_20210616,O17,Ionis676630_10_P14,Ionis676630_10_P14,35.9063352084711,26.8542731426205,9.052062065850599,,,1.6112963529518547,0.3273041152931133,
ASO145-168_WT_20210616,O18,Ionis676630_10_P14,Ionis676630_10_P14,34.5637821543854,26.9408847001542,7.6228974542312,,,0.1821317413324559,0.8813996682227565,
ASO145-168_WT_20210616,P16,Ionis676630_10_P14,Ionis676630_10_P14,37.3315279842302,28.1683276176705,9.1632003665597,,,1.7224346536609554,0.303036892371216,0.37919658195858413
ASO145-168_WT_20210616,P17,Ionis676630_10_P14,Ionis676630_10_P14,36.4218655726929,28.2284347852841,8.1934307874088,,,0.7526650745100563,0.5935061668708416,
ASO145-168_WT_20210616,P18,Ionis676630_10_P14,Ionis676630_10_P14,37.7786468680276,28.2852656591937,9.493381208833899,,,2.0526154959351546,0.241046686633695,
ASO145-168_WT_20210616,I1,ASO157_10,KQ990_10,31.8164722291916,24.511370492977,7.305101736214599,,,-0.1356639766841452,1.0985983092732396,1.0277631310430726
ASO145-168_WT_20210616,I2,ASO157_10,KQ990_10,31.8456634647225,24.5142018641494,7.3314616005731,,,-0.10930411232564463,1.0787077935093181,
ASO145-168_WT_20210616,I3,ASO157_10,KQ990_10,32.0949897994737,24.5117804336188,7.583209365854902,,,0.14244365295615768,0.9059832903466601,
ASO145-168_WT_20210616,I4,ASO157_10,KQ990_10,31.1655030931355,23.3436662371491,7.8218368559863976,,,0.3810711430876532,0.7678672683624364,0.8002438282906783
ASO145-168_WT_20210616,I5,ASO157_10,KQ990_10,31.1572985971381,23.4244501118396,7.732848485298501,,,0.29208277239975633,0.8167221315949008,
ASO145-168_WT_20210616,I6,ASO157_10,KQ990_10,31.1015174170649,23.3676439469627,7.7338734701022,,,0.2931077572034555,0.8161420849146976,
