Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO289-312_MT_20210617,O1,Naïve_P26,Naïve_P26,29.3237161098103,21.5422368023051,7.781479307505197,7.680931230429277,0.23506077432173123,0.10054807707592062,0.0867367970015221,0.9416502420501989
ASO289-312_MT_20210617,O2,Naïve_P26,Naïve_P26,29.2815980339617,21.5093356487581,7.7722623852036,,,0.09133115477432341,,
ASO289-312_MT_20210617,O3,Naïve_P26,Naïve_P26,29.3061515084636,21.55688911888,7.749262389583599,,,0.06833115915432231,,
ASO289-312_MT_20210617,O4,Naïve_P26,Naïve_P26,29.3541218100437,21.9904797175861,7.363642092457599,,,-0.31728913797167735,-0.29699174187444416,1.2285799479154094
ASO289-312_MT_20210617,O5,Naïve_P26,Naïve_P26,29.3012356168094,21.9864877419509,7.314747874858501,,,-0.36618335557077586,,
ASO289-312_MT_20210617,O6,Naïve_P26,Naïve_P26,29.4892833752517,22.0158548769033,7.473428498348397,,,-0.20750273208087933,,
ASO289-312_MT_20210617,O7,Naïve_P26,Naïve_P26,29.4806937586851,21.526397462777,7.954296295908101,,,0.2733650654788242,0.2837557024594564,0.8214497884784695
ASO289-312_MT_20210617,O8,Naïve_P26,Naïve_P26,29.7065431360989,21.5787747720236,8.127768364075301,,,0.4468371336460244,,
ASO289-312_MT_20210617,O9,Naïve_P26,Naïve_P26,29.3760238276194,21.5640276889366,7.811996138682797,,,0.13106490825352068,,
ASO289-312_MT_20210617,P1,Naïve_P26,Naïve_P26,29.1678422060566,21.2903524655109,7.877489740545702,,,0.1965585101164251,0.24368816353279144,0.8445834231931634
ASO289-312_MT_20210617,P2,Naïve_P26,Naïve_P26,29.1758573220553,21.3032204171457,7.872636904909601,,,0.19170567448032472,,
ASO289-312_MT_20210617,P3,Naïve_P26,Naïve_P26,29.3035248943208,21.2797933578899,8.023731536430901,,,0.3428003060016245,,
ASO289-312_MT_20210617,P4,Naïve_P26,Naïve_P26,29.5448970177121,22.0451918256336,7.499705192078498,,,-0.1812260383507791,-0.15352314446634452,1.1122824159236566
ASO289-312_MT_20210617,P5,Naïve_P26,Naïve_P26,29.5544144379061,22.0074492670876,7.546965170818499,,,-0.13396605961077768,,
ASO289-312_MT_20210617,P6,Naïve_P26,Naïve_P26,29.6003804776052,22.0648265826134,7.5355538949918,,,-0.14537733543747677,,
ASO289-312_MT_20210617,P7,Naïve_P26,Naïve_P26,29.6622342743064,22.1777573616913,7.484476912615101,,,-0.196454317814176,-0.16366577665297655,1.1201296882021765
ASO289-312_MT_20210617,P8,Naïve_P26,Naïve_P26,29.6951294834629,22.1598151290804,7.5353143543825,,,-0.14561687604677687,,
ASO289-312_MT_20210617,P9,Naïve_P26,Naïve_P26,29.6920873228614,22.1600822285301,7.5320050943313,,,-0.14892613609797678,,
ASO289-312_MT_20210617,O10,Ionis1375651_10_P26,Ionis1375651_10uM_P26,35.1935479535187,27.104089411557,8.089458541961704,,,0.4085273115324277,0.21116339652729246,0.8638403451661775
ASO289-312_MT_20210617,O11,Ionis1375651_10_P26,Ionis1375651_10uM_P26,34.5138381462552,27.0913441907671,7.422493955488104,,,-0.25843727494117275,,
ASO289-312_MT_20210617,O12,Ionis1375651_10_P26,Ionis1375651_10uM_P26,35.2233546585017,27.0590232750818,8.1643313834199,,,0.48340015299062244,,
ASO289-312_MT_20210617,P10,Ionis1375651_10_P26,Ionis1375651_10uM_P26,35.4520953347589,26.8412322409061,8.610863093852803,,,0.9299318634235263,1.4221057397120258,0.37316724420668923
ASO289-312_MT_20210617,P11,Ionis1375651_10_P26,Ionis1375651_10uM_P26,36.3187310741184,26.846908079144,9.471822994974403,,,1.790891764545126,,
ASO289-312_MT_20210617,P12,Ionis1375651_10_P26,Ionis1375651_10uM_P26,36.1231019535262,26.8966771319295,9.226424821596702,,,1.5454935911674248,,
ASO289-312_MT_20210617,O13,Ionis1375651_3_P26,Ionis1375651_3uM_P26,32.5773552668497,25.2701992603936,7.3071560064561005,,,-0.3737752239731762,-0.41299027728454263,1.331442640250956
ASO289-312_MT_20210617,O14,Ionis1375651_3_P26,Ionis1375651_3uM_P26,32.4741420463813,25.2804154039441,7.193726642437202,,,-0.4872045879920748,,
ASO289-312_MT_20210617,O15,Ionis1375651_3_P26,Ionis1375651_3uM_P26,32.6211450906938,25.3182048801529,7.3029402105409,,,-0.3779910198883769,,
ASO289-312_MT_20210617,P13,Ionis1375651_3_P26,Ionis1375651_3uM_P26,33.9380364372202,25.7219100974753,8.2161263397449,,,0.5351951093156231,0.3681834213387904,0.7747574236004913
