Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO313-336_WT_20210617,A1,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,36.548431899279,29.7448246967055
ASO313-336_WT_20210617,A2,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,36.2413579133791,29.6927377142971
ASO313-336_WT_20210617,A3,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,37.3340701556665,29.7910033620634
ASO313-336_WT_20210617,A4,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,36.8320840506946,29.6642697938288
ASO313-336_WT_20210617,A5,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,36.9458744521386,29.6049584189712
ASO313-336_WT_20210617,A6,ASO313_10,KQJM052_L17_4-10-3_10uM_P27,36.1665524036914,29.653479260372
ASO313-336_WT_20210617,A7,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,29.0805191610547,21.5285966079498
ASO313-336_WT_20210617,A8,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,29.1517771343236,21.4916279625534
ASO313-336_WT_20210617,A9,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,29.2148975326233,21.529084168275
ASO313-336_WT_20210617,A10,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,30.9022954520734,22.4093586646902
ASO313-336_WT_20210617,A11,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,30.8810678681153,22.3343942656105
ASO313-336_WT_20210617,A12,ASO313_3,KQJM052_L17_4-10-3_3uM_P27,30.648411447229,22.322143398351
ASO313-336_WT_20210617,B1,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,35.0059894803515,27.415203891787
ASO313-336_WT_20210617,B2,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,34.6819861453104,27.5341441810198
ASO313-336_WT_20210617,B3,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,34.39190896849,27.5722188222032
ASO313-336_WT_20210617,B4,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,31.8700463119614,24.8949505682208
ASO313-336_WT_20210617,B5,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,32.1107587711027,24.8301494249958
ASO313-336_WT_20210617,B6,ASO314_10,KQJM053_L17_5-08-4_10uM_P27,31.8844216641933,24.8508444036862
