ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
Naïve_P30,1.1449993630278852,,,Naïve_P30,1.1449993630278852,0.9607329166376092,0.9689535156894485,1.0803360156406907,0.9599747109077171,0.9046289758978049
Naïve_P30,,,,Ionis1375651_10uM_P30,0.08022562533126383,0.1263397724237793,,,,
Naïve_P30,,,,Ionis1375651_3uM_P30,,,0.17682262813540603,0.07591010829066575,,
Naïve_P30,0.9607329166376092,,,Ionis676630_10uM_P30,0.24206403493225262,0.18478748927569463,,,,
Naïve_P30,,,,KQJM095_L21_6-10-5_10uM_P30,0.6674160323632642,0.5486353306622345,,,,
Naïve_P30,,,,KQJM095_L21_6-10-5_3uM_P30,,,0.5288925422501254,0.441765135082812,,
Naïve_P30,0.9689535156894485,,,KQJM096_L17_4-10-3_10uM_P30,0.25476912005984637,0.22631004303516447,,,,
Naïve_P30,,,,KQJM096_L17_4-10-3_3uM_P30,,,0.385502851781262,0.3523991012614183,,
Naïve_P30,,,,KQJM097_L17_5-08-4_10uM_P30,0.42935044906786524,0.47891737479266644,,,,
Naïve_P30,1.0803360156406907,,,KQJM097_L17_5-08-4_3uM_P30,,,0.438262380349277,0.46290187384339576,,
Naïve_P30,,,,KQJM098_L18_4-10-4_10uM_P30,0.4638157949556528,0.47191289343744064,,,,
Naïve_P30,,,,KQJM098_L18_4-10-4_3uM_P30,,,0.4144879350438353,0.4168803580565791,,
Naïve_P30,0.9599747109077171,,,KQJM099_L19_5-10-4_10uM_P30,0.29836755758205064,0.4466723404600407,,,,
Naïve_P30,,,,KQJM099_L19_5-10-4_3uM_P30,,,0.48279203354124506,0.32586714546602324,,
Naïve_P30,,,,KQJM155_L17_4-10-3_10uM_P30,0.3692701189042985,0.2672823095274896,,,,
Naïve_P30,0.9046289758978049,,,KQJM155_L17_4-10-3_3uM_P30,,,0.5672902951299134,0.5116949995959972,,
Naïve_P30,,,,KQJM156_L18_5-08-5_10uM_P30,0.41983422751982,0.3637712073483419,,,,
Naïve_P30,,,,KQJM156_L18_5-08-5_3uM_P30,,,0.5270234763159413,0.613099618023753,,
Ionis1375651_10uM_P30,0.08022562533126383,,,KQJM157_L17_5-08-4_10uM_P30,0.486822266375533,0.40930134032001564,,,,
Ionis1375651_10uM_P30,,,,KQJM157_L17_5-08-4_3uM_P30,,,0.59599168618731,0.567649312274059,,
Ionis1375651_10uM_P30,,,,KQJM158_L18_5-08-5_10uM_P30,0.9222182918441605,0.8819579926800364,,,,
Ionis1375651_10uM_P30,0.1263397724237793,,,KQJM158_L18_5-08-5_3uM_P30,,,0.7593624996028937,0.7785154975011002,,
Ionis1375651_10uM_P30,,,,KQJM159_L19_5-10-4_10uM_P30,1.039793793988099,1.3422460209922538,,,,
