Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO385-408_MT_20210621,A1,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,31.6242235054174,23.1519042848258
ASO385-408_MT_20210621,A2,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,31.3264933417841,23.1030638173144
ASO385-408_MT_20210621,A3,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,31.4668033310777,23.1325309727152
ASO385-408_MT_20210621,A4,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,30.7150929339606,22.6722884951212
ASO385-408_MT_20210621,A5,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,30.7119396709602,22.6842221840585
ASO385-408_MT_20210621,A6,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,30.633102634841,22.6898791833386
ASO385-408_MT_20210621,A7,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,31.0502139386948,23.5365133782946
ASO385-408_MT_20210621,A8,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,31.0731124951643,23.5996914789172
ASO385-408_MT_20210621,A9,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.9770685239803,23.6269910421439
ASO385-408_MT_20210621,A10,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.3873864064365,22.2315325410761
ASO385-408_MT_20210621,A11,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.5777831746891,22.2807011784227
ASO385-408_MT_20210621,A12,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.5248773061457,22.2310266077869
ASO385-408_MT_20210621,B1,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.6591445365128,23.1263239950304
ASO385-408_MT_20210621,B2,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.7103518068283,23.1387639862526
ASO385-408_MT_20210621,B3,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.8589274045918,23.1476306712827
ASO385-408_MT_20210621,B4,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,32.079288248341,23.3835557719397
ASO385-408_MT_20210621,B5,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,32.4610935809862,23.3815299846203
ASO385-408_MT_20210621,B6,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,32.1650657636076,23.4443819137545
ASO385-408_MT_20210621,B7,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.9366451742497,22.6691027752132
ASO385-408_MT_20210621,B8,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,31.0944114759655,22.6608954629835
ASO385-408_MT_20210621,B9,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,31.2001844076322,22.7210405690523
ASO385-408_MT_20210621,B10,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.8319684005445,24.1807555706178
ASO385-408_MT_20210621,B11,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.7364642759201,24.1442783578095
ASO385-408_MT_20210621,B12,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.6108994804269,24.1293692370601
ASO385-408_MT_20210621,C1,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.6758652863627,22.8525497563684
ASO385-408_MT_20210621,C2,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.4952703133259,22.8552388422833
ASO385-408_MT_20210621,C3,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.3502760579963,22.8879590378497
