Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO385-408_total_20210621,A1,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,31.8407997788082,23.3635729442492
ASO385-408_total_20210621,A2,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,32.0478114230198,23.3031550462898
ASO385-408_total_20210621,A3,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,31.8811297913513,23.2211940332961
ASO385-408_total_20210621,A4,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,30.8452869373071,22.7512139765337
ASO385-408_total_20210621,A5,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,30.953072423618,22.6952848010166
ASO385-408_total_20210621,A6,ASO385_10,KQJM130_L19_5-10-4_10uM_P33,30.7954803567031,22.6873356979029
ASO385-408_total_20210621,A7,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.9079875816323,23.6680716032534
ASO385-408_total_20210621,A8,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.9470075955162,23.6487504985765
ASO385-408_total_20210621,A9,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.7642360493687,23.6105925820198
ASO385-408_total_20210621,A10,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.6462189572036,22.2974724166293
ASO385-408_total_20210621,A11,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.5316469546918,22.3240146630231
ASO385-408_total_20210621,A12,ASO385_3,KQJM130_L19_5-10-4_3uM_P33,30.4929987186884,22.2998526445574
ASO385-408_total_20210621,B1,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.6387264623669,23.2168137987435
ASO385-408_total_20210621,B2,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.6971055306891,23.1905637027633
ASO385-408_total_20210621,B3,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.6084266142419,23.1903877843265
ASO385-408_total_20210621,B4,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.9498189508172,23.537058994874
ASO385-408_total_20210621,B5,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,31.9362523357385,23.4967553469068
ASO385-408_total_20210621,B6,ASO386_10,KQJM131_L18_4-10-4_10uM_P33,32.0846843816634,23.5051970696639
ASO385-408_total_20210621,B7,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,31.0590630996497,22.7176125162622
ASO385-408_total_20210621,B8,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.9794458628971,22.6896659407329
ASO385-408_total_20210621,B9,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.9967373433086,22.718028742109
ASO385-408_total_20210621,B10,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.3556757573894,24.1886986055389
ASO385-408_total_20210621,B11,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.2943284126194,24.2302394047047
ASO385-408_total_20210621,B12,ASO386_3,KQJM131_L18_4-10-4_3uM_P33,30.3333271410767,24.2352293195344
ASO385-408_total_20210621,C1,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.6260353895023,22.9811973938918
ASO385-408_total_20210621,C2,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.3557225678912,22.8703114775638
ASO385-408_total_20210621,C3,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.5393226059797,22.9051662187475
ASO385-408_total_20210621,C4,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.6271503786638,23.9710115500879
ASO385-408_total_20210621,C5,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.7372498231156,23.9516271440909
ASO385-408_total_20210621,C6,ASO387_10,KQJM132_L19_5-10-4_10uM_P33,31.5177034464231,24.0130543197199
ASO385-408_total_20210621,C7,ASO387_3,KQJM132_L19_5-10-4_3uM_P33,30.7818407682198,23.4392886363038
ASO385-408_total_20210621,C8,ASO387_3,KQJM132_L19_5-10-4_3uM_P33,30.7651278009577,23.3999288787
ASO385-408_total_20210621,C9,ASO387_3,KQJM132_L19_5-10-4_3uM_P33,30.6858110778094,23.4765443792681
ASO385-408_total_20210621,C10,ASO387_3,KQJM132_L19_5-10-4_3uM_P33,30.2961892909658,24.2890507985454
ASO385-408_total_20210621,C11,ASO387_3,KQJM132_L19_5-10-4_3uM_P33,30.107463273914,24.2898419648585
ASO385-408_total_20210621,C12,ASO387_3,KQJM132_L19_5-10-4_3uM_P33,30.2385297874278,24.3443866512961
