Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,Avg,dCt,Unnamed: 7,Avg.1,SD,ddCt,Avg_ddCt,Exp
ASO433-456_WT_20210622,G1,Naïve_P37,Naïve_P37,28.9633226847667,21.1379672254805,7.825355459286197,,,,-0.7892052091415884,-0.7802468349341526,1.7174246869766736
ASO433-456_WT_20210622,G2,Naïve_P37,Naïve_P37,28.990008857439,21.1554248496003,7.8345840078387,,,,-0.7799766605890852,,
ASO433-456_WT_20210622,G3,Naïve_P37,Naïve_P37,29.0734383337935,21.2304363004375,7.843002033356001,,,,-0.7715586350717842,,
ASO433-456_WT_20210622,G4,Naïve_P37,Naïve_P37,29.1958660301945,21.1955324973482,8.000333532846302,,,,-0.6142271355814835,-0.5991105212864175,1.5147823551488262
ASO433-456_WT_20210622,G5,Naïve_P37,Naïve_P37,29.2178962857604,21.1756540023504,8.042242283410001,,,,-0.572318385017784,,
ASO433-456_WT_20210622,G6,Naïve_P37,Naïve_P37,29.2599826697992,21.2562080446314,8.0037746251678,,,,-0.610786043259985,,
ASO433-456_WT_20210622,G7,Naïve_P37,Naïve_P37,28.8788015346032,20.905839333403,7.972962201200197,,,,-0.6415984672275883,-0.6215572340802211,1.5385349683167704
ASO433-456_WT_20210622,G8,Naïve_P37,Naïve_P37,28.8966158511107,20.8419683129854,8.054647538125298,,,,-0.5599131303024869,,
ASO433-456_WT_20210622,G9,Naïve_P37,Naïve_P37,28.7686018213354,20.8172012576182,7.951400563717197,,,,-0.6631601047105882,,
ASO433-456_WT_20210622,H1,Naïve_P37,Naïve_P37,28.8414390330844,21.2752903297958,7.566148703288597,,,,-1.0484119651391879,-1.0450060692736851,2.0633750389967926
ASO433-456_WT_20210622,H2,Naïve_P37,Naïve_P37,28.8622465317824,21.3131822206628,7.549064311119601,,,,-1.0654963573081844,,
ASO433-456_WT_20210622,H3,Naïve_P37,Naïve_P37,28.9879648458637,21.3945140628096,7.593450783054102,,,,-1.0211098853736829,,
ASO433-456_WT_20210622,H4,Naïve_P37,Naïve_P37,29.086282575072,21.1286244602291,7.9576581148429,,,,-0.6569025535848851,-0.7101641908908517,1.6359902960458197
ASO433-456_WT_20210622,H5,Naïve_P37,Naïve_P37,29.0213534487077,21.1572317842876,7.8641216644201,,,,-0.7504390040076849,,
ASO433-456_WT_20210622,H6,Naïve_P37,Naïve_P37,29.1052574786799,21.2138478253321,7.8914096533478,,,,-0.7231510150799849,,
ASO433-456_WT_20210622,H7,Naïve_P37,Naïve_P37,29.1133181800986,21.1820675341557,7.9312506459428995,,,,-0.6833100224848856,-0.6997004449770508,1.6241675225067578
ASO433-456_WT_20210622,H8,Naïve_P37,Naïve_P37,29.0723871884317,21.1702410815519,7.902146106879801,,,,-0.712414561547984,,
ASO433-456_WT_20210622,H9,Naïve_P37,Naïve_P37,29.1760936154512,21.2649096979217,7.9111839175295025,,,,-0.7033767508982827,,
ASO433-456_WT_20210622,G10,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.4463035253776,27.2137258664532,10.232577658924402,,,,1.618016990496617,2.0762064931796154,0.2371371348786696
ASO433-456_WT_20210622,G11,Ionis1375651_10_P37,Ionis1375651_10uM_P37,37.8069556078804,27.1206777106948,10.686277897185597,,,,2.0717172287578123,,
ASO433-456_WT_20210622,G12,Ionis1375651_10_P37,Ionis1375651_10uM_P37,38.1976512582694,27.0442053295572,11.153445928712202,,,,2.5388852602844167,,
ASO433-456_WT_20210622,H10,Ionis1375651_10_P37,Ionis1375651_10uM_P37,38.4014818238678,27.7024004809294,10.699081342938399,,,,2.084520674510614,2.6895671143675144,0.15500996679133447
ASO433-456_WT_20210622,H11,Ionis1375651_10_P37,Ionis1375651_10uM_P37,40.0,27.7550137906697,12.2449862093303,,,,3.6304255409025146,,
ASO433-456_WT_20210622,H12,Ionis1375651_10_P37,Ionis1375651_10uM_P37,38.6806928517088,27.7123770555916,10.9683157961172,,,,2.353755127689414,,
ASO433-456_WT_20210622,G13,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.6458731702906,25.0627120875239,9.5831610827667,,,,0.9686004143389155,0.825432231009715,0.5643131090327601
ASO433-456_WT_20210622,G14,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.2850281906138,25.0361021687662,9.248926021847602,,,,0.6343653534198168,,
ASO433-456_WT_20210622,G15,Ionis1375651_3_P37,Ionis1375651_3uM_P37,34.6218914024441,25.1339998087459,9.487891593698198,,,,0.8733309252704125,,
ASO433-456_WT_20210622,H13,Ionis1375651_3_P37,Ionis1375651_3uM_P37,35.8599989684358,24.8758662143308,10.984132754104998,,,,2.3695720856772127,2.529034617575647,0.1732545783998292
ASO433-456_WT_20210622,H14,Ionis1375651_3_P37,Ionis1375651_3uM_P37,36.4324099666849,24.9145400918865,11.5178698747984,,,,2.903309206370615,,
ASO433-456_WT_20210622,H15,Ionis1375651_3_P37,Ionis1375651_3uM_P37,35.9090516368196,24.9802684077127,10.928783229106898,,,,2.314222560679113,,
ASO433-456_WT_20210622,G16,Ionis676630_10_P37,Ionis676630_10uM_P37,35.9286461883867,26.7831510403447,9.145495148042002,8.663003949864,8.614560668427785,0.06850914561295395,0.530934479614217,0.04844328143621605,0.9669791706423144
ASO433-456_WT_20210622,G17,Ionis676630_10_P37,Ionis676630_10uM_P37,35.4501341696981,26.7931559848217,8.656978184876404,,,,0.04241751644861935,,
ASO433-456_WT_20210622,G18,Ionis676630_10_P37,Ionis676630_10uM_P37,35.0668831563263,26.8803446396527,8.186538516673597,,,,-0.42802215175418823,,
ASO433-456_WT_20210622,H16,Ionis676630_10_P37,Ionis676630_10uM_P37,36.8054619141971,28.0165689886264,8.788892925570703,8.566117386991568,,,0.17433225714291822,-0.048443281436217234,1.0341484391393378
ASO433-456_WT_20210622,H17,Ionis676630_10_P37,Ionis676630_10uM_P37,36.4283144668088,28.0474897555403,8.380824711268499,,,,-0.2337359571592863,,
ASO433-456_WT_20210622,H18,Ionis676630_10_P37,Ionis676630_10uM_P37,36.5366568167642,28.0080222926287,8.528634524135501,,,,-0.08592614429228362,,
ASO433-456_WT_20210622,A1,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.0213331677552,28.6300522445848,7.391280923170402,,,,-1.2232797452573827,-0.833922421117182,1.7825251364517507
ASO433-456_WT_20210622,A2,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.9509071030479,28.5132154157273,8.437691687320605,,,,-0.1768689811071802,,
ASO433-456_WT_20210622,A3,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.0556681101987,28.5427259787579,7.512942131440802,,,,-1.101618536986983,,
ASO433-456_WT_20210622,A4,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.632899924396,28.1171562444384,8.515743679957598,,,,-0.09881698847018683,-0.671633322921186,1.5928752940489275
ASO433-456_WT_20210622,A5,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,36.0903421622088,28.1698862046843,7.920455957524499,,,,-0.6941047109032858,,
ASO433-456_WT_20210622,A6,ASO433_10,KQ2013_L21_6-10-5_10uM_P37,35.5861133519837,28.193530952946,7.3925823990377,,,,-1.2219782693900854,,
ASO433-456_WT_20210622,A7,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.2647258862377,24.2369460500614,9.0277798361763,,,,0.4132191677485153,0.32281498714091345,0.7995083536425043
ASO433-456_WT_20210622,A8,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,32.9441731600893,24.2125885013881,8.731584658701198,,,,0.11702399027341315,,
ASO433-456_WT_20210622,A9,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.2290758639005,24.1763133920719,9.052762471828597,,,,0.43820180340081194,,
ASO433-456_WT_20210622,A10,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.3885471519792,24.6916955303032,8.696851621676004,,,,0.08229095324821856,0.14953698386038283,0.9015397548507722
ASO433-456_WT_20210622,A11,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.6083192774078,24.6476825417954,8.9606367356124,,,,0.34607606718461525,,
ASO433-456_WT_20210622,A12,ASO433_3,KQ2013_L21_6-10-5_3uM_P37,33.3256821115113,24.6908775119352,8.6348045995761,,,,0.020243931148314687,,
ASO433-456_WT_20210622,B1,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.3796328173123,25.61387553927,8.765757278042297,,,,0.1511966096145123,-0.007684223524654736,1.0053405078130044
ASO433-456_WT_20210622,B2,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.1942467508978,25.5739293457095,8.620317405188295,,,,0.00575673676051025,,
ASO433-456_WT_20210622,B3,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.0201675763226,25.5856129248438,8.434554651478798,,,,-0.18000601694898677,,
ASO433-456_WT_20210622,B4,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,35.1079885065874,25.872346586337,9.235641920250398,,,,0.6210812518226128,0.32041632828858013,0.8008387407762223
ASO433-456_WT_20210622,B5,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.7442167139955,25.8460291246386,8.898187589356898,,,,0.28362692092911246,,
ASO433-456_WT_20210622,B6,ASO434_10,KQ2014_L20_5-10-5_10uM_P37,34.5383538543509,25.8672523738091,8.6711014805418,,,,0.05654081211401518,,
ASO433-456_WT_20210622,B7,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.1489868418138,22.9741408248389,9.1748460169749,,,,0.5602853485471151,0.4278700479912487,0.7433584478576968
ASO433-456_WT_20210622,B8,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,31.8716149781019,22.8927500738914,8.9788649042105,,,,0.36430423578271487,,
ASO433-456_WT_20210622,B9,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,31.8454789270065,22.8718976989348,8.973581228071701,,,,0.3590205596439162,,
ASO433-456_WT_20210622,B10,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.2659938081163,23.142621929424,9.1233718786923,,,,0.5088112102645148,0.5301547440647821,0.6924804543329162
ASO433-456_WT_20210622,B11,ASO434_3,KQ2014_L20_5-10-5_3uM_P37,32.309133854613,23.1623592731815,9.146774581431501,,,,0.5322139130037158,,
