Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO481-504_total_20210623,A1,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,35.0494129040473,26.3477408251035
ASO481-504_total_20210623,A2,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.7572033655125,26.4216781734883
ASO481-504_total_20210623,A3,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.757261585381,26.3886607637663
ASO481-504_total_20210623,A4,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.8338275112009,26.491944155484
ASO481-504_total_20210623,A5,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.9356311400599,26.4204740158042
ASO481-504_total_20210623,A6,ASO481_10,KQ2061_L20_6-08-6_10uM_P41,34.8472172524992,26.4027631534182
ASO481-504_total_20210623,A7,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.4026563393884,24.0418644149084
ASO481-504_total_20210623,A8,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.5569341687726,23.9563241727714
ASO481-504_total_20210623,A9,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.2722739953631,23.9557951235855
ASO481-504_total_20210623,A10,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.1114894128533,23.3993185660582
ASO481-504_total_20210623,A11,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,31.7544357753797,23.3085724102482
ASO481-504_total_20210623,A12,ASO481_3,KQ2061_L20_6-08-6_3uM_P41,32.1028164695063,23.3104799121664
ASO481-504_total_20210623,B1,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.2228736610248,25.8400304205363
ASO481-504_total_20210623,B2,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.7008086574638,25.8359253574639
ASO481-504_total_20210623,B3,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.2344256716414,25.7268375671611
ASO481-504_total_20210623,B4,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.8491285349713,26.546698915415
ASO481-504_total_20210623,B5,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,36.0609532943295,26.4256084506386
ASO481-504_total_20210623,B6,ASO482_10,KQ2062_L21_7-08-6_10uM_P41,35.774083708793,26.3693704392554
ASO481-504_total_20210623,B7,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,34.3527708872837,24.5673964862767
ASO481-504_total_20210623,B8,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,34.3924904617077,24.5261941038871
ASO481-504_total_20210623,B9,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,33.6224568144773,24.4952922925562
ASO481-504_total_20210623,B10,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,33.1150650116778,24.2275561572152
ASO481-504_total_20210623,B11,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,33.3899845971379,24.1957552858346
ASO481-504_total_20210623,B12,ASO482_3,KQ2062_L21_7-08-6_3uM_P41,32.967711254449,24.1448044199286
ASO481-504_total_20210623,C1,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.0861775233824,25.5533277724265
ASO481-504_total_20210623,C2,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.0694161019506,25.4814484887626
ASO481-504_total_20210623,C3,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,33.9560610373321,25.4805285548439
ASO481-504_total_20210623,C4,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,35.0390765921687,26.3336583401975
ASO481-504_total_20210623,C5,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.7748758475494,26.2510287120536
ASO481-504_total_20210623,C6,ASO483_10,KQ2063_L21_7-08-6_10uM_P41,34.5179188667552,26.203074977447
ASO481-504_total_20210623,C7,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.7028631111781,24.2379445336521
ASO481-504_total_20210623,C8,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.4156889476174,24.1677887469281
ASO481-504_total_20210623,C9,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.5739807970712,24.1684664719247
ASO481-504_total_20210623,C10,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,33.078072069845,23.9515585163559
ASO481-504_total_20210623,C11,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,33.0584501745681,23.9114727383407
ASO481-504_total_20210623,C12,ASO483_3,KQ2063_L21_7-08-6_3uM_P41,32.9810563579014,23.8973748891544
ASO481-504_total_20210623,D1,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,32.0719906978252,24.6031047145705
ASO481-504_total_20210623,D2,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,31.8927452117049,24.5900708395451
ASO481-504_total_20210623,D3,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,32.1086828826132,24.5373537023504
ASO481-504_total_20210623,D4,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,31.9545280359611,24.3305507784974
ASO481-504_total_20210623,D5,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,31.8614120665521,24.3062497645028
ASO481-504_total_20210623,D6,ASO484_10,KQ2064_L19_6-08-5_10uM_P41,32.0786191127878,24.2748969975903
ASO481-504_total_20210623,D7,ASO484_3,KQ2064_L19_6-08-5_3uM_P41,31.1498098174134,22.9161699466318
ASO481-504_total_20210623,D8,ASO484_3,KQ2064_L19_6-08-5_3uM_P41,30.8864539017945,22.8571007169857
ASO481-504_total_20210623,D9,ASO484_3,KQ2064_L19_6-08-5_3uM_P41,30.9826337532761,22.8732984337147
ASO481-504_total_20210623,D10,ASO484_3,KQ2064_L19_6-08-5_3uM_P41,30.972933901911,22.921328143598
ASO481-504_total_20210623,D11,ASO484_3,KQ2064_L19_6-08-5_3uM_P41,31.1002042753074,22.948415185406
ASO481-504_total_20210623,D12,ASO484_3,KQ2064_L19_6-08-5_3uM_P41,31.1559790697806,22.8519746744014
ASO481-504_total_20210623,E1,ASO485_10,KQ2065_L20_6-08-6_10uM_P41,37.4758694405368,27.3109729670539
ASO481-504_total_20210623,E2,ASO485_10,KQ2065_L20_6-08-6_10uM_P41,36.944556266295,27.2650447128715
ASO481-504_total_20210623,E3,ASO485_10,KQ2065_L20_6-08-6_10uM_P41,36.4471459710844,27.2886301092281
ASO481-504_total_20210623,E4,ASO485_10,KQ2065_L20_6-08-6_10uM_P41,37.3497933757167,26.5758372504179
ASO481-504_total_20210623,E5,ASO485_10,KQ2065_L20_6-08-6_10uM_P41,36.1234468255224,26.5838565619218
ASO481-504_total_20210623,E6,ASO485_10,KQ2065_L20_6-08-6_10uM_P41,35.118929800457,26.4794860807006
ASO481-504_total_20210623,E7,ASO485_3,KQ2065_L20_6-08-6_3uM_P41,34.2802129938817,23.781115399632
ASO481-504_total_20210623,E8,ASO485_3,KQ2065_L20_6-08-6_3uM_P41,33.678520852603,23.7356813483479
ASO481-504_total_20210623,E9,ASO485_3,KQ2065_L20_6-08-6_3uM_P41,34.7630964378676,23.6923110239556
ASO481-504_total_20210623,E10,ASO485_3,KQ2065_L20_6-08-6_3uM_P41,34.6724591489975,24.6045967147783
ASO481-504_total_20210623,E11,ASO485_3,KQ2065_L20_6-08-6_3uM_P41,34.4219254739002,24.5700571977843
ASO481-504_total_20210623,E12,ASO485_3,KQ2065_L20_6-08-6_3uM_P41,34.4061822582791,24.4774204522701
ASO481-504_total_20210623,F1,ASO486_10,KQ2066_L21_7-08-6_10uM_P41,34.5184270246956,25.6090350457577
ASO481-504_total_20210623,F2,ASO486_10,KQ2066_L21_7-08-6_10uM_P41,34.3998137075478,25.5670922351805
ASO481-504_total_20210623,F3,ASO486_10,KQ2066_L21_7-08-6_10uM_P41,34.8251556245348,25.5289268593865
ASO481-504_total_20210623,F4,ASO486_10,KQ2066_L21_7-08-6_10uM_P41,32.4050038312513,25.5065292825455
ASO481-504_total_20210623,F5,ASO486_10,KQ2066_L21_7-08-6_10uM_P41,32.8286691953905,25.3918663159006
