Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
ASO505-528_MT_20210623,G1,Naïve_P43,Naïve_P43,29.9096749178925,23.3406438007976,6.569031117094898,7.310816535684227,0.37132427114720007,-0.7417854185893287,-0.7783595335158946,1.7151794592722591,,,,
ASO505-528_MT_20210623,G2,Naïve_P43,Naïve_P43,29.842743397405,23.3488969516538,6.493846445751199,,,-0.8169700899330277,,,,,,
ASO505-528_MT_20210623,G3,Naïve_P43,Naïve_P43,29.9564252604883,23.4219318168294,6.534493443658899,,,-0.7763230920253275,,,,,,
ASO505-528_MT_20210623,G4,Naïve_P43,Naïve_P43,29.4892173423039,22.2289462650004,7.2602710773035,,,-0.05054545838072677,0.030735985307940084,0.9789207775265153,,,,
ASO505-528_MT_20210623,G5,Naïve_P43,Naïve_P43,29.6817160589636,22.2160166055823,7.465699453381301,,,0.15488291769707452,,,,,,
ASO505-528_MT_20210623,G6,Naïve_P43,Naïve_P43,29.572891612669,22.2742045803773,7.298687032291699,,,-0.012129503392527496,,,,,,
ASO505-528_MT_20210623,G7,Naïve_P43,Naïve_P43,30.2564932277597,22.7280975470375,7.528395680722202,,,0.21757914503797515,0.16296085874127364,0.8931900848544083,,,,
ASO505-528_MT_20210623,G8,Naïve_P43,Naïve_P43,30.1888667474403,22.7248453564823,7.464021390957999,,,0.15320485527377237,,,,,,
ASO505-528_MT_20210623,G9,Naïve_P43,Naïve_P43,30.2292215089189,22.8003063973226,7.4289151115963,,,0.1180985759120734,,,,,,
ASO505-528_MT_20210623,H1,Naïve_P43,Naïve_P43,30.212925937552,22.6957724573283,7.517153480223701,,,0.2063369445394745,0.13543058950487286,0.9103980738989798,,,,
ASO505-528_MT_20210623,H2,Naïve_P43,Naïve_P43,30.1964894147458,22.7330162947077,7.463473120038099,,,0.1526565843538723,,,,,,
ASO505-528_MT_20210623,H3,Naïve_P43,Naïve_P43,30.0972441379462,22.7391293626407,7.3581147753054985,,,0.047298239621271776,,,,,,
ASO505-528_MT_20210623,H4,Naïve_P43,Naïve_P43,30.2525457247864,22.6173194495399,7.635226275246502,,,0.3244097395622756,0.24694265877930674,0.8426803219299568,,,,
ASO505-528_MT_20210623,H5,Naïve_P43,Naïve_P43,30.1914730251712,22.5801085722712,7.611364452899998,,,0.3005479172157717,,,,,,
ASO505-528_MT_20210623,H6,Naïve_P43,Naïve_P43,30.0576549805043,22.6309681252602,7.4266868552441,,,0.11587031955987293,,,,,,
ASO505-528_MT_20210623,H7,Naïve_P43,Naïve_P43,29.7565231787122,22.3264892599544,7.4300339187578,,,0.11921738307357366,0.20228944118250602,0.8691701650370495,,,,
ASO505-528_MT_20210623,H8,Naïve_P43,Naïve_P43,29.8899353317176,22.3665042024692,7.523431129248397,,,0.21261459356417056,,,,,,
ASO505-528_MT_20210623,H9,Naïve_P43,Naïve_P43,29.9967894449094,22.4109365623154,7.585852882594001,,,0.27503634690977385,,,,,,
