Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO529-551_WT_20210623,G1,Naïve_P45,Naïve_P45,30.0824309478433,22.2506323210513,7.831798626792001,,,,-1.3591140820542655,-1.383224649672466,2.608507623407631
ASO529-551_WT_20210623,G2,Naïve_P45,Naïve_P45,30.1149217958706,22.3310125375533,7.783909258317301,,,,-1.4070034505289648,,
ASO529-551_WT_20210623,G3,Naïve_P45,Naïve_P45,30.1689662237977,22.3616099313856,7.8073562924120985,,,,-1.3835564164341676,,
ASO529-551_WT_20210623,G4,Naïve_P45,Naïve_P45,30.2457830738101,22.2319692680747,8.0138138057354,,,,-1.177098903110867,-1.2402941074737666,2.362466885718779
ASO529-551_WT_20210623,G5,Naïve_P45,Naïve_P45,30.1701769705601,22.2532981453353,7.916878825224799,,,,-1.2740338836214669,,
ASO529-551_WT_20210623,G6,Naïve_P45,Naïve_P45,30.2518285798779,22.3306654067206,7.9211631731573,,,,-1.269749535688966,,
ASO529-551_WT_20210623,G7,Naïve_P45,Naïve_P45,30.6327153771586,22.643965218612,7.988750158546601,,,,-1.202162550299665,-1.2184837327119655,2.3270201974407647
ASO529-551_WT_20210623,G8,Naïve_P45,Naïve_P45,30.6619071937523,22.6379357030634,8.0239714906889,,,,-1.1669412181573655,,
ASO529-551_WT_20210623,G9,Naïve_P45,Naïve_P45,30.6085323566462,22.7039670774788,7.9045652791674,,,,-1.286347429678866,,
ASO529-551_WT_20210623,H1,Naïve_P45,Naïve_P45,30.4471744748385,22.6686639324946,7.778510542343902,,,,-1.412402166502364,-1.3770544259421982,2.5973751900798616
ASO529-551_WT_20210623,H2,Naïve_P45,Naïve_P45,30.6288416520676,22.7049224661791,7.923919185888501,,,,-1.2669935229577654,,
ASO529-551_WT_20210623,H3,Naïve_P45,Naïve_P45,30.4934071228027,22.7542620023229,7.739145120479801,,,,-1.4517675883664651,,
ASO529-551_WT_20210623,H4,Naïve_P45,Naïve_P45,30.3654382091857,22.1606204457235,8.204817763462202,,,,-0.986094945384064,-0.9555149750404995,1.9392717401679245
ASO529-551_WT_20210623,H5,Naïve_P45,Naïve_P45,30.3540185503972,22.1160262591967,8.237992291200499,,,,-0.9529204176457675,,
ASO529-551_WT_20210623,H6,Naïve_P45,Naïve_P45,30.4791003516766,22.215717204922,8.263383146754599,,,,-0.9275295620916673,,
ASO529-551_WT_20210623,H7,Naïve_P45,Naïve_P45,30.8148868794331,22.5795931146127,8.235293764820401,,,,-0.9556189440258649,-0.9438875364337006,1.9237049433665074
ASO529-551_WT_20210623,H8,Naïve_P45,Naïve_P45,30.8133723028608,22.5522945228365,8.261077780024298,,,,-0.9298349288219683,,
ASO529-551_WT_20210623,H9,Naïve_P45,Naïve_P45,30.8736258033574,22.6289218309644,8.244703972392998,,,,-0.9462087364532685,,
ASO529-551_WT_20210623,G10,Ionis1375651_10_P45,Ionis1375651_10uM_P45,38.4211009459967,28.3857559706865,10.035344975310199,,,,0.844432266463933,1.766755980107367,0.2938687833673121
ASO529-551_WT_20210623,G11,Ionis1375651_10_P45,Ionis1375651_10uM_P45,40.0,28.5208204527606,11.4791795472394,,,,2.2882668383931346,,
ASO529-551_WT_20210623,G12,Ionis1375651_10_P45,Ionis1375651_10uM_P45,40.0,28.6415184556887,11.3584815443113,,,,2.1675688354650333,,
ASO529-551_WT_20210623,H10,Ionis1375651_10_P45,Ionis1375651_10uM_P45,40.0,30.2297432726681,9.770256727331901,,,,0.5793440184856351,0.6162075214156673,0.6523836263525902
ASO529-551_WT_20210623,H11,Ionis1375651_10_P45,Ionis1375651_10uM_P45,40.0,30.0536214420108,9.946378557989199,,,,0.7554658491429329,,
ASO529-551_WT_20210623,H12,Ionis1375651_10_P45,Ionis1375651_10uM_P45,40.0,30.2952745945353,9.7047254054647,,,,0.5138126966184338,,
ASO529-551_WT_20210623,G13,Ionis1375651_3_P45,Ionis1375651_3uM_P45,40.0,26.9545763059224,13.045423694077598,,,,3.8545109852313324,3.656772401280468,0.07928696973689556
ASO529-551_WT_20210623,G14,Ionis1375651_3_P45,Ionis1375651_3uM_P45,40.0,26.9886629659053,13.011337034094701,,,,3.8204243252484353,,
ASO529-551_WT_20210623,G15,Ionis1375651_3_P45,Ionis1375651_3uM_P45,39.5257212833201,27.0394266811122,12.486294602207902,,,,3.295381893361636,,
