Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO529-551_MT_20210623,A1,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.6420551186254,28.7893774220586
ASO529-551_MT_20210623,A2,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,38.0611344731065,28.8101062452472
ASO529-551_MT_20210623,A3,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,39.2755502147943,28.8184187125614
ASO529-551_MT_20210623,A4,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,36.6403440708075,28.3007444714788
ASO529-551_MT_20210623,A5,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,36.2991687401754,28.3387105252075
ASO529-551_MT_20210623,A6,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,36.9672089550464,28.313593119984
ASO529-551_MT_20210623,A7,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,34.6818167058658,26.4431897228957
ASO529-551_MT_20210623,A8,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.9459930655603,26.4232549163274
ASO529-551_MT_20210623,A9,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.5279797521963,26.4511625915756
ASO529-551_MT_20210623,A10,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.6051995500201,26.2403384028487
ASO529-551_MT_20210623,A11,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.2338192011309,26.2547925973992
ASO529-551_MT_20210623,A12,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.0853266881078,26.3633684453969
ASO529-551_MT_20210623,B1,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.8543886265364,26.701715675859
ASO529-551_MT_20210623,B2,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,36.0469607402302,26.7472050990536
ASO529-551_MT_20210623,B3,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,36.5227215943874,26.8214855462196
ASO529-551_MT_20210623,B4,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.0688321889554,25.9820393197481
ASO529-551_MT_20210623,B5,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,36.496283947613,25.9649299763777
ASO529-551_MT_20210623,B6,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,36.6751786613087,26.0105184043116
ASO529-551_MT_20210623,B7,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.3646738481671,24.3188643914977
ASO529-551_MT_20210623,B8,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.5286683638555,24.2953956649656
ASO529-551_MT_20210623,B9,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.316526500143,24.3530365939239
ASO529-551_MT_20210623,B10,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,34.0663397952724,24.1834383652397
ASO529-551_MT_20210623,B11,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.503022427874,24.1932639104242
ASO529-551_MT_20210623,B12,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.8795006243708,24.2334389035808
ASO529-551_MT_20210623,C1,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,35.0107844741117,26.3565642616933
ASO529-551_MT_20210623,C2,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.7201114831714,26.3473937923374
ASO529-551_MT_20210623,C3,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,35.2529535880087,26.3537926232029
ASO529-551_MT_20210623,C4,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.1259458125624,25.906814312531
ASO529-551_MT_20210623,C5,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.5866802857541,25.9210009861824
ASO529-551_MT_20210623,C6,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.2813624072019,25.9526572553868
ASO529-551_MT_20210623,C7,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.0529383575094,24.2755963621406
ASO529-551_MT_20210623,C8,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.9416577869765,24.3233273039634
ASO529-551_MT_20210623,C9,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.8357069474318,24.4054700177508
ASO529-551_MT_20210623,C10,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.4792511610274,24.5207829679424
ASO529-551_MT_20210623,C11,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.1049381220769,24.5804002651826
ASO529-551_MT_20210623,C12,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.462331474748,24.5704138879469
ASO529-551_MT_20210623,D1,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.2033936602705,24.8977222153003
ASO529-551_MT_20210623,D2,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.6070508286738,24.9089456901844
ASO529-551_MT_20210623,D3,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.3914982561237,24.9309168619077
ASO529-551_MT_20210623,D4,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,34.2300030492896,25.0263191177936
ASO529-551_MT_20210623,D5,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,34.0592506910722,25.0223600260434
ASO529-551_MT_20210623,D6,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,34.407434877296,25.080634991507
ASO529-551_MT_20210623,D7,ASO532_3,KQ2112_L20_6-08-6_3uM_P45,32.0727187352804,24.1253288854832
ASO529-551_MT_20210623,D8,ASO532_3,KQ2112_L20_6-08-6_3uM_P45,31.9622580306537,24.1591709895461
ASO529-551_MT_20210623,D9,ASO532_3,KQ2112_L20_6-08-6_3uM_P45,32.1870500600676,24.2254970261318
ASO529-551_MT_20210623,D10,ASO532_3,KQ2112_L20_6-08-6_3uM_P45,32.4685567795113,25.120880577631
ASO529-551_MT_20210623,D11,ASO532_3,KQ2112_L20_6-08-6_3uM_P45,32.4840098698752,25.0848397888981
ASO529-551_MT_20210623,D12,ASO532_3,KQ2112_L20_6-08-6_3uM_P45,32.3102679529871,25.1638912763875
ASO529-551_MT_20210623,E1,ASO533_10,KQ2113_L20_6-08-6_10uM_P45,33.7613859592984,25.5900140557484
ASO529-551_MT_20210623,E2,ASO533_10,KQ2113_L20_6-08-6_10uM_P45,34.2344789512615,25.6075510683346
ASO529-551_MT_20210623,E3,ASO533_10,KQ2113_L20_6-08-6_10uM_P45,33.7852895562479,25.6832718852743
ASO529-551_MT_20210623,E4,ASO533_10,KQ2113_L20_6-08-6_10uM_P45,33.6088243103625,24.18061410669
ASO529-551_MT_20210623,E5,ASO533_10,KQ2113_L20_6-08-6_10uM_P45,33.3082636663061,24.1644315511807
ASO529-551_MT_20210623,E6,ASO533_10,KQ2113_L20_6-08-6_10uM_P45,33.2428744028397,24.2135507906574
ASO529-551_MT_20210623,E7,ASO533_3,KQ2113_L20_6-08-6_3uM_P45,33.5627598737295,24.1013774757944
ASO529-551_MT_20210623,E8,ASO533_3,KQ2113_L20_6-08-6_3uM_P45,33.0986136272627,24.0736494726182
ASO529-551_MT_20210623,E9,ASO533_3,KQ2113_L20_6-08-6_3uM_P45,33.2434867171698,24.175561009365
ASO529-551_MT_20210623,E10,ASO533_3,KQ2113_L20_6-08-6_3uM_P45,32.8362763643172,24.1093681163763
ASO529-551_MT_20210623,E11,ASO533_3,KQ2113_L20_6-08-6_3uM_P45,33.329505091448,24.1396925598901
ASO529-551_MT_20210623,E12,ASO533_3,KQ2113_L20_6-08-6_3uM_P45,33.4477222751755,24.1579230387412
ASO529-551_MT_20210623,F1,ASO534_10,KQ2114_L19_6-08-5_10uM_P45,32.7454839973733,25.8252165615638
ASO529-551_MT_20210623,F2,ASO534_10,KQ2114_L19_6-08-5_10uM_P45,32.6654013145882,25.8019526745278
ASO529-551_MT_20210623,F3,ASO534_10,KQ2114_L19_6-08-5_10uM_P45,32.6189932321069,25.8252762816566
ASO529-551_MT_20210623,F4,ASO534_10,KQ2114_L19_6-08-5_10uM_P45,32.7806699379551,24.5778683402269
ASO529-551_MT_20210623,F5,ASO534_10,KQ2114_L19_6-08-5_10uM_P45,32.6678755296324,24.5940870098326
ASO529-551_MT_20210623,F6,ASO534_10,KQ2114_L19_6-08-5_10uM_P45,33.0704808490269,24.6410363754561
ASO529-551_MT_20210623,F7,ASO534_3,KQ2114_L19_6-08-5_3uM_P45,32.7212387513753,24.5506316125153
ASO529-551_MT_20210623,F8,ASO534_3,KQ2114_L19_6-08-5_3uM_P45,32.8040074346455,24.6250398763277
ASO529-551_MT_20210623,F9,ASO534_3,KQ2114_L19_6-08-5_3uM_P45,32.8941756698195,24.6567345881291
ASO529-551_MT_20210623,F10,ASO534_3,KQ2114_L19_6-08-5_3uM_P45,32.6356875966297,24.0542848112756
ASO529-551_MT_20210623,F11,ASO534_3,KQ2114_L19_6-08-5_3uM_P45,32.2983632521611,24.142777083701
ASO529-551_MT_20210623,F12,ASO534_3,KQ2114_L19_6-08-5_3uM_P45,32.8018256192787,24.1641060971634
ASO529-551_MT_20210623,A13,ASO535_10,KQ2115_L19_6-08-5_10uM_P45,33.8468429281096,25.1410060116459
ASO529-551_MT_20210623,A14,ASO535_10,KQ2115_L19_6-08-5_10uM_P45,33.6635807392359,25.1635266912963
ASO529-551_MT_20210623,A15,ASO535_10,KQ2115_L19_6-08-5_10uM_P45,33.7406583266761,25.2318134052262
ASO529-551_MT_20210623,A16,ASO535_10,KQ2115_L19_6-08-5_10uM_P45,33.6771351065433,24.9059978801673
ASO529-551_MT_20210623,A17,ASO535_10,KQ2115_L19_6-08-5_10uM_P45,33.6881447759308,24.8680397620275
ASO529-551_MT_20210623,A18,ASO535_10,KQ2115_L19_6-08-5_10uM_P45,33.9873743391154,24.9736658489593
ASO529-551_MT_20210623,A19,ASO535_3,KQ2115_L19_6-08-5_3uM_P45,31.945986983908,23.9697961356709
ASO529-551_MT_20210623,A20,ASO535_3,KQ2115_L19_6-08-5_3uM_P45,32.0107130301131,23.9753028438772
ASO529-551_MT_20210623,A21,ASO535_3,KQ2115_L19_6-08-5_3uM_P45,32.1868354456701,24.0041837573076
ASO529-551_MT_20210623,A22,ASO535_3,KQ2115_L19_6-08-5_3uM_P45,33.0837584021579,24.332334257527
ASO529-551_MT_20210623,A23,ASO535_3,KQ2115_L19_6-08-5_3uM_P45,33.156517318109,24.3104797995436
ASO529-551_MT_20210623,A24,ASO535_3,KQ2115_L19_6-08-5_3uM_P45,32.9638989374413,24.433619689382
ASO529-551_MT_20210623,B13,ASO536_10,KQ2116_L21_7-08-6_10uM_P45,35.7206951430749,26.2889488346458
ASO529-551_MT_20210623,B14,ASO536_10,KQ2116_L21_7-08-6_10uM_P45,34.754228752477,26.3335513760921
ASO529-551_MT_20210623,B15,ASO536_10,KQ2116_L21_7-08-6_10uM_P45,34.8569230808301,26.378496639003
ASO529-551_MT_20210623,B16,ASO536_10,KQ2116_L21_7-08-6_10uM_P45,34.837263284787,26.3878830436466
ASO529-551_MT_20210623,B17,ASO536_10,KQ2116_L21_7-08-6_10uM_P45,34.6127127353355,26.3447930650699
ASO529-551_MT_20210623,B18,ASO536_10,KQ2116_L21_7-08-6_10uM_P45,35.1310593670427,26.4063845582978
ASO529-551_MT_20210623,B19,ASO536_3,KQ2116_L21_7-08-6_3uM_P45,33.1128763347124,24.3554176736339
ASO529-551_MT_20210623,B20,ASO536_3,KQ2116_L21_7-08-6_3uM_P45,32.9844602351009,24.360857277963
ASO529-551_MT_20210623,B21,ASO536_3,KQ2116_L21_7-08-6_3uM_P45,33.2630829644356,24.4887877172725
ASO529-551_MT_20210623,B22,ASO536_3,KQ2116_L21_7-08-6_3uM_P45,33.3311319957958,25.5281821880333
ASO529-551_MT_20210623,B23,ASO536_3,KQ2116_L21_7-08-6_3uM_P45,33.6202362768857,25.532230027659
ASO529-551_MT_20210623,B24,ASO536_3,KQ2116_L21_7-08-6_3uM_P45,33.1883757072144,25.6585866081321
ASO529-551_MT_20210623,C13,ASO537_10,KQ2117_L19_6-08-5_10uM_P45,36.235297008992,26.6990312181689
ASO529-551_MT_20210623,C14,ASO537_10,KQ2117_L19_6-08-5_10uM_P45,35.8421707092139,26.8258007811515
ASO529-551_MT_20210623,C15,ASO537_10,KQ2117_L19_6-08-5_10uM_P45,35.8527138968925,26.8904104385355
ASO529-551_MT_20210623,C16,ASO537_10,KQ2117_L19_6-08-5_10uM_P45,35.3566107812272,26.3547122435426
ASO529-551_MT_20210623,C17,ASO537_10,KQ2117_L19_6-08-5_10uM_P45,35.4553895817276,26.3814032613269
ASO529-551_MT_20210623,C18,ASO537_10,KQ2117_L19_6-08-5_10uM_P45,35.1645047537714,26.5083679186692
ASO529-551_MT_20210623,C19,ASO537_3,KQ2117_L19_6-08-5_3uM_P45,33.3835111206756,24.4276896610562
ASO529-551_MT_20210623,C20,ASO537_3,KQ2117_L19_6-08-5_3uM_P45,33.1492990343996,24.3996296760066
ASO529-551_MT_20210623,C21,ASO537_3,KQ2117_L19_6-08-5_3uM_P45,33.2319180080506,24.541422155666
ASO529-551_MT_20210623,C22,ASO537_3,KQ2117_L19_6-08-5_3uM_P45,33.3542851758569,24.4159778226065
ASO529-551_MT_20210623,C23,ASO537_3,KQ2117_L19_6-08-5_3uM_P45,33.3859692262912,24.4987519183152
ASO529-551_MT_20210623,C24,ASO537_3,KQ2117_L19_6-08-5_3uM_P45,33.9246495941712,24.5485773681127
ASO529-551_MT_20210623,D13,ASO538_10,KQ2118_L19_6-08-5_10uM_P45,34.6626514998898,25.5751036631471
ASO529-551_MT_20210623,D14,ASO538_10,KQ2118_L19_6-08-5_10uM_P45,34.7018416207626,25.5764697430016
ASO529-551_MT_20210623,D15,ASO538_10,KQ2118_L19_6-08-5_10uM_P45,35.1552638646589,25.6792355638621
ASO529-551_MT_20210623,D16,ASO538_10,KQ2118_L19_6-08-5_10uM_P45,35.6286001755946,25.7283816918214
ASO529-551_MT_20210623,D17,ASO538_10,KQ2118_L19_6-08-5_10uM_P45,34.9356411371465,25.7726179034445
ASO529-551_MT_20210623,D18,ASO538_10,KQ2118_L19_6-08-5_10uM_P45,35.0316596232242,25.8615239752426
ASO529-551_MT_20210623,D19,ASO538_3,KQ2118_L19_6-08-5_3uM_P45,32.9612102260494,24.1457989309342
ASO529-551_MT_20210623,D20,ASO538_3,KQ2118_L19_6-08-5_3uM_P45,33.0546850152772,24.142416420902
ASO529-551_MT_20210623,D21,ASO538_3,KQ2118_L19_6-08-5_3uM_P45,33.1063713372752,24.2307060593237
ASO529-551_MT_20210623,D22,ASO538_3,KQ2118_L19_6-08-5_3uM_P45,32.982398914112,23.8751101672882
ASO529-551_MT_20210623,D23,ASO538_3,KQ2118_L19_6-08-5_3uM_P45,33.1599190695908,23.8843203029896
ASO529-551_MT_20210623,D24,ASO538_3,KQ2118_L19_6-08-5_3uM_P45,33.7566189488015,23.936693266614
ASO529-551_MT_20210623,E13,ASO539_10,KQ2119_L19_6-08-5_10uM_P45,36.4296009587385,29.5570296943296
ASO529-551_MT_20210623,E14,ASO539_10,KQ2119_L19_6-08-5_10uM_P45,36.9416599974995,29.4793943486042
ASO529-551_MT_20210623,E15,ASO539_10,KQ2119_L19_6-08-5_10uM_P45,37.3027087865801,29.8418361345806
ASO529-551_MT_20210623,E16,ASO539_10,KQ2119_L19_6-08-5_10uM_P45,35.8076024874164,29.4908639372399
ASO529-551_MT_20210623,E17,ASO539_10,KQ2119_L19_6-08-5_10uM_P45,36.2512810626804,29.437713125227
ASO529-551_MT_20210623,E18,ASO539_10,KQ2119_L19_6-08-5_10uM_P45,35.6221180865789,29.5191107641519
ASO529-551_MT_20210623,E19,ASO539_3,KQ2119_L19_6-08-5_3uM_P45,34.7379656575194,27.4348297092196
ASO529-551_MT_20210623,E20,ASO539_3,KQ2119_L19_6-08-5_3uM_P45,34.294230387213,27.3891287659857
ASO529-551_MT_20210623,E21,ASO539_3,KQ2119_L19_6-08-5_3uM_P45,34.7990936681044,27.571722108617
ASO529-551_MT_20210623,E22,ASO539_3,KQ2119_L19_6-08-5_3uM_P45,35.0992983312057,27.3606011913381
ASO529-551_MT_20210623,E23,ASO539_3,KQ2119_L19_6-08-5_3uM_P45,35.2221363897301,27.3973365685349
ASO529-551_MT_20210623,E24,ASO539_3,KQ2119_L19_6-08-5_3uM_P45,34.8302367286582,27.4211096499873
ASO529-551_MT_20210623,F13,ASO540_10,KQ2120_L20_6-08-6_10uM_P45,35.7119528438201,27.0278527384564
ASO529-551_MT_20210623,F14,ASO540_10,KQ2120_L20_6-08-6_10uM_P45,35.4860071300123,27.0647986282143
ASO529-551_MT_20210623,F15,ASO540_10,KQ2120_L20_6-08-6_10uM_P45,34.9574704777645,27.1160501777713
ASO529-551_MT_20210623,F16,ASO540_10,KQ2120_L20_6-08-6_10uM_P45,36.7110338528766,27.7639158403585
ASO529-551_MT_20210623,F17,ASO540_10,KQ2120_L20_6-08-6_10uM_P45,37.7131781137578,27.8319296644807
ASO529-551_MT_20210623,F18,ASO540_10,KQ2120_L20_6-08-6_10uM_P45,36.0137182389297,27.9742248602871
