ASO Short Description ,Exp,Unnamed: 2,Unnamed: 3,ID,N1,N2,N3,N4,N5,N6
Naïve_P45,2.608507623407631,,,Naïve_P45,2.608507623407631,2.362466885718779,2.3270201974407647,2.5973751900798616,1.9392717401679245,1.9237049433665074
Naïve_P45,,,,Ionis1375651_10uM_P45,0.2938687833673121,0.6523836263525902,,,,
Naïve_P45,,,,Ionis1375651_3uM_P45,,,0.07928696973689556,0.17917138082651943,,
Naïve_P45,2.362466885718779,,,Ionis676630_10uM_P45,1.3393025689435343,0.7466572701259118,,,,
Naïve_P45,,,,KQ2109_L20_6-08-6_10uM_P45,1.5890096376618794,1.1157340349744391,,,,
Naïve_P45,,,,KQ2109_L20_6-08-6_3uM_P45,,,1.1591378650935669,1.341865064450913,,
Naïve_P45,2.3270201974407647,,,KQ2110_L19_6-08-5_10uM_P45,1.3153425620053798,0.989731207585275,,,,
Naïve_P45,,,,KQ2110_L19_6-08-5_3uM_P45,,,1.3567772288662319,1.0858744996207101,,
Naïve_P45,,,,KQ2111_L20_6-08-6_10uM_P45,1.511442268758597,2.274646791144319,,,,
Naïve_P45,2.5973751900798616,,,KQ2111_L20_6-08-6_3uM_P45,,,1.5438772816408197,1.3548880384540514,,
Naïve_P45,,,,KQ2112_L20_6-08-6_10uM_P45,1.5162645737339913,1.0286381278181156,,,,
Naïve_P45,,,,KQ2112_L20_6-08-6_3uM_P45,,,2.5736864704154834,3.8006768391075414,,
Naïve_P45,1.9392717401679245,,,KQ2113_L20_6-08-6_10uM_P45,1.3322561163438884,1.1764712480104036,,,,
Naïve_P45,,,,KQ2113_L20_6-08-6_3uM_P45,,,0.9883594887194777,1.2253150475572054,,
Naïve_P45,,,,KQ2114_L19_6-08-5_10uM_P45,4.728006206578171,1.4271884837878348,,,,
Naïve_P45,1.9237049433665074,,,KQ2114_L19_6-08-5_3uM_P45,,,14.408521281126873,1.5903389215152859,,
Naïve_P45,,,,KQ2115_L19_6-08-5_10uM_P45,1.9225806608821765,1.4643301026205713,,,,
Naïve_P45,,,,KQ2115_L19_6-08-5_3uM_P45,,,1.771192765248315,1.6526278376732826,,
Ionis1375651_10uM_P45,0.2938687833673121,,,KQ2116_L21_7-08-6_10uM_P45,1.1909544378997006,1.661497519638158,,,,
Ionis1375651_10uM_P45,,,,KQ2116_L21_7-08-6_3uM_P45,,,1.4248850640896844,2.9785878401537573,,
Ionis1375651_10uM_P45,,,,KQ2117_L19_6-08-5_10uM_P45,1.3666062591751627,0.9635471060190581,,,,
Ionis1375651_10uM_P45,0.6523836263525902,,,KQ2117_L19_6-08-5_3uM_P45,,,1.259805812079436,1.1552740791876406,,
Ionis1375651_10uM_P45,,,,KQ2118_L19_6-08-5_10uM_P45,0.6981281611597556,0.8439343350321463,,,,
Ionis1375651_10uM_P45,,,,KQ2118_L19_6-08-5_3uM_P45,,,1.2720804958617653,0.7554846808183305,,
Ionis1375651_3uM_P45,0.07928696973689556,,,KQ2119_L19_6-08-5_10uM_P45,4.213427629234647,5.6574431079754675,,,,
Ionis1375651_3uM_P45,,,,KQ2119_L19_6-08-5_3uM_P45,,,3.6695812189589705,2.3565260565011314,,
Ionis1375651_3uM_P45,,,,KQ2120_L20_6-08-6_10uM_P45,0.9474495362366284,1.408122596185065,,,,
Ionis1375651_3uM_P45,0.17917138082651943,,,KQ2120_L20_6-08-6_3uM_P45,,,1.001505241682493,0.8687111402871671,,
Ionis1375651_3uM_P45,,,,,,,,,,
Ionis1375651_3uM_P45,,,,,,,,,,
Ionis676630_10uM_P45,1.3393025689435343,,,,,,,,,
Ionis676630_10uM_P45,,,,,,,,,,
Ionis676630_10uM_P45,,,,,,,,,,
Ionis676630_10uM_P45,0.7466572701259118,,,,,,,,,
Ionis676630_10uM_P45,,,,,,,,,,
Ionis676630_10uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_10uM_P45,1.5890096376618794,,,,,,,,,
KQ2109_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_10uM_P45,1.1157340349744391,,,,,,,,,
KQ2109_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_3uM_P45,1.1591378650935669,,,,,,,,,
KQ2109_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_3uM_P45,1.341865064450913,,,,,,,,,
KQ2109_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2109_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_10uM_P45,1.3153425620053798,,,,,,,,,
KQ2110_L19_6-08-5_10uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_10uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_10uM_P45,0.989731207585275,,,,,,,,,
KQ2110_L19_6-08-5_10uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_10uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_3uM_P45,1.3567772288662319,,,,,,,,,
KQ2110_L19_6-08-5_3uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_3uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_3uM_P45,1.0858744996207101,,,,,,,,,
KQ2110_L19_6-08-5_3uM_P45,,,,,,,,,,
KQ2110_L19_6-08-5_3uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_10uM_P45,1.511442268758597,,,,,,,,,
KQ2111_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_10uM_P45,2.274646791144319,,,,,,,,,
KQ2111_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_3uM_P45,1.5438772816408197,,,,,,,,,
KQ2111_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_3uM_P45,1.3548880384540514,,,,,,,,,
KQ2111_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2111_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_10uM_P45,1.5162645737339913,,,,,,,,,
KQ2112_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_10uM_P45,1.0286381278181156,,,,,,,,,
KQ2112_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_3uM_P45,2.5736864704154834,,,,,,,,,
KQ2112_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_3uM_P45,3.8006768391075414,,,,,,,,,
KQ2112_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2112_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_10uM_P45,1.3322561163438884,,,,,,,,,
KQ2113_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_10uM_P45,1.1764712480104036,,,,,,,,,
KQ2113_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_10uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_3uM_P45,0.9883594887194777,,,,,,,,,
KQ2113_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_3uM_P45,1.2253150475572054,,,,,,,,,
KQ2113_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2113_L20_6-08-6_3uM_P45,,,,,,,,,,
KQ2114_L19_6-08-5_10uM_P45,4.728006206578171,,,,,,,,,
KQ2114_L19_6-08-5_10uM_P45,,,,,,,,,,
