Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1
ASO529-551_WT_20210623,A1,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.0512215299331,28.9242384719007
ASO529-551_WT_20210623,A2,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.606602418019,28.8785742037417
ASO529-551_WT_20210623,A3,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.6204237559129,28.9070805265263
ASO529-551_WT_20210623,A4,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,38.339521670606,28.4184543117902
ASO529-551_WT_20210623,A5,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,37.3857952314539,28.288664234483
ASO529-551_WT_20210623,A6,ASO529_10,KQ2109_L20_6-08-6_10uM_P45,36.5103136863746,28.4297534053143
ASO529-551_WT_20210623,A7,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,36.0010193023359,26.5394903547139
ASO529-551_WT_20210623,A8,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.025074541144,26.5404903312595
ASO529-551_WT_20210623,A9,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.4956063798082,26.508137912548
ASO529-551_WT_20210623,A10,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.049886675451,26.252445104769
ASO529-551_WT_20210623,A11,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.0677051040252,26.3189494274002
ASO529-551_WT_20210623,A12,ASO529_3,KQ2109_L20_6-08-6_3uM_P45,35.1258570546125,26.3720349873831
ASO529-551_WT_20210623,B1,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.9168416472284,26.6944657231797
ASO529-551_WT_20210623,B2,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.5721616795924,26.7692442735588
ASO529-551_WT_20210623,B3,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.1860163091416,26.8248872454101
ASO529-551_WT_20210623,B4,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,34.8997687475604,26.0324305059974
ASO529-551_WT_20210623,B5,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.3672775007016,26.034575903193
ASO529-551_WT_20210623,B6,ASO530_10,KQ2110_L19_6-08-5_10uM_P45,35.5123984356123,26.0950261719791
ASO529-551_WT_20210623,B7,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,32.9205038769205,24.2986498980996
ASO529-551_WT_20210623,B8,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,32.9659063610931,24.3301297414691
ASO529-551_WT_20210623,B9,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.3501058896133,24.3555499478281
ASO529-551_WT_20210623,B10,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.2173222517222,24.1374834769384
ASO529-551_WT_20210623,B11,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.116757827282,24.2323203438678
ASO529-551_WT_20210623,B12,ASO530_3,KQ2110_L19_6-08-5_3uM_P45,33.6031383950907,24.3512486449132
ASO529-551_WT_20210623,C1,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.3861991278327,26.327355769923
ASO529-551_WT_20210623,C2,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,35.3311058993545,26.3072172769942
ASO529-551_WT_20210623,C3,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,35.1059602941056,26.4037317718002
ASO529-551_WT_20210623,C4,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.0404762013609,25.9394428271332
ASO529-551_WT_20210623,C5,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,33.8098442742145,25.9479641573479
ASO529-551_WT_20210623,C6,ASO531_10,KQ2111_L20_6-08-6_10uM_P45,34.0585647247701,26.0056677091376
ASO529-551_WT_20210623,C7,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.9369647113123,24.2900883180034
ASO529-551_WT_20210623,C8,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,32.8147192875626,24.357510175513
ASO529-551_WT_20210623,C9,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.0163169892738,24.4273386125609
ASO529-551_WT_20210623,C10,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.3106630219214,24.5555914614383
ASO529-551_WT_20210623,C11,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.0939794609572,24.5947976516947
ASO529-551_WT_20210623,C12,ASO531_3,KQ2111_L20_6-08-6_3uM_P45,33.6165190764208,24.6125552366363
ASO529-551_WT_20210623,D1,ASO532_10,KQ2112_L20_6-08-6_10uM_P45,33.5471317409381,24.8515871334457
