SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
ASO218_10,KQ501_L20_5-10-5_10uM_P19,19.0,0.12031867938197849,0.2068924944784276,010020
ASO219_10,KQ500_L20_5-10-5_10uM_P19,19.0,0.14428841366648942,0.22579047267339347,010020
ASO365_10,KQJM101_L21_7-08-6_10uM_P31,31.0,0.14542140785700577,0.2962519759840797,010020
ASO65_10,KQ980_10,6.0,0.15867832313074767,0.7254712659402758,010070
ASO404_10,KQJM150_L20_6-08-6_10uM_P34,34.0,0.2280707188261193,0.2032773678034935,020020
ASO468_10,KQ2048_L21_7-08-6_10uM_P39,39.0,0.22304462621627885,0.2338965511714358,020020
ASO407_10,KQJM153_L18_5-08-5_10uM_P34,34.0,0.2617561181388257,0.3202121290324142,020030
ASO482_10,KQ2062_L21_7-08-6_10uM_P41,41.0,0.25221592303584056,0.3333578590266197,020030
ASO220_10,KQ499_L20_5-10-5_10uM_P19,19.0,0.21741793370356333,0.46182697314788806,020040
ASO485_10,KQ2065_L20_6-08-6_10uM_P41,41.0,0.27370489793170777,0.4628258811824742,020040
ASO61_10,KQ920_10,6.0,0.2651947313614976,0.48547928720607364,020040
ASO443_10,KQ2023_L21_6-10-5_10uM_P37,37.0,0.24764708974346897,0.5650591673621878,020050
ASO491_10,KQ2071_L20_6-08-6_10uM_P41,41.0,0.2997771922862294,0.5672111868637217,020050
ASO66_10,KQ928_10,6.0,0.23134556294569034,0.5243012939436791,020050
ASO442_10,KQ2022_L21_6-10-5_10uM_P37,37.0,0.2129679016517764,0.6255410138628824,020060
ASO255_10,KQ107_L20_5-10-5_10uM_P22,22.0,0.3538642424840514,0.3909502282566968,030030
ASO418_10,KQJM177_L17_5-08-4_10uM_P35,35.0,0.34576185347285,0.36936639169042124,030030
ASO429_10,KQ2009_L21_6-10-5_10uM_P36,36.0,0.35222428046090526,0.3893727216163468,030030
ASO62_10,KQ830_10,6.0,0.3562896253591645,0.38791895424327977,030030
ASO368_10,KQJM105_L19_6-08-5_10uM_P31,31.0,0.35692453414784336,0.4675570910711906,030040
ASO441_10,KQ2021_L21_6-10-5_10uM_P37,37.0,0.30648797786392273,0.40236543554709203,030040
ASO431_10,KQ2011_L21_6-10-5_10uM_P36,36.0,0.38013382027045345,0.5325921367241934,030050
ASO483_10,KQ2063_L21_7-08-6_10uM_P41,41.0,0.3324938424531593,0.5823476234552377,030050
ASO490_10,KQ2070_L20_6-08-6_10uM_P41,41.0,0.3924005835781644,0.5885879368997268,030050
ASO217_10,KQ999_L20_5-10-5_10uM_P19,19.0,0.3723784333170814,0.6271293216162706,030060
ASO439_10,KQ2019_L21_6-10-5_10uM_P37,37.0,0.3465559532192423,0.7193733155086003,030070
ASO195_10,KQ956_10,17.0,0.3661214426709088,0.8441930637860615,030080
ASO197_10,KQ958_10,17.0,0.3976347040462222,0.9243354289233117,030090
ASO476_10,KQ2056_L21_7-08-6_10uM_P40,40.0,0.4362979980518889,0.39316998991377133,040030
ASO80_10,KQ341_10,7.0,0.4533645618055162,0.3637383488877923,040030
ASO82_10,KQ340_10,7.0,0.4793925057359784,0.30433355778387683,040030
ASO208_10,KQ272_10,18.0,0.4655230083682764,0.4677769970171966,040040
ASO428_10,KQ2008_L21_6-10-5_10uM_P36,36.0,0.41760956338802296,0.4953739482216721,040040
ASO59_10,KQ979_10,5.0,0.4303568635386865,0.4949759751612049,040040
ASO60_10,KQ921_10,5.0,0.4617134696914527,0.437168826875948,040040
ASO324_10,KQJM065_L19_5-10-4_10uM_P27,27.0,0.4367252687692787,0.5477597581625553,040050
ASO427_10,KQ2007_L21_6-10-5_10uM_P36,36.0,0.4930795522946407,0.52968527651985,040050
ASO63_10,KQ919_10,6.0,0.40679593447694584,0.5349952685743441,040050
ASO383_10,KQJM174_L18_4-10-4_10uM_P32,32.0,0.4406884527741191,0.6859908733622971,040060
ASO410_10,KQJM163_L19_5-10-4_10uM_P35,35.0,0.42095758845266823,0.6394134062590425,040060
ASO475_10,KQ2055_L21_7-08-6_10uM_P40,40.0,0.4376602553576053,0.6217213924565208,040060
ASO233_10,KQ512_L20_5-10-5_10uM_P20,20.0,0.4911960639749415,0.7399038352282855,040070
ASO481_10,KQ2061_L20_6-08-6_10uM_P41,41.0,0.4452550977793434,0.7198424146676482,040070
ASO67_10,KQ927_10,6.0,0.41510953984203086,0.7213220059118837,040070
ASO364_10,KQJM100_L22_6-10-6_10uM_P31,31.0,0.40474736164122077,0.860528188586279,040080
ASO221_10,KQ498_L20_5-10-5_10uM_P19,19.0,0.4161632982187147,0.9243952447235961,040090
ASO203_10,KQ484_10,17.0,0.4995371639592254,1.108669474212099,040100
ASO1_10,KQ972_10,1.0,0.5884076931375198,0.41045693777392694,050040
ASO386_10,KQJM131_L18_4-10-4_10uM_P33,33.0,0.531624044754995,0.4630584809235559,050040
ASO382_10,KQJM173_L17_5-08-4_10uM_P32,32.0,0.5628193143100446,0.5332390683470768,050050
ASO38_10,KQ332_10,4.0,0.5016696861496465,0.574308068022981,050050
ASO393_10,KQJM138_L17_5-08-4_10uM_P33,33.0,0.5891074274406054,0.5343660291796358,050050
ASO400_10,KQJM145_L18_4-10-4_10uM_P34,34.0,0.5259633555043134,0.5183956313124677,050050
ASO477_10,KQ2057_L21_7-08-6_10uM_P40,40.0,0.5698726506593257,0.5542885581036125,050050
ASO213_10,KQ493_10,18.0,0.5971904581207954,0.6539678027902093,050060
ASO228_10,KQ020_L20_5-10-5_10uM_P19,19.0,0.545792540520022,0.6401528331879556,050060
ASO437_10,KQ2017_L21_6-10-5_10uM_P37,37.0,0.5925174150037318,0.6589626401794412,050060
ASO445_10,KQ2025_L20_5-10-5_10uM_P38,38.0,0.5776007928593648,0.6839680816337507,050060
ASO463_10,KQ2043_L21_7-08-6_10uM_P39,39.0,0.5878111903874903,0.600880452704588,050060
ASO511_10,KQ2091_L20_6-08-6_10uM_P43,43.0,0.5659446144596203,0.6793097189344302,050060
ASO512_10,KQ2092_L20_6-08-6_10uM_P43,43.0,0.5090287336305416,0.6435357201421611,050060
ASO142_10,KQ943_10,12.0,0.5112422176395303,0.7800349520203559,050070
ASO488_10,KQ2068_L21_7-08-6_10uM_P41,41.0,0.5342904540980703,0.7319762324726381,050070
ASO523_10,KQ2103_L20_6-08-6_10uM_P44,44.0,0.5116609091126448,0.7224032209899723,050070
ASO438_10,KQ2018_L19_5-10-4_10uM_P37,37.0,0.538667678271819,0.8333037780857714,050080
ASO198_10,KQ959_10,17.0,0.5984865501377247,1.272046840823335,050100
ASO199_10,KQ996_10,17.0,0.5637706053157449,1.209541573152705,050100
ASO350_10,KQJM096_L17_4-10-3_10uM_P30,30.0,0.5949046385989604,1.1421428405203893,050100
ASO530_10,KQ2110_L19_6-08-5_10uM_P45,45.0,0.557921317517438,1.179495295103785,050100
ASO81_10,KQ260_10,7.0,0.6021286611530191,0.41185419540131685,060040
ASO471_10,KQ2051_L21_7-08-6_10uM_P40,40.0,0.6580440129640731,0.5597723703814294,060050
ASO478_10,KQ2058_L21_7-08-6_10uM_P40,40.0,0.6506939230943178,0.506166694540221,060050
ASO4_10,KQ378_10,1.0,0.638659107284066,0.5399643170483427,060050
ASO58_10,KQ813_10,5.0,0.6760205286182089,0.5358503626474841,060050
ASO205_10,KQ997_10,18.0,0.69974590210671,0.6417263818723079,060060
ASO206_10,KQ349_10,18.0,0.6847010128062672,0.6532012892229079,060060
ASO448_10,KQ2028_L21_6-10-5_10uM_P38,38.0,0.622200167498447,0.6063728759479413,060060
ASO73_10,KQ981_10,7.0,0.6074835772751227,0.6728991490310254,060060
ASO25_10,KQ976_10,3.0,0.6243627239919641,0.7035607960152753,060070
ASO309_10,KQJM051_L19_6-08-5_10uM_P26,26.0,0.6818442754529492,0.7443971765423433,060070
ASO32_10,KQ908_10,3.0,0.6295073376803744,0.7742575901932075,060070
ASO397_10,KQJM142_L18_5-08-5_10uM_P34,34.0,0.6746434415422683,0.7137755004157792,060070
ASO415_10,KQJM168_L19_5-10-4_10uM_P35,35.0,0.6717260486881669,0.7379262941101828,060070
ASO492_10,KQ2072_L21_7-08-6_10uM_P41,41.0,0.6150265791533638,0.7442215139116256,060070
ASO538_10,KQ2118_L19_6-08-5_10uM_P45,45.0,0.6948543045265679,0.7961746095258245,060070
ASO107_10,KQ983_10,9.0,0.6960566929353469,0.8575665029639552,060080
ASO224_10,KQ216_L20_5-10-5_10uM_P19,19.0,0.6645149078240943,0.8184958401028268,060080
ASO230_10,KQ1001_L20_5-10-5_10uM_P20,20.0,0.6999184858543122,0.8672188960781124,060080
ASO241_10,KQ1004_L20_5-10-5_10uM_P21,21.0,0.6430098032812748,0.80950803830439,060080
ASO338_10,KQJM084_L18_4-10-4_10uM_P29,29.0,0.6890352426294898,0.8918894324016099,060080
ASO346_10,KQJM092_L21_6-10-5_10uM_P29,29.0,0.695647370918123,0.8187508037055284,060080
ASO71_10,KQJM063_10,6.0,0.691557783431802,0.8581501874463449,060080
ASO259_10,KQJM112_L18_4-10-4_10uM_P22,22.0,0.6982681451597302,0.9932984383498731,060090
ASO434_10,KQ2014_L20_5-10-5_10uM_P37,37.0,0.6857246857800884,0.9104471750729385,060090
ASO101_10,KQ305_10,9.0,0.6237052040156975,1.1584985711362308,060100
ASO105_10,KQ242_10,9.0,0.6589685285435041,1.2903850537214554,060100
ASO122_10,KQ436_10,11.0,0.6462894934625277,1.4829466623311358,060100
ASO144_10,KQ941_10,12.0,0.6407443946777475,1.0323655923712762,060100
ASO23_10,KQ391_10,2.0,0.6334385717255395,1.048300668138001,060100
ASO341_10,KQJM087_L18_4-10-4_10uM_P29,29.0,0.68994731527881,1.0223433524071919,060100
ASO98_10,KQ246_10,9.0,0.6707684477142234,1.2910547139450035,060100
ASO214_10,KQ492_10,18.0,0.7062381476417507,0.44750517832128645,070040
ASO479_10,KQ2059_L21_7-08-6_10uM_P40,40.0,0.7678840042490114,0.5648486489337428,070050
ASO343_10,KQJM089_L18_4-10-4_10uM_P29,29.0,0.7846522170028266,0.602955508737154,070060
ASO374_10,KQJM118_L23_8-08-7_10uM_P32,32.0,0.7258504505756086,0.6302214090665025,070060
ASO451_10,KQ2031_L18_4-10-4_10uM_P38,38.0,0.7096124614751593,0.6670823350860505,070060
ASO460_10,KQ2040_L19_5-10-4_10uM_P39,39.0,0.7504330242918075,0.6629452998514435,070060
ASO171_10,KQ360_10,15.0,0.7955519401186413,0.7759781738268724,070070
ASO222_10,KQ299_L20_5-10-5_10uM_P19,19.0,0.7190703845950024,0.7768457818519745,070070
ASO227_10,KQ019_L20_5-10-5_10uM_P19,19.0,0.7217951439563842,0.7500100077714942,070070
ASO347_10,KQJM093_L17_4-10-3_10uM_P29,29.0,0.7102290355262968,0.7750620610574527,070070
ASO376_10,KQJM123_L18_4-10-4_10uM_P32,32.0,0.7103908656325099,0.7058419257274736,070070
ASO430_10,KQ2010_L21_6-10-5_10uM_P36,36.0,0.716955978227185,0.7338864032355644,070070
ASO216_10,KQ298_10,18.0,0.7809552506356147,0.8952580447983732,070080
ASO225_10,KQ017_L20_5-10-5_10uM_P19,19.0,0.7875623486606654,0.885909359368418,070080
ASO344_10,KQJM090_L17_4-10-3_10uM_P29,29.0,0.750193477166444,0.8570779108177865,070080
ASO348_10,KQJM094_L19_5-10-4_10uM_P29,29.0,0.7054062158398978,0.8061748677311451,070080
ASO322_10,KQJM061_L18_4-10-4_10uM_P27,27.0,0.7646084642573006,0.9372785635132977,070090
ASO342_10,KQJM088_L17_4-10-3_10uM_P29,29.0,0.756997342157722,0.909177021642449,070090
ASO370_10,KQJM107_L18_4-10-4_10uM_P31,31.0,0.7153576976310086,0.906625911807363,070090
ASO519_10,KQ2099_L21_7-08-6_10uM_P44,44.0,0.7063624701935153,0.9088941632611428,070090
ASO104_10,KQ304_10,9.0,0.7106343051423932,1.1610725343005,070100
ASO139_10,KQ988_10,12.0,0.7189515328510145,1.074176703186356,070100
ASO188_10,KQ480_10,16.0,0.7405561993937652,1.2638842428070391,070100
ASO541_10,KQ2121_L21_7-08-6_10uM_P46,46.0,0.7233528820010989,1.0886562962371928,070100
ASO99_10,KQ306_10,9.0,0.7368215027658687,1.4628227721101024,070100
ASO2_10,KQ380_10,1.0,0.8422750246078089,0.544311312825948,080050
ASO470_10,KQ2050_L20_6-08-6_10uM_P40,40.0,0.82362311933358,0.696233378883656,080060
ASO192_10,KQ296_10,16.0,0.8077086020597201,0.7281197539639935,080070
ASO453_10,KQ2033_L21_6-10-5_10uM_P38,38.0,0.892463087157434,0.7679802293485767,080070
ASO207_10,KQ348_10,18.0,0.8939104279429146,0.8313887457240009,080080
ASO318_10,KQJM057_L19_6-08-5_10uM_P27,27.0,0.8471174124644888,0.8640150533894034,080080
ASO380_10,KQJM171_L18_4-10-4_10uM_P32,32.0,0.8416259299788375,0.8968988657186677,080080
ASO20_10,KQ394_10,2.0,0.8456389795643556,0.9871281708126688,080090
ASO345_10,KQJM091_L18_4-10-4_10uM_P29,29.0,0.8791077656024356,0.964678120320143,080090
ASO361_10,KQJM120_L18_5-08-5_10uM_P31,31.0,0.8311313656309898,0.9168512530282867,080090
ASO70_10,KQ925_10,6.0,0.8217990268268656,0.9777219334596751,080090
ASO84_10,KQ415_10,7.0,0.8851012931685989,0.905076409248336,080090
ASO95_10,KQJM069_10,8.0,0.8528692414030927,0.903173895502642,080090
ASO117_10,KQ426_10,10.0,0.8983530114707496,1.3099752133279714,080100
ASO123_10,KQ435_10,11.0,0.8760542646092672,1.8665293505788803,080100
ASO202_10,KQ485_10,17.0,0.8165996987054918,1.3878505472745581,080100
ASO229_10,KQ1002_L20_5-10-5_10uM_P20,20.0,0.873381797159141,1.5157571798026857,080100
ASO433_10,KQ2013_L21_6-10-5_10uM_P37,37.0,0.8174144830372893,1.7720980933276556,080100
ASO436_10,KQ2016_L21_6-10-5_10uM_P37,37.0,0.8294775552924105,1.4713378123702678,080100
ASO545_10,KQ2125_L18_5-08-5_10uM_P46,46.0,0.8630262390778892,1.0010121688699256,080100
ASO469_10,KQ2049_L21_7-08-6_10uM_P40,40.0,0.928754896291608,0.6934709389809908,090060
ASO57_10,KQ814_10,5.0,0.9984369532699767,0.674433629682145,090060
ASO310_10,KQJM181_L17_4-10-3_10uM_P26,26.0,0.9589042188439134,0.7467741695912055,090070
ASO311_10,KQJM182_L18_4-10-4_10uM_P26,26.0,0.9474162975524015,0.7279566753814781,090070
ASO83_10,KQ982_10,7.0,0.925692857924878,0.7283930977742586,090070
ASO286_10,KQJM127_L18_4-10-4_10uM_P24,24.0,0.9984199605191907,0.8950490150485738,090080
ASO319_10,KQJM058_L17_4-10-3_10uM_P27,27.0,0.9833456870310838,0.946819535867912,090090
ASO447_10,KQ2027_L21_6-10-5_10uM_P38,38.0,0.9954379402419561,0.9586758744806193,090090
ASO521_10,KQ2101_L21_7-08-6_10uM_P44,44.0,0.9245218486778152,0.9316951058863413,090090
ASO547_10,KQ2127_L18_5-08-5_10uM_P46,46.0,0.9722548541958766,0.9912044198425237,090090
ASO126_10,KQ289_10,11.0,0.9334462828995304,1.8678894050634838,090100
ASO134_10,KQ450_10,12.0,0.9791021952476,2.029969968027212,090100
ASO22_10,KQ392_10,2.0,0.9646350876622908,1.3871690825384866,090100
ASO31_10,KQ977_10,3.0,0.9823365625162204,1.2330443529389046,090100
ASO360_10,KQJM161_L18_4-10-4_10uM_P30,30.0,0.960124441759311,1.9080073394453332,090100
ASO484_10,KQ2064_L19_6-08-5_10uM_P41,41.0,0.951487936400639,1.126405942465442,090100
ASO548_10,KQ2128_L18_5-08-5_10uM_P46,46.0,0.9828492044421373,1.2327412356605405,090100
