SampleName,ASO Microsynth ID,Test plate #,Threshold: 1.5
ASO100_10,KQ245_10,9.0,
ASO102_10,KQ244_10,9.0,
ASO103_10,KQ243_10,9.0,
ASO106_10,KQ303_10,9.0,
ASO10_10,KQ280_10,1.0,
ASO112_10,KQ287_10,10.0,
ASO119_10,KQJM071_10,10.0,
ASO11_10,KQ371_10,1.0,
ASO120_10,KQJM072_10,10.0,
ASO121_10,KQ985_10,11.0,
ASO127_10,KQ986_10,11.0,
ASO12_10,KQ279_10,1.0,
ASO130_10,KQ441_10,11.0,
ASO132_10,KQ290_10,11.0,
ASO136_10,KQ448_10,12.0,
ASO13_10,KQ974_10,2.0,
ASO140_10,KQ945_10,12.0,
ASO141_10,KQ944_10,12.0,
ASO143_10,KQ942_10,12.0,
ASO145_10,KQ459_10,13.0,
ASO146_10,KQ458_10,13.0,
ASO147_10,KQ457_10,13.0,
ASO148_10,KQ456_10,13.0,
ASO149_10,KQ455_10,13.0,
ASO14_10,KQ387_10,2.0,
ASO150_10,KQ292_10,13.0,
ASO151_10,KQ989_10,13.0,
ASO152_10,KQ466_10,13.0,
ASO153_10,KQ465_10,13.0,
ASO154_10,KQ464_10,13.0,
ASO155_10,KQ463_10,13.0,
ASO157_10,KQ990_10,14.0,
ASO158_10,KQ953_10,14.0,
ASO15_10,KQ386_10,2.0,
ASO163_10,KQ991_10,14.0,
ASO165_10,KQ366_10,14.0,
ASO166_10,KQ278_10,14.0,
ASO167_10,KQ365_10,14.0,
ASO169_10,KQ992_10,15.0,
ASO16_10,KQ385_10,2.0,
ASO170_10,KQ361_10,15.0,
ASO173_10,KQ359_10,15.0,
ASO174_10,KQ275_10,15.0,
ASO175_10,KQ993_10,15.0,
ASO176_10,KQ473_10,15.0,
ASO17_10,KQ384_10,2.0,
ASO181_10,KQ994_10,16.0,
ASO184_10,KQ274_10,16.0,
ASO185_10,KQ353_10,16.0,
ASO186_10,KQ273_10,16.0,
ASO187_10,KQ995_10,16.0,
ASO189_10,KQ479_10,16.0,
ASO18_10,KQ282_10,2.0,
ASO193_10,KQ954_10,17.0,
ASO194_10,KQ955_10,17.0,
ASO196_10,KQ957_10,17.0,
ASO19_10,KQ975_10,2.0,
ASO200_10,KQ487_10,17.0,
ASO201_10,KQ486_10,17.0,
ASO204_10,KQ297_10,17.0,
ASO209_10,KQ347_10,18.0,
ASO210_10,KQ271_10,18.0,
ASO215_10,KQ491_10,18.0,
ASO21_10,KQ393_10,2.0,
ASO223_10,KQ1000_L20_5-10-5_10uM_P19,19.0,
ASO231_10,KQ513_L20_5-10-5_10uM_P20,20.0,
ASO232_10,KQ236_L20_5-10-5_10uM_P20,20.0,
ASO234_10,KQ235_L20_5-10-5_10uM_P20,20.0,
ASO235_10,KQ1003_L20_5-10-5_10uM_P20,20.0,
ASO236_10,KQ521_L20_5-10-5_10uM_P20,20.0,
ASO237_10,KQ520_L20_5-10-5_10uM_P20,20.0,
ASO238_10,KQ519_L20_5-10-5_10uM_P20,20.0,
ASO239_10,KQ518_L20_5-10-5_10uM_P20,20.0,
ASO242_10,KQ508_L20_5-10-5_10uM_P21,21.0,
ASO243_10,KQ507_L20_5-10-5_10uM_P21,21.0,
ASO244_10,KQ506_L20_5-10-5_10uM_P21,21.0,
ASO245_10,KQ505_L20_5-10-5_10uM_P21,21.0,
ASO246_10,KQ300_L20_5-10-5_10uM_P21,21.0,
ASO249_10,KQ965_L20_5-10-5_10uM_P21,21.0,
ASO24_10,KQ283_10,2.0,
ASO250_10,KQ966_L20_5-10-5_10uM_P21,21.0,
ASO251_10,KQ967_L20_5-10-5_10uM_P21,21.0,
ASO253_10,KQ105_L20_5-10-5_10uM_P22,22.0,
ASO254_10,KQ106_L20_5-10-5_10uM_P22,22.0,
ASO256_10,KQ108_L20_5-10-5_10uM_P22,22.0,
ASO257_10,KQ109_L20_5-10-5_10uM_P22,22.0,
ASO258_10,KQJM111_L17_4-10-3_10uM_P22,22.0,
ASO260_10,KQJM113_L17_5-08-4_10uM_P22,22.0,
ASO261_10,KQJM114_L18_4-10-4_10uM_P22,22.0,
ASO262_10,KQJM115_L17_5-08-4_10uM_P22,22.0,
ASO263_10,KQJM116_L18_4-10-4_10uM_P22,22.0,
ASO265_10,KQJM006_L20_6-08-6_10uM_P23,23.0,
ASO266_10,KQJM008_L20_6-08-6_10uM_P23,23.0,
ASO267_10,KQJM009_L21_6-10-5_10uM_P23,23.0,
ASO268_10,KQJM010_L21_7-08-6_10uM_P23,23.0,
ASO269_10,KQJM011_L19_5-10-4_10uM_P23,23.0,
ASO26_10,KQ401_10,3.0,
ASO270_10,KQJM012_L19_6-08-5_10uM_P23,23.0,
ASO271_10,KQJM014_L20_6-08-6_10uM_P23,23.0,
ASO272_10,KQJM015_L18_5-08-5_10uM_P23,23.0,
ASO273_10,KQJM016_L19_5-10-4_10uM_P23,23.0,
ASO274_10,KQJM017_L19_6-08-5_10uM_P23,23.0,
ASO276_10,KQJM019_L22_6-10-6_10uM_P23,23.0,
ASO277_10,KQJM020_L22_7-08-7_10uM_P24,24.0,
ASO278_10,KQJM021_L17_4-10-3_10uM_P24,24.0,
ASO279_10,KQJM022_L17_5-08-4_10uM_P24,24.0,
ASO27_10,KQ400_10,3.0,
ASO280_10,KQJM023_L17_4-10-3_10uM_P24,24.0,
ASO281_10,KQJM024_L19_5-10-4_10uM_P24,24.0,
ASO282_10,KQJM025_L18_5-08-5_10uM_P24,24.0,
ASO283_10,KQJM026_L17_4-10-3_10uM_P24,24.0,
ASO284_10,KQJM027_L17_5-08-4_10uM_P24,24.0,
ASO285_10,KQJM180_L17_5-08-4_10uM_P24,24.0,
ASO288_10,KQJM129_L17_4-10-3_10uM_P24,24.0,
ASO289_10,KQJM028_L18_4-10-4_10uM_P25,25.0,
ASO28_10,KQ399_10,3.0,
ASO290_10,KQJM029_L18_5-08-5_10uM_P25,25.0,
ASO291_10,KQJM031_L20_6-08-6_10uM_P25,25.0,
ASO293_10,KQJM033_L21_7-08-6_10uM_P25,25.0,
ASO294_10,KQJM034_L22_6-10-6_10uM_P25,25.0,
ASO295_10,KQJM035_L22_7-08-7_10uM_P25,25.0,
ASO296_10,KQJM036_L19_5-10-4_10uM_P25,25.0,
ASO297_10,KQJM037_L19_6-08-5_10uM_P25,25.0,
ASO298_10,KQJM039_L20_6-08-6_10uM_P25,25.0,
ASO299_10,KQJM040_L21_6-10-5_10uM_P25,25.0,
ASO29_10,KQ398_10,3.0,
ASO300_10,KQJM041_L21_7-08-6_10uM_P25,25.0,
ASO301_10,KQJM043_L23_7-10-6_10uM_P26,26.0,
ASO302_10,KQJM044_L20_6-08-6_10uM_P26,26.0,
ASO303_10,KQJM045_L21_6-10-5_10uM_P26,26.0,
ASO304_10,KQJM046_L21_7-08-6_10uM_P26,26.0,
ASO305_10,KQJM047_L20_6-08-6_10uM_P26,26.0,
ASO306_10,KQJM048_L21_6-10-5_10uM_P26,26.0,
ASO307_10,KQJM049_L18_5-08-5_10uM_P26,26.0,
ASO308_10,KQJM050_L19_5-10-4_10uM_P26,26.0,
ASO30_10,KQ284_10,3.0,
ASO312_10,KQJM183_L18_4-10-4_10uM_P26,26.0,
ASO313_10,KQJM052_L17_4-10-3_10uM_P27,27.0,
ASO315_10,KQJM054_L18_4-10-4_10uM_P27,27.0,
ASO316_10,KQJM055_L18_5-08-5_10uM_P27,27.0,
ASO317_10,KQJM056_L19_5-10-4_10uM_P27,27.0,
ASO320_10,KQJM059_L17_5-08-4_10uM_P27,27.0,
ASO325_10,KQJM066_L19_5-10-4_10uM_P28,28.0,
ASO326_10,KQJM067_L21_6-10-5_10uM_P28,28.0,
ASO327_10,KQJM068_L21_7-08-6_10uM_P28,28.0,
ASO328_10,KQJM073_L19_6-08-5_10uM_P28,28.0,
ASO329_10,KQJM075_L19_5-10-4_10uM_P28,28.0,
ASO330_10,KQJM076_L18_4-10-4_10uM_P28,28.0,
ASO331_10,KQJM077_L17_5-08-4_10uM_P28,28.0,
ASO332_10,KQJM078_L19_6-08-5_10uM_P28,28.0,
ASO333_10,KQJM079_L20_6-08-6_10uM_P28,28.0,
ASO334_10,KQJM080_L18_5-08-5_10uM_P28,28.0,
ASO336_10,KQJM082_L18_4-10-4_10uM_P28,28.0,
ASO337_10,KQJM083_L18_5-08-5_10uM_P29,29.0,
ASO339_10,KQJM085_L18_5-08-5_10uM_P29,29.0,
ASO353_10,KQJM099_L19_5-10-4_10uM_P30,30.0,
ASO354_10,KQJM155_L17_4-10-3_10uM_P30,30.0,
ASO355_10,KQJM156_L18_5-08-5_10uM_P30,30.0,
ASO356_10,KQJM157_L17_5-08-4_10uM_P30,30.0,
ASO358_10,KQJM159_L19_5-10-4_10uM_P30,30.0,
ASO359_10,KQJM160_L19_6-08-5_10uM_P30,30.0,
ASO362_10,KQJM121_L17_5-08-4_10uM_P31,31.0,
ASO366_10,KQJM102_L21_6-10-5_10uM_P31,31.0,
ASO367_10,KQJM103_L21_7-08-6_10uM_P31,31.0,
ASO369_10,KQJM106_L17_5-08-4_10uM_P31,31.0,
ASO371_10,KQJM108_L17_5-08-4_10uM_P31,31.0,
ASO372_10,KQJM109_L18_4-10-4_10uM_P31,31.0,
ASO373_10,KQJM110_L17_4-10-3_10uM_P32,32.0,
ASO375_10,KQJM119_L18_4-10-4_10uM_P32,32.0,
ASO377_10,KQJM124_L18_5-08-5_10uM_P32,32.0,
ASO378_10,KQJM125_L17_4-10-3_10uM_P32,32.0,
ASO37_10,KQ258_10,4.0,
ASO381_10,KQJM172_L19_5-10-4_10uM_P32,32.0,
ASO384_10,KQJM175_L18_5-08-5_10uM_P32,32.0,
ASO385_10,KQJM130_L19_5-10-4_10uM_P33,33.0,
ASO387_10,KQJM132_L19_5-10-4_10uM_P33,33.0,
ASO388_10,KQJM133_L18_4-10-4_10uM_P33,33.0,
ASO389_10,KQJM134_L18_5-08-5_10uM_P33,33.0,
ASO390_10,KQJM135_L17_5-08-4_10uM_P33,33.0,
ASO391_10,KQJM136_L18_4-10-4_10uM_P33,33.0,
ASO392_10,KQJM137_L18_5-08-5_10uM_P33,33.0,
ASO394_10,KQJM139_L18_4-10-4_10uM_P33,33.0,
ASO395_10,KQJM140_L17_5-08-4_10uM_P33,33.0,
ASO396_10,KQJM141_L18_4-10-4_10uM_P33,33.0,
ASO398_10,KQJM143_L17_4-10-3_10uM_P34,34.0,
ASO399_10,KQJM144_L17_4-10-3_10uM_P34,34.0,
ASO39_10,KQ257_10,4.0,
ASO3_10,KQ379_10,1.0,
ASO401_10,KQJM146_L18_5-08-5_10uM_P34,34.0,
