SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
KQ373_10_P2.1-2,KQ373_L20_5-10-5_10uM_P2.1-2,2.0,0.08468432915359159,0.18852800953232832,000010
KQ371_10_P2.1-2,KQ371_L20_5-10-5_10uM_P2.1-2,2.0,0.1175171688556735,0.26465969279768575,010020
KQ955_10_P2.1-2,KQ955_L20_5-10-5_10uM_P2.1-2,2.0,0.12111316464299766,0.2754686756223657,010020
KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,1.0,0.1284317562422332,0.3283208121692877,010030
KQ372_10_P2.1-2,KQ372_L20_5-10-5_10uM_P2.1-2,2.0,0.13133290581475598,0.3306432222552038,010030
KQ373_10_P2.1-1,KQ373_L20_5-10-5_10uM_P2.1-1,1.0,0.12101413415143666,0.3109428469000275,010030
KQ980_10_P2.1-2,KQ980_L20_5-10-5_10uM_P2.1-2,2.0,0.19926738404072677,0.39429546867778426,010030
KQ106_10_P2.1-2,KQ106_L20_5-10-5_10uM_P2.1-2,2.0,0.23363065804475178,0.2691975347361257,020020
KQ958_10_P2.1-1,KQ958_L20_5-10-5_10uM_P2.1-1,1.0,0.2275288121880746,0.370357375151231,020030
KQ480_10_P2.1-2,KQ480_L20_5-10-5_10uM_P2.1-2,2.0,0.2686786459782571,0.4437146938655485,020040
KQ501_10_P2.1-1,KQ501_L20_5-10-5_10uM_P2.1-1,1.0,0.2363080122946397,0.4864221889203413,020040
KQ280_10_P2.1-1,KQ280_L20_5-10-5_10uM_P2.1-1,1.0,0.21264757318108163,0.5475877028035965,020050
KQ980_10_P2.1-1,KQ980_L20_5-10-5_10uM_P2.1-1,1.0,0.2849203002520899,0.5132683364332545,020050
KQ920_10_P2.1-2,KQ920_L20_5-10-5_10uM_P2.1-2,2.0,0.35999344329068594,0.4754224974892936,030040
KQ921_10_P2.1-1,KQ921_L20_5-10-5_10uM_P2.1-1,1.0,0.3723922298966922,0.6835766381178702,030060
KQ288_10_P2.1-1,KQ288_L20_5-10-5_10uM_P2.1-1,1.0,0.41461364945895013,0.5471237865912977,040050
KQ920_10_P2.1-1,KQ920_L20_5-10-5_10uM_P2.1-1,1.0,0.4404775986474035,0.6312240705489978,040060
