SampleName,ASO Microsynth ID,Test plate #,Threshold: 1.5
KQ105_10_P2.1-1,KQ105_L20_5-10-5_10uM_P2.1-1,1.0,
KQ105_10_P2.1-2,KQ105_L20_5-10-5_10uM_P2.1-2,2.0,
KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,1.0,
KQ280_10_P2.1-2,KQ280_L20_5-10-5_10uM_P2.1-2,2.0,
KQ288_10_P2.1-2,KQ288_L20_5-10-5_10uM_P2.1-2,2.0,
KQ372_10_P2.1-1,KQ372_L20_5-10-5_10uM_P2.1-1,1.0,
KQ426_10_P2.1-1,KQ426_L20_5-10-5_10uM_P2.1-1,1.0,
KQ426_10_P2.1-2,KQ426_L20_5-10-5_10uM_P2.1-2,2.0,
KQ479_10_P2.1-1,KQ479_L20_5-10-5_10uM_P2.1-1,1.0,
KQ479_10_P2.1-2,KQ479_L20_5-10-5_10uM_P2.1-2,2.0,
KQ480_10_P2.1-1,KQ480_L20_5-10-5_10uM_P2.1-1,1.0,
KQ500_10_P2.1-1,KQ500_L20_5-10-5_10uM_P2.1-1,1.0,
KQ500_10_P2.1-2,KQ500_L20_5-10-5_10uM_P2.1-2,2.0,
KQ501_10_P2.1-2,KQ501_L20_5-10-5_10uM_P2.1-2,2.0,
KQ830_10_P2.1-1,KQ830_L20_5-10-5_10uM_P2.1-1,1.0,
KQ830_10_P2.1-2,KQ830_L20_5-10-5_10uM_P2.1-2,2.0,
KQ921_10_P2.1-2,KQ921_L20_5-10-5_10uM_P2.1-2,2.0,
KQ928_10_P2.1-1,KQ928_L20_5-10-5_10uM_P2.1-1,1.0,
KQ928_10_P2.1-2,KQ928_L20_5-10-5_10uM_P2.1-2,2.0,
KQ955_10_P2.1-1,KQ955_L20_5-10-5_10uM_P2.1-1,1.0,
KQ956_10_P2.1-1,KQ956_L20_5-10-5_10uM_P2.1-1,1.0,
KQ956_10_P2.1-2,KQ956_L20_5-10-5_10uM_P2.1-2,2.0,
KQ957_10_P2.1-1,KQ957_L20_5-10-5_10uM_P2.1-1,1.0,
KQ957_10_P2.1-2,KQ957_L20_5-10-5_10uM_P2.1-2,2.0,
KQ958_10_P2.1-2,KQ958_L20_5-10-5_10uM_P2.1-2,2.0,
KQ995_10_P2.1-1,KQ995_L20_5-10-5_10uM_P2.1-1,1.0,
KQ995_10_P2.1-2,KQ995_L20_5-10-5_10uM_P2.1-2,2.0,
TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,1.0,
TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,2.0,
