Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint,dCt,dct Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1.2_P1+2_MT_20210727,O1,Naïve_P2.1-2,Naïve_P2.1-2,,31.66527102,24.13539677,7.529874249,7.429353551,7.461964773,0.030829574,0.067909476,-0.032611221,1.022861791
Rd2.1.2_P1+2_MT_20210727,O2,Naïve_P2.1-2,Naïve_P2.1-2,,31.61611135,24.21454824,7.401563112,,,,-0.06040166,,
Rd2.1.2_P1+2_MT_20210727,O3,Naïve_P2.1-2,Naïve_P2.1-2,,31.5994842,24.24286091,7.356623294,,,,-0.105341479,,
Rd2.1.2_P1+2_MT_20210727,O4,Naïve_P2.1-2,Naïve_P2.1-2,,35.1271862,25.80364072,9.323545481,8.902781945,,,1.861580708,1.440817173,0.368358599
Rd2.1.2_P1+2_MT_20210727,O5,Naïve_P2.1-2,Naïve_P2.1-2,,34.71931676,25.88530245,8.834014308,,,,1.372049535,,
Rd2.1.2_P1+2_MT_20210727,O6,Naïve_P2.1-2,Naïve_P2.1-2,,34.45438875,25.9036027,8.550786046,,,,1.088821274,,
Rd2.1.2_P1+2_MT_20210727,P1,Naïve_P2.1-2,Naïve_P2.1-2,,32.19373855,24.72181928,7.471919265,7.490633387,,,0.009954493,0.028668614,0.980324569
Rd2.1.2_P1+2_MT_20210727,P2,Naïve_P2.1-2,Naïve_P2.1-2,,32.33655398,24.78135373,7.555200254,,,,0.093235481,,
Rd2.1.2_P1+2_MT_20210727,P3,Naïve_P2.1-2,Naïve_P2.1-2,,32.24501111,24.80023047,7.444780641,,,,-0.017184132,,
Rd2.1.2_P1+2_MT_20210727,P4,Naïve_P2.1-2,Naïve_P2.1-2,,32.12491814,24.86989474,7.255023398,7.46590738,,,-0.206941374,0.003942607,0.997270924
Rd2.1.2_P1+2_MT_20210727,P5,Naïve_P2.1-2,Naïve_P2.1-2,,32.32141826,24.88539652,7.436021733,,,,-0.025943039,,
Rd2.1.2_P1+2_MT_20210727,P6,Naïve_P2.1-2,Naïve_P2.1-2,,32.65518608,24.94850907,7.706677007,,,,0.244712235,,
Rd2.1.2_P1+2_MT_20210727,M10,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.83224963,29.064541,7.767708632,,,,0.305743859,0.323024382,0.79939232
Rd2.1.2_P1+2_MT_20210727,M11,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.8736447,29.09838532,7.775259388,,,,0.313294615,,
Rd2.1.2_P1+2_MT_20210727,M12,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.9601816,29.14818216,7.811999445,,,,0.350034673,,
Rd2.1.2_P1+2_MT_20210727,M22,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,37.46478253,28.42841504,9.036367488,,,,1.574402715,1.55738255,0.339766955
Rd2.1.2_P1+2_MT_20210727,M23,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,38.03034967,28.49518678,9.535162895,,,,2.073198123,,
Rd2.1.2_P1+2_MT_20210727,M24,TY779PD_10_P2.1-2,TY779PD_10uM_P2.1-2,,36.91186692,28.42535534,8.486511585,,,,1.024546812,,
Rd2.1.2_P1+2_MT_20210727,O7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,37.8850082,26.94970469,10.93530351,,,,3.473338742,2.616193816,0.163097456
Rd2.1.2_P1+2_MT_20210727,O8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,36.81412674,26.9825424,9.831584343,,,,2.369619571,,
Rd2.1.2_P1+2_MT_20210727,O9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,36.48238186,27.01479395,9.467587908,,,,2.005623135,,
Rd2.1.2_P1+2_MT_20210727,P7,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,38.0850082,29.09327222,8.991735985,,,,1.529771212,1.868903566,0.273781417
Rd2.1.2_P1+2_MT_20210727,P8,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,38.91412674,29.06458459,9.849542152,,,,2.38757738,,
Rd2.1.2_P1+2_MT_20210727,P9,Ionis1375651_10_P2.1-2,Ionis1375651_10uM_P2.1-2,,38.43238186,29.28105498,9.15132688,,,,1.689362107,,
Rd2.1.2_P1+2_MT_20210727,O10,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,34.2681408,24.70584723,9.562293569,,,,2.100328797,1.762946668,0.294645744
Rd2.1.2_P1+2_MT_20210727,O11,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,33.60350999,24.82708504,8.776424945,,,,1.314460172,,
Rd2.1.2_P1+2_MT_20210727,O12,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,34.15136039,24.81534458,9.336015807,,,,1.874051035,,
Rd2.1.2_P1+2_MT_20210727,P10,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,34.57934327,25.98745525,8.591888025,,,,1.129923252,1.384017303,0.383150395
Rd2.1.2_P1+2_MT_20210727,P11,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,34.88716764,25.83208278,9.055084861,,,,1.593120089,,
Rd2.1.2_P1+2_MT_20210727,P12,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,,34.93803489,26.04706155,8.890973341,,,,1.429008568,,
Rd2.1.2_P1+2_MT_20210727,O13,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,36.38451519,27.63020139,8.754313803,,,,1.29234903,0.896781422,0.537083601
Rd2.1.2_P1+2_MT_20210727,O14,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,36.59884473,27.66958515,8.929259573,,,,1.4672948,,
Rd2.1.2_P1+2_MT_20210727,O15,Ionis676630_10_P2.1-2,Ionis676630_10uM_P2.1-2,,35.10128517,27.70861996,7.392665207,,,,-0.069299565,,
