Experiment Name,Position,SampleName,ASO Microsynth ID,Target SNP ID,CrossingPoint,CrossingPoint,dCt,dct Avg,Avg,SD,ddCt,Avg_ddCt,Exp
Rd2.1.2_P1+2_Total_20210727,G1,Naïve_P2.1-1,Naïve_P2.1-1,,29.17095426,23.81094357,5.360010685,5.445299373,5.787454441,0.231159502,-0.427443755,-0.342155067,1.267648767
Rd2.1.2_P1+2_Total_20210727,G2,Naïve_P2.1-1,Naïve_P2.1-1,,29.32845888,23.8415059,5.486952986,,,,-0.300501454,,
Rd2.1.2_P1+2_Total_20210727,G3,Naïve_P2.1-1,Naïve_P2.1-1,,29.32650802,23.83757357,5.488934449,,,,-0.298519992,,
Rd2.1.2_P1+2_Total_20210727,G4,Naïve_P2.1-1,Naïve_P2.1-1,,29.39479733,23.59473282,5.800064509,5.859028184,,,0.012610069,0.071573743,0.951599393
Rd2.1.2_P1+2_Total_20210727,G5,Naïve_P2.1-1,Naïve_P2.1-1,,29.47758402,23.59369681,5.883887213,,,,0.096432772,,
Rd2.1.2_P1+2_Total_20210727,G6,Naïve_P2.1-1,Naïve_P2.1-1,,29.55491252,23.66177969,5.893132829,,,,0.105678388,,
Rd2.1.2_P1+2_Total_20210727,H1,Naïve_P2.1-1,Naïve_P2.1-1,,30.82621019,24.90208079,5.924129403,5.895321309,,,0.136674962,0.107866868,0.927959105
Rd2.1.2_P1+2_Total_20210727,H2,Naïve_P2.1-1,Naïve_P2.1-1,,30.85675389,24.983872,5.872881892,,,,0.085427452,,
Rd2.1.2_P1+2_Total_20210727,H3,Naïve_P2.1-1,Naïve_P2.1-1,,30.80607446,24.91712183,5.88895263,,,,0.10149819,,
Rd2.1.2_P1+2_Total_20210727,H4,Naïve_P2.1-1,Naïve_P2.1-1,,29.64345845,23.67832699,5.965131455,5.950168897,,,0.177677014,0.162714456,0.893342649
Rd2.1.2_P1+2_Total_20210727,H5,Naïve_P2.1-1,Naïve_P2.1-1,,29.57898151,23.66569383,5.91328768,,,,0.12583324,,
Rd2.1.2_P1+2_Total_20210727,H6,Naïve_P2.1-1,Naïve_P2.1-1,,29.67635956,23.70427201,5.972087555,,,,0.184633114,,
Rd2.1.2_P1+2_Total_20210727,E10,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.81741838,24.20356373,6.613854659,,,,0.826400218,0.856375933,0.552338297
Rd2.1.2_P1+2_Total_20210727,E11,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.95881508,24.29148332,6.66733176,,,,0.879877319,,
Rd2.1.2_P1+2_Total_20210727,E12,TY779PD_10_P2.1-1,TY779PD_10uM_P2.1-1,,30.94206522,24.29176051,6.650304702,,,,0.862850261,,
