Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
Rd2.1.2_P1+2_WT_20210727,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1547091758355293,1.0
Rd2.1.2_P1+2_WT_20210727,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1284735380174838,1.0
Rd2.1.2_P1+2_WT_20210727,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1201988003212359,1.0
Rd2.1.2_P1+2_WT_20210727,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,1.0
Rd2.1.2_P1+2_WT_20210727,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1613509858734109,1.0
Rd2.1.2_P1+2_WT_20210727,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1837946430496469,1.0
Rd2.1.2_P1+2_Total_20210727,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0514044486879228,1.0
Rd2.1.2_P1+2_Total_20210727,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0210920860664796,1.0
Rd2.1.2_P1+2_Total_20210727,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0172118355678873,1.0
Rd2.1.2_P1+2_Total_20210727,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1135031947950639,1.0
Rd2.1.2_P1+2_Total_20210727,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0563934477684458,1.0
Rd2.1.2_P1+2_Total_20210727,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1915488791558366,1.0
Rd2.1.2_P1+2_MT_20210727,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0988509308036453,1.0
Rd2.1.2_P1+2_MT_20210727,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1136894684172827,1.0
Rd2.1.2_P1+2_MT_20210727,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.101848659200436,1.0
Rd2.1.2_P1+2_MT_20210727,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1176268420487643,1.0
Rd2.1.2_P1+2_MT_20210727,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0446010645064574,1.0
Rd2.1.2_P1+2_MT_20210727,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1481249747299017,1.0
Rd2.1.2_P1+2_WT_20210727,G13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.7913277586991941,1.0
Rd2.1.2_P1+2_WT_20210727,G14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.4827272023298501,1.0
Rd2.1.2_P1+2_WT_20210727,G15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.4267187402420881,1.0
Rd2.1.2_P1+2_WT_20210727,H13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.4912131445721027,1.0
Rd2.1.2_P1+2_WT_20210727,H14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.5157313438922211,1.0
Rd2.1.2_P1+2_WT_20210727,H15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.9034560814335996,1.0
Rd2.1.2_P1+2_Total_20210727,G13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.3821441575911443,1.0
Rd2.1.2_P1+2_Total_20210727,G14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.43158312460165,1.0
Rd2.1.2_P1+2_Total_20210727,G15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.3948465995702139,1.0
Rd2.1.2_P1+2_Total_20210727,H13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.5414472085080873,1.0
Rd2.1.2_P1+2_Total_20210727,H14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,,1.0
Rd2.1.2_P1+2_Total_20210727,H15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.5751033716773256,1.0
Rd2.1.2_P1+2_MT_20210727,G13,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.565333521355266,1.0
Rd2.1.2_P1+2_MT_20210727,G14,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.4620567442240821,1.0
Rd2.1.2_P1+2_MT_20210727,G15,Ionis676630_10_P2.1-1,Ionis676630_10uM_P2.1-1,0.4908605301184,1.0
