Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
Rd2.1.2_P1+2_WT_20210727,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2676389581325407,1.0
Rd2.1.2_P1+2_WT_20210727,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2222526472701804,1.0
Rd2.1.2_P1+2_WT_20210727,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2079377741541202,1.0
Rd2.1.2_P1+2_WT_20210727,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,,1.0
Rd2.1.2_P1+2_WT_20210727,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2791289502345003,1.0
Rd2.1.2_P1+2_WT_20210727,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.3179553299489787,1.0
Rd2.1.2_P1+2_Total_20210727,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1012440267231302,1.0
Rd2.1.2_P1+2_Total_20210727,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0415420801379612,1.0
Rd2.1.2_P1+2_Total_20210727,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.0338997028670613,1.0
Rd2.1.2_P1+2_Total_20210727,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2235510889104557,1.0
Rd2.1.2_P1+2_Total_20210727,H8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1110701482569719,1.0
Rd2.1.2_P1+2_Total_20210727,H9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.377266566386457,1.0
Rd2.1.2_P1+2_MT_20210727,G7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1923136818929145,1.0
Rd2.1.2_P1+2_MT_20210727,G8,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2211819375135769,1.0
Rd2.1.2_P1+2_MT_20210727,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.1981457392061603,1.0
Rd2.1.2_P1+2_MT_20210727,H7,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,0.2288420645099281,1.0
