SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
KQ500_10_P2.1-2,KQ500_L20_5-10-5_10uM_P2.1-2,2.0,0.16191365264621266,0.6815442262829721,010060
KQ373_10_P2.1-2,KQ373_L20_5-10-5_10uM_P2.1-2,2.0,0.4482692578049217,0.7390932530388438,040070
KQ372_10_P2.1-2,KQ372_L20_5-10-5_10uM_P2.1-2,2.0,0.401197829962552,0.8490305879669385,040080
KQ501_10_P2.1-2,KQ501_L20_5-10-5_10uM_P2.1-2,2.0,0.5485747038945448,0.9487804262772692,050090
KQ479_10_P2.1-2,KQ479_L20_5-10-5_10uM_P2.1-2,2.0,0.979578032522953,1.1436517288169419,090100
KQ304_10_P2.1-2,KQ304_L20_5-10-5_10uM_P2.1-2,2.0,1.3200878981986115,1.3051146820156487,100100
KQ306_10_P2.1-1,KQ306_L20_5-10-5_10uM_P2.1-1,1.0,3.7537391994801204,1.933209129438292,100100
KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,1.0,4.060972280176162,2.406514106280262,100100
KQ373_10_P2.1-1,KQ373_L20_5-10-5_10uM_P2.1-1,1.0,1.0101874573128524,1.0696689753565412,100100
KQ480_10_P2.1-1,KQ480_L20_5-10-5_10uM_P2.1-1,1.0,1.1533123132042058,1.1161604276228696,100100
KQ830_10_P2.1-1,KQ830_L20_5-10-5_10uM_P2.1-1,1.0,5.459242086455606,2.538599399787196,100100
