Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
Rd2.1.3_P1+2_WT_20210730,H4,Naive_P2.1-1,Naive_P2.1-1,7.426084469999999,0.301718458,0.8112854625230463,0.15121466200202585,2.443597491767021
Rd2.1.3_P1+2_WT_20210730,D16,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,8.256074779999999,1.13170877,0.45637486120080867,0.06416594641173107,1.9153342145215986
Rd2.1.3_P1+2_WT_20210730,C24,KQ501_10_P2.1-1,KQ501_L20_5-10-5_10uM_P2.1-1,7.976313739999998,0.851947729,0.5540362471310439,0.05806904114551551,1.8590748602142653
Rd2.1.3_P1+2_WT_20210730,O10,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,7.314306459999997,0.264109108,0.8327127921771843,0.23060450126671286,1.9518926789473348
Rd2.1.3_P1+2_WT_20210730,K16,KQ242_10_P2.1-2,KQ242_L20_5-10-5_10uM_P2.1-2,7.367306719999998,0.317109378,0.8026765314458102,0.050012000808048275,1.836107349838959
Rd2.1.3_P1+2_Total_20210730,P3,Naive_P2.1-2,Naive_P2.1-2,5.6909388199999995,-0.697946053,1.6221936509905608,0.08614241973848051,1.8333603565762944
Rd2.1.3_P1+2_Total_20210730,P11,Ionis1375651_3_P2.1-2,Ionis1375651_3uM_P2.1-2,7.49954133,1.110656455,0.46308327088018836,0.0647371212379705,1.8437756067620008
Rd2.1.3_P1+2_Total_20210730,O18,Ionis676630_3_P2.1-2,Ionis676630_3uM_P2.1-2,6.67752226,0.28863739,0.8186749232076705,0.04922078746230116,1.8586651955181968
Rd2.1.3_P1+2_Total_20210730,N3,KQ332_10_P2.1-2,KQ332_L20_5-10-5_10uM_P2.1-2,7.4124148299999995,1.023529962,0.49191127831505493,0.07990852649700739,1.9438837448202582
Rd2.1.3_P1+2_Total_20210730,G9,Ionis1375651_10_P2.1-1,Ionis1375651_10uM_P2.1-1,9.239849259999996,2.729979582,0.15072811165285033,0.02666057042252331,1.986863163110841
Rd2.1.3_P1+2_Total_20210730,H18,Ionis676630_3_P2.1-1,Ionis676630_3uM_P2.1-1,7.041906900000001,0.532037224,0.6915774703934966,0.03943328332586096,1.946387385685432
Rd2.1.3_P1+2_Total_20210730,E21,KQ305_10_P2.1-1,KQ305_L20_5-10-5_10uM_P2.1-1,6.470406949999997,-0.03946273,1.0277310209635224,0.1418186855119104,1.911623624258192
Rd2.1.3_P1+2_MT_20210730,P1,Naive_P2.1-2,Naive_P2.1-2,6.487697269999998,-0.69956908,1.624019640237913,0.11009482509721405,2.099944121773446
Rd2.1.3_P1+2_MT_20210730,K5,KQ242_10_P2.1-2,KQ242_L20_5-10-5_10uM_P2.1-2,6.7777435399999995,-0.409522805,1.328246402189817,0.264236996710997,1.95816631587323
Rd2.1.3_P1+2_MT_20210730,I20,KQ331_10_P2.1-2,KQ331_L20_5-10-5_10uM_P2.1-2,7.908118010000003,0.720851662,0.6067391618781977,0.050837419786151326,1.8553265909267973
Rd2.1.3_P1+2_MT_20210730,C14,KQ280_10_P2.1-1,KQ280_L20_5-10-5_10uM_P2.1-1,8.697115030000003,1.451312544,0.36568857418988593,0.040393548339119,1.8304234363920746
Rd2.1.3_P1+2_MT_20210730,A21,KQ331_10_P2.1-1,KQ331_L20_5-10-5_10uM_P2.1-1,8.568863479999997,1.323060991,0.3996860177970181,0.07124107271443883,1.885958504409338
Rd2.1.3_P1+2_MT_20210730,F16,KQ426_10_P2.1-1,KQ426_L20_5-10-5_10uM_P2.1-1,7.227885709999999,-0.017916779,1.012496400417032,0.1320086923637843,1.9049445532826375
Rd2.1.3_P1+2_MT_20210730,C10,KQ501_10_P2.1-1,KQ501_L20_5-10-5_10uM_P2.1-1,8.639217290000001,1.393414807,0.38066272016800107,0.04783488232790921,1.8185159182973192
