Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range
Rd2.1.3_P1+2_WT_20210730,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,0.4337273600809345,0.5141099069446434,1.0,0.5100493793219218,-0.2765288470281487,0.6913221175703759
Rd2.1.3_P1+2_WT_20210730,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,0.4500196407154355,0.5129336370723921,1.0,,,0.6913221175703759
Rd2.1.3_P1+2_WT_20210730,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,0.5861597669883524,0.50310459394873,1.0,,,0.6913221175703759
Rd2.1.3_P1+2_WT_20210730,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,1.9153342170125829,,1.0,0.5293446667430008,0.4147932705422271,0.6913221175703759
Rd2.1.3_P1+2_WT_20210730,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,0.7217486224566101,0.4933153514676862,1.0,,,0.6913221175703759
Rd2.1.3_P1+2_WT_20210730,KQ106_10_P2.1-1,KQ106_L20_5-10-5_10uM_P2.1-1,0.2763211732287532,0.5653739820183155,1.0,,,0.6913221175703759
Rd2.1.3_P1+2_WT_20210730,KQ242_10_P2.1-1,KQ242_L20_5-10-5_10uM_P2.1-1,1.2619998388038267,1.2357195599418132,1.0,1.2033676635398731,0.8240474628926355,1.6480949257852742
Rd2.1.3_P1+2_WT_20210730,KQ242_10_P2.1-1,KQ242_L20_5-10-5_10uM_P2.1-1,0.5866657707672442,1.185832085852049,1.0,,,1.6480949257852742
Rd2.1.3_P1+2_WT_20210730,KQ242_10_P2.1-1,KQ242_L20_5-10-5_10uM_P2.1-1,0.623476779106836,1.1885513448257574,1.0,,,1.6480949257852742
Rd2.1.3_P1+2_WT_20210730,KQ242_10_P2.1-1,KQ242_L20_5-10-5_10uM_P2.1-1,1.4724722108294095,1.0337218968861523,1.0,1.0816215577249793,-0.8240474628926386,1.6480949257852742
Rd2.1.3_P1+2_WT_20210730,KQ242_10_P2.1-1,KQ242_L20_5-10-5_10uM_P2.1-1,0.5573317943910872,1.1013240599849192,1.0,,,1.6480949257852742
Rd2.1.3_P1+2_WT_20210730,KQ242_10_P2.1-1,KQ242_L20_5-10-5_10uM_P2.1-1,0.442338383457413,1.1098187163038664,1.0,,,1.6480949257852742
Rd2.1.3_P1+2_WT_20210730,KQ243_10_P2.1-1,KQ243_L20_5-10-5_10uM_P2.1-1,1.1453006915393598,1.3588196800679753,1.0,1.27821787175748,0.7818837948814098,1.563767589762819
Rd2.1.3_P1+2_WT_20210730,KQ243_10_P2.1-1,KQ243_L20_5-10-5_10uM_P2.1-1,0.8675513682336563,1.2972179826198598,1.0,,,1.563767589762819
Rd2.1.3_P1+2_WT_20210730,KQ243_10_P2.1-1,KQ243_L20_5-10-5_10uM_P2.1-1,0.3327993248712138,1.178615952584605,1.0,,,1.563767589762819
Rd2.1.3_P1+2_WT_20210730,KQ243_10_P2.1-1,KQ243_L20_5-10-5_10uM_P2.1-1,1.5676006187109115,0.7571284725733153,1.0,0.9313916876385288,-0.7818837948814092,1.563767589762819
Rd2.1.3_P1+2_WT_20210730,KQ243_10_P2.1-1,KQ243_L20_5-10-5_10uM_P2.1-1,0.2089804415866004,1.0584552520664927,1.0,,,1.563767589762819
Rd2.1.3_P1+2_WT_20210730,KQ243_10_P2.1-1,KQ243_L20_5-10-5_10uM_P2.1-1,0.5690703243467156,0.9785913382757782,1.0,,,1.563767589762819
Rd2.1.3_P1+2_WT_20210730,KQ244_10_P2.1-1,KQ244_L20_5-10-5_10uM_P2.1-1,1.123113844760397,1.4072062917235737,1.0,1.335336245646177,0.6617607176943557,1.3235214353887115
Rd2.1.3_P1+2_WT_20210730,KQ244_10_P2.1-1,KQ244_L20_5-10-5_10uM_P2.1-1,0.0396289679191895,1.2260730672564917,1.0,,,1.3235214353887115
Rd2.1.3_P1+2_WT_20210730,KQ244_10_P2.1-1,KQ244_L20_5-10-5_10uM_P2.1-1,0.9017972762418588,1.372729377958466,1.0,,,1.3235214353887115
Rd2.1.3_P1+2_WT_20210730,KQ244_10_P2.1-1,KQ244_L20_5-10-5_10uM_P2.1-1,0.9670198286386718,1.081603202457841,1.0,1.1291567684402226,-0.6617607176943557,1.3235214353887115
Rd2.1.3_P1+2_WT_20210730,KQ244_10_P2.1-1,KQ244_L20_5-10-5_10uM_P2.1-1,0.3482631693138012,1.2864992877381491,1.0,,,1.3235214353887115
Rd2.1.3_P1+2_WT_20210730,KQ244_10_P2.1-1,KQ244_L20_5-10-5_10uM_P2.1-1,1.366525493758197,1.0193678151246777,1.0,,,1.3235214353887115
