Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P5+6_Total_20210726,G7,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,,33.7310683088168,26.2719375469867
Rd2.3_P5+6_Total_20210726,G8,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,,33.7445787621508,26.2992850340132
Rd2.3_P5+6_Total_20210726,G9,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,,33.6865220190283,26.3500815489303
Rd2.3_P5+6_Total_20210726,H7,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,,34.1362185180947,24.7778199197591
Rd2.3_P5+6_Total_20210726,H8,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,,33.8330204074638,24.8387581420768
Rd2.3_P5+6_Total_20210726,H9,Ionis1375651_10_P2.3-5,Ionis1375651_10uM_P2.3-5,,34.4794604556674,24.9169401858623
Rd2.3_P5+6_Total_20210726,O7,Ionis1375651_10_P2.3-6,Ionis1375651_10uM_P2.3-6,,33.4912454615212,23.9086073155741
Rd2.3_P5+6_Total_20210726,O8,Ionis1375651_10_P2.3-6,Ionis1375651_10uM_P2.3-6,,33.1471277947824,23.9847020214936
Rd2.3_P5+6_Total_20210726,O9,Ionis1375651_10_P2.3-6,Ionis1375651_10uM_P2.3-6,,33.8911301694781,23.9984968766525
Rd2.3_P5+6_Total_20210726,P7,Ionis1375651_10_P2.3-6,Ionis1375651_10uM_P2.3-6,,35.5910440183395,25.7056203936772
Rd2.3_P5+6_Total_20210726,P8,Ionis1375651_10_P2.3-6,Ionis1375651_10uM_P2.3-6,,36.1745512285068,25.7549248970059
Rd2.3_P5+6_Total_20210726,P9,Ionis1375651_10_P2.3-6,Ionis1375651_10uM_P2.3-6,,35.8967888082623,25.8062350372307
Rd2.3_P5+6_Total_20210726,G10,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,,31.5803903211338,24.1255935596379
