Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P7+8_MT_20210726,I1,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.3458919590058,22.8748165694403
Rd2.3_P7+8_MT_20210726,I2,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.584942853113,22.9529581917168
Rd2.3_P7+8_MT_20210726,I3,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.5591788246376,22.9449905883931
Rd2.3_P7+8_MT_20210726,I13,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.4450184617145,22.7623234197288
Rd2.3_P7+8_MT_20210726,I14,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.5183504447694,22.849211667751
Rd2.3_P7+8_MT_20210726,I15,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.4901387765729,22.9153416147281
Rd2.3_P7+8_MT_20210726,I7,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1128234045546,22.6416189249221
Rd2.3_P7+8_MT_20210726,I8,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1235338396447,22.727784601173
Rd2.3_P7+8_MT_20210726,I9,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.2712153945637,22.7958840694421
Rd2.3_P7+8_MT_20210726,I19,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1330653401194,22.6118264827489
Rd2.3_P7+8_MT_20210726,I20,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1495833843791,22.6888736970426
Rd2.3_P7+8_MT_20210726,I21,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.250321952043,22.720341044755
Rd2.3_P7+8_MT_20210726,J1,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.6314323223588,22.8447616584538
Rd2.3_P7+8_MT_20210726,J2,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.7084320995421,22.9346184032998
Rd2.3_P7+8_MT_20210726,J3,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.7480729162031,22.9649349926137
Rd2.3_P7+8_MT_20210726,J13,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.1902629600238,22.629898369338
Rd2.3_P7+8_MT_20210726,J14,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.31932831912,22.7256602069498
