Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P7+8_WT_20210726,I1,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.3652370933922,22.8895163784914
Rd2.3_P7+8_WT_20210726,I2,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.5077606194676,22.97268110634
Rd2.3_P7+8_WT_20210726,I3,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.562354787222,22.9728947076329
Rd2.3_P7+8_WT_20210726,I13,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.2981207927838,22.8175674523576
Rd2.3_P7+8_WT_20210726,I14,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.3681833338582,22.8527361126529
Rd2.3_P7+8_WT_20210726,I15,BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,rs112267440,29.4914274463098,22.9323912818478
Rd2.3_P7+8_WT_20210726,I7,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,28.9043511493121,22.7104542796909
Rd2.3_P7+8_WT_20210726,I8,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1505575840623,22.7680623655516
Rd2.3_P7+8_WT_20210726,I9,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.3474605948087,22.7983849095181
Rd2.3_P7+8_WT_20210726,I19,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1550937799932,22.6941374979929
Rd2.3_P7+8_WT_20210726,I20,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.1933166651415,22.7250546863885
Rd2.3_P7+8_WT_20210726,I21,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,rs112267440,29.2946416103705,22.7705791038635
Rd2.3_P7+8_WT_20210726,J1,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.4658147567806,22.8637616556464
Rd2.3_P7+8_WT_20210726,J2,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.6712086068754,22.8871524857355
Rd2.3_P7+8_WT_20210726,J3,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.641700897395,22.9410298489459
Rd2.3_P7+8_WT_20210726,J13,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.1928986385123,22.6721752668817
Rd2.3_P7+8_WT_20210726,J14,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.1490069561137,22.7407660133932
Rd2.3_P7+8_WT_20210726,J15,BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,rs112267440,29.3251624527147,22.7322724672553
Rd2.3_P7+8_WT_20210726,J7,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,29.0677547826748,22.6565512262745
Rd2.3_P7+8_WT_20210726,J8,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,29.150466414556,22.6734059764076
Rd2.3_P7+8_WT_20210726,J9,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,29.3202616653519,22.7636229614573
Rd2.3_P7+8_WT_20210726,J19,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,29.2208937490201,22.6746471455466
Rd2.3_P7+8_WT_20210726,J20,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,29.2335512281403,22.7224476359723
Rd2.3_P7+8_WT_20210726,J21,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,rs112267440,29.2543084991581,22.7761697340162
Rd2.3_P7+8_WT_20210726,K1,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,33.2271184916118,26.4163576225714
Rd2.3_P7+8_WT_20210726,K2,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,33.2082088856042,26.5012627246423
Rd2.3_P7+8_WT_20210726,K3,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,33.2951081365323,26.5162656212786
Rd2.3_P7+8_WT_20210726,K13,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,29.8932899299836,22.9942130738158
Rd2.3_P7+8_WT_20210726,K14,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,30.0038724378943,23.0063598190675
Rd2.3_P7+8_WT_20210726,K15,BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,rs112267440,30.1319967931923,23.0695357664281
Rd2.3_P7+8_WT_20210726,K7,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,30.4945368178829,23.7967085117332
Rd2.3_P7+8_WT_20210726,K8,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,30.592426028786,23.8094541764188
Rd2.3_P7+8_WT_20210726,K9,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,30.6181323762769,23.8423304516469
Rd2.3_P7+8_WT_20210726,K19,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,29.724732635819,22.9617781643234
Rd2.3_P7+8_WT_20210726,K20,BS191_3_P2.3-8,BS191_TMO_3uM_P2.3-8,rs112267440,29.6812413953215,23.0577193325999
