Experiment Name,Position,SampleName,ASO Short Description ,Target SNP ID,CrossingPoint,CrossingPoint.1
Rd2.3_P9_MT+WT_20210726,O7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.2681915916428,24.0660918086286
Rd2.3_P9_MT+WT_20210726,O8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.1248674663363,24.1295360333218
Rd2.3_P9_MT+WT_20210726,O9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,33.1857412091003,24.1439867787492
Rd2.3_P9_MT+WT_20210726,P7,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,36.4562894687113,26.3164445353923
Rd2.3_P9_MT+WT_20210726,P8,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,36.7358529662853,26.4001891279374
Rd2.3_P9_MT+WT_20210726,P9,Ionis1375651_10_P9,Ionis1375651_10uM_P2.3-9,,35.9410801729269,26.4312766834501
Rd2.3_P9_MT+WT_20210726,O10,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.2604146420153,23.0848284172514
Rd2.3_P9_MT+WT_20210726,O11,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.5044027667893,23.1749155117327
Rd2.3_P9_MT+WT_20210726,O12,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,31.4635087298664,23.1881938268805
Rd2.3_P9_MT+WT_20210726,P10,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.0292742559501,25.3525423967959
Rd2.3_P9_MT+WT_20210726,P11,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,33.1599145550534,25.3952927706841
Rd2.3_P9_MT+WT_20210726,P12,Ionis1375651_3_P9,Ionis1375651_3uM_P2.3-9,,32.9910462211038,25.3852436735716
Rd2.3_P9_MT+WT_20210726,O13,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,31.2578618745521,23.5739796749299
Rd2.3_P9_MT+WT_20210726,O14,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,31.1569224801643,23.6327181369783
Rd2.3_P9_MT+WT_20210726,O15,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,30.9518019905702,23.6888735679641
Rd2.3_P9_MT+WT_20210726,P13,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.7176912365735,26.4995958629348
Rd2.3_P9_MT+WT_20210726,P14,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.2232904374444,26.5900755864366
Rd2.3_P9_MT+WT_20210726,P15,Ionis676630_10_P9,Ionis676630_10uM_P2.3-9,,33.5079205801913,26.6771883936652
Rd2.3_P9_MT+WT_20210726,O16,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,30.1060529266596,22.7614080693755
Rd2.3_P9_MT+WT_20210726,O17,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.744228345798,22.7956077841731
Rd2.3_P9_MT+WT_20210726,O18,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,29.8958663094735,22.8629343238806
Rd2.3_P9_MT+WT_20210726,P16,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.7567032853474,25.2919572012069
Rd2.3_P9_MT+WT_20210726,P17,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.610016878547,25.356583940751
Rd2.3_P9_MT+WT_20210726,P18,Ionis676630_3_P9,Ionis676630_3uM_P2.3-9,,32.564752567325,25.4237381117333
Rd2.3_P9_MT+WT_20210726,L1,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.1717813512939,24.43520374958
Rd2.3_P9_MT+WT_20210726,L2,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.2211088316795,24.5505039673516
Rd2.3_P9_MT+WT_20210726,L3,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.662529435931,24.6020582838612
Rd2.3_P9_MT+WT_20210726,L13,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.8422860505226,23.9924795009688
Rd2.3_P9_MT+WT_20210726,L14,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.550456939516,24.0501056554114
Rd2.3_P9_MT+WT_20210726,L15,KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,rs13040636,32.8073310520276,24.1160723670967
