SampleName,ASO Microsynth ID,Test plate #,Threshold: 1.5
BS189_10_P2.3-8,BS189_TMO_10uM_P2.3-8,8.0,
BS190_10_P2.3-8,BS190_TMO_10uM_P2.3-8,8.0,
BS191_10_P2.3-8,BS191_TMO_10uM_P2.3-8,8.0,
BS192_10_P2.3-8,BS192_TMO_10uM_P2.3-8,8.0,
BS193_10_P2.3-8,BS193_TMO_10uM_P2.3-8,8.0,
BS194_10_P2.3-8,BS194_TMO_10uM_P2.3-8,8.0,
BS195_10_P2.3-8,BS195_TMO_10uM_P2.3-8,8.0,
BS196_10_P2.3-8,BS196_TMO_10uM_P2.3-8,8.0,
BS197_10_P2.3-8,BS197_TMO_10uM_P2.3-8,8.0,
BS198_10_P2.3-8,BS198_TMO_10uM_P2.3-8,8.0,
BS199_10_P2.3-8,BS199_TMO_10uM_P2.3-8,8.0,
BS205_10_P2.3-8,BS205_TMO_10uM_P2.3-8,8.0,
KQ104_10_P2.3-2,KQ104_L20_5-10-5_10uM_P2.3-2,2.0,
KQ105_10_P2.3-2,KQ105_L20_5-10-5_10uM_P2.3-2,2.0,
KQ106_10_P2.3-2,KQ106_L20_5-10-5_10uM_P2.3-2,2.0,
KQ2004_10_P9,KQ2004_L21_6-10-5_10uM_P2.3-9,9.0,
KQ2004_10_P9_Total,KQ2004_L21_6-10-5_10uM_P2.3-9,9.0,
KQ2007_10_P2.3-1,KQ2007_L21_6-10-5_10uM_P2.3-1,1.0,
KQ2009_10_P2.3-6,KQ2009_L21_6-10-5_10uM_P2.3-6,6.0,
KQ2011_10_P2.3-6,KQ2011_L21_6-10-5_10uM_P2.3-6,6.0,
KQ2022_10_P2.3-7,KQ2022_L21_6-10-5_10uM_P2.3-7,7.0,
KQ2023_10_P2.3-6,KQ2023_L21_6-10-5_10uM_P2.3-6,6.0,
KQ2026_10_P2.3-6,KQ2026_L21_6-10-5_10uM_P2.3-6,6.0,
KQ2048_10_P9,KQ2048_L21_7-08-6_10uM_P2.3-9,9.0,
KQ2048_10_P9_Total,KQ2048_L21_7-08-6_10uM_P2.3-9,9.0,
KQ2055_10_P2.3-6,KQ2055_L21_7-08-6_10uM_P2.3-6,6.0,
KQ2061_10_P2.3-1,KQ2061_L20_6-08-6_10uM_P2.3-1,1.0,
KQ2062_10_P2.3-7,KQ2062_L21_7-08-6_10uM_P2.3-7,7.0,
KQ2070_10_P2.3-1,KQ2070_L20_6-08-6_10uM_P2.3-1,1.0,
KQ2071_10_P2.3-1,KQ2071_L20_6-08-6_10uM_P2.3-1,1.0,
KQ2081_10_P2.3-6,KQ2081_L19_6-08-5_10uM_P2.3-6,6.0,
KQ2086_10_P9,KQ2086_L19_6-08-5_10uM_P2.3-9,9.0,
KQ258_10_P2.3-1,KQ258_L20_5-10-5_10uM_P2.3-1,1.0,
KQ271_10_P2.3-6,KQ271_L20_5-10-5_10uM_P2.3-6,6.0,
KQ273_10_P2.3-3,KQ273_L20_5-10-5_10uM_P2.3-3,3.0,
KQ278_10_P2.3-5,KQ278_L20_5-10-5_10uM_P2.3-5,5.0,
KQ279_10_P2.3-2,KQ279_L20_5-10-5_10uM_P2.3-2,2.0,
KQ280_10_P2.3-2,KQ280_L20_5-10-5_10uM_P2.3-2,2.0,
KQ297_10_P2.3-5,KQ297_L20_5-10-5_10uM_P2.3-5,5.0,
KQ332_10_P2.3-1,KQ332_L20_5-10-5_10uM_P2.3-1,1.0,
KQ347_10_P2.3-6,KQ347_L20_5-10-5_10uM_P2.3-6,6.0,
KQ360_10_P2.3-6,KQ360_L20_5-10-5_10uM_P2.3-6,6.0,
KQ361_10_P2.3-6,KQ361_L20_5-10-5_10uM_P2.3-6,6.0,
KQ371_10_P2.3-2,KQ371_L20_5-10-5_10uM_P2.3-2,2.0,
KQ373_10_P2.3-2,KQ373_L20_5-10-5_10uM_P2.3-2,2.0,
KQ380_10_P2.3-1,KQ380_L20_5-10-5_10uM_P2.3-1,1.0,
KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,5.0,
KQ479_10_P2.3-4,KQ479_L20_5-10-5_10uM_P2.3-4,4.0,
KQ480_10_P2.3-4,KQ480_L20_5-10-5_10uM_P2.3-4,4.0,
KQ484_10_P2.3-5,KQ484_L20_5-10-5_10uM_P2.3-5,5.0,
KQ498_10_P2.3-7,KQ498_L20_5-10-5_10uM_P2.3-7,7.0,
KQ500_10_P2.3-7,KQ500_L20_5-10-5_10uM_P2.3-7,7.0,
KQ501_10_P9,KQ501_L20_5-10-5_10uM_P2.3-9,9.0,
KQ501_10_P9_Total,KQ501_L20_5-10-5_10uM_P2.3-9,9.0,
KQ920_10_P2.3-3,KQ920_L20_5-10-5_10uM_P2.3-3,3.0,
