Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1_P1-1+P1-2_MT_20210826,G1,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.84406627,24.49340872,6.350657547,6.300563668,6.225968454,0.129703111,0.124689092,0.074595214,0.949608522
R3.1_P1-1+P1-2_MT_20210826,G2,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.77580078,24.53301304,6.242787735,,,,0.01681928,,
R3.1_P1-1+P1-2_MT_20210826,G3,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.89564052,24.5873948,6.308245722,,,,0.082277268,,
R3.1_P1-1+P1-2_MT_20210826,G4,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.374904,24.09698102,6.277922985,6.307432433,,,0.051954531,0.081463979,0.945098119
R3.1_P1-1+P1-2_MT_20210826,G5,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.49479715,24.18946798,6.305329175,,,,0.079360721,,
R3.1_P1-1+P1-2_MT_20210826,G6,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.56988391,24.23083877,6.339045138,,,,0.113076684,,
R3.1_P1-1+P1-2_MT_20210826,H13,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.37333596,24.35474308,6.018592876,6.033722771,,,-0.207375578,-0.192245684,1.142540799
R3.1_P1-1+P1-2_MT_20210826,H14,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.5023424,24.43791161,6.064430794,,,,-0.16153766,,
R3.1_P1-1+P1-2_MT_20210826,H15,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.52956932,24.51142468,6.018144642,,,,-0.207823813,,
R3.1_P1-1+P1-2_MT_20210826,H16,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.47068916,24.16990557,6.300783597,6.262154946,,,0.074815142,0.036186492,0.975229389
R3.1_P1-1+P1-2_MT_20210826,H17,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.46461179,24.2629144,6.201697391,,,,-0.024271063,,
R3.1_P1-1+P1-2_MT_20210826,H18,Naïve_R3.1P1-1,Naïve_R3.1P1-1,,30.59984526,24.31586141,6.28398385,,,,0.058015396,,
R3.1_P1-1+P1-2_MT_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,33.27171955,24.71025327,8.561466274,,,,2.33549782,2.505210252,0.176139423
R3.1_P1-1+P1-2_MT_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,33.45496317,24.75138075,8.703582421,,,,2.477613967,,
R3.1_P1-1+P1-2_MT_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,33.699656,24.77116857,8.928487423,,,,2.702518969,,
R3.1_P1-1+P1-2_MT_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,34.01677134,25.25283384,8.763937494,,,,2.537969039,2.436376733,0.184747054
R3.1_P1-1+P1-2_MT_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,33.88372298,25.34802089,8.53570209,,,,2.309733635,,
R3.1_P1-1+P1-2_MT_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,34.07776037,25.39036439,8.687395978,,,,2.461427523,,
R3.1_P1-1+P1-2_MT_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,31.83584284,24.16302595,7.672816895,,,,1.446848441,1.460369178,0.363400125
R3.1_P1-1+P1-2_MT_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,32.0470612,24.24773524,7.79932596,,,,1.573357505,,
R3.1_P1-1+P1-2_MT_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,31.87915094,24.2922809,7.586870043,,,,1.360901588,,
R3.1_P1-1+P1-2_MT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,, ,30.83409471,,,,,,2.582972327,0.166896739
R3.1_P1-1+P1-2_MT_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,39.61856416,31.03440841,8.584155747,,,,2.358187293,,
R3.1_P1-1+P1-2_MT_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,40,30.96627418,9.033725815,,,,2.807757361,,
R3.1_P1-1+P1-2_MT_20210826,G13,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,, ,30.88944171,,,,,,0.014890882,0.989731512
R3.1_P1-1+P1-2_MT_20210826,G14,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,37.47775966,30.90275605,6.575003617,,,,0.349035163,,
R3.1_P1-1+P1-2_MT_20210826,G15,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,36.73492795,30.82821289,5.906715056,,,,-0.319253398,,
R3.1_P1-1+P1-2_MT_20210826,G16,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.96766174,25.37784276,6.589818975,,,,0.36385052,0.332602168,0.79410288
R3.1_P1-1+P1-2_MT_20210826,G17,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.9465706,25.50068454,6.445886062,,,,0.219917608,,
R3.1_P1-1+P1-2_MT_20210826,G18,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,32.28127449,25.64126766,6.640006829,,,,0.414038375,,
R3.1_P1-1+P1-2_MT_20210826,H7,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.23758471,24.09894643,7.13863828,,,,0.912669826,0.773850456,0.584854453
R3.1_P1-1+P1-2_MT_20210826,H8,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,30.9624997,24.1633373,6.799162398,,,,0.573193944,,
R3.1_P1-1+P1-2_MT_20210826,H9,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.27722069,24.21556464,7.061656051,,,,0.835687597,,
R3.1_P1-1+P1-2_MT_20210826,H10,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.5201225,24.24230755,7.277814948,,,,1.051846494,1.074559486,0.474816019
R3.1_P1-1+P1-2_MT_20210826,H11,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.73900517,24.380298,7.358707172,,,,1.132738718,,
R3.1_P1-1+P1-2_MT_20210826,H12,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,,31.6805429,24.4154812,7.2650617,,,,1.039093246,,
R3.1_P1-1+P1-2_MT_20210826,A1,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,rs8113956,33.46650936,25.83161127,7.634898093,,,,1.408929639,1.234504045,0.424988573
