Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,O1,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,29.8766646241192,24.2754466425908,5.6012179815284,5.663540186235466,5.693168755436608,0.048565853708486845,-0.09195077390820838,-0.02962856920114169,1.020749293629249
R3.1 P1-1+P1-2_Total_20210826,O2,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,30.0007812355686,24.3527097581458,5.6480714774228,,,,-0.045097278013808584,,
R3.1 P1-1+P1-2_Total_20210826,O3,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,30.1281549971083,24.3868238973531,5.7413310997552,,,,0.0481623443185919,,
R3.1 P1-1+P1-2_Total_20210826,O4,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,29.6668098509752,23.9214552676751,5.745354583300099,5.7637486918181,,,0.05218582786349035,0.07057993638149156,0.9522551323713611
R3.1 P1-1+P1-2_Total_20210826,O5,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,29.8138754194519,23.9750926808231,5.838782738628801,,,,0.14561398319219254,,
R3.1 P1-1+P1-2_Total_20210826,O6,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,29.7132058707517,24.0060971172263,5.7071087535254,,,,0.01393999808879176,,
R3.1 P1-1+P1-2_Total_20210826,P13,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,36.1585513999547,30.0586132043849,6.099938195569802,5.658944623391967,,,0.4067694401331936,-0.03422413204464103,1.0240059740503613
R3.1 P1-1+P1-2_Total_20210826,P14,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,35.9806655829375,30.0909090954835,5.889756487453997,,,,0.196587732017389,,
R3.1 P1-1+P1-2_Total_20210826,P15,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,35.5766218842732,30.5894826971211,4.987139187152103,,,,-0.7060295682845057,,
R3.1 P1-1+P1-2_Total_20210826,P16,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,29.9468414756897,24.2577186194217,5.689122856268,5.6864415203008996,,,-0.0040458991686085355,-0.006727235135708831,1.00467385260193
R3.1 P1-1+P1-2_Total_20210826,P17,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,29.9365411338219,24.2788245061368,5.657716627685101,,,,-0.03545212775150741,,
R3.1 P1-1+P1-2_Total_20210826,P18,Naïve_R3.1P1-2,Naïve_R3.1P1-2,,30.0263146059391,24.3138295289895,5.712485076949598,,,,0.019316321512989454,,
R3.1 P1-1+P1-2_Total_20210826,O7,Ionis1375651_10_R3.1P1-2,Ionis1375651_10uM_R3.1P1-2,,33.8567614606445,24.5286407191301,9.3281207415144,,,,3.634951986077792,3.4073365887352267,0.09425176276984738
