Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1_P3-1+P3-2_WT_20210826,G1,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.16509736,24.10475445,6.0603429158956,6.1182431926796,6.1543267727743,0.0711022733301,-0.0939838568787,-0.0360835800947,1.0253266367308
R3.1_P3-1+P3-2_WT_20210826,G2,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.29072808,24.1393276,6.1514004707368,,,,-0.0029263020375,,
R3.1_P3-1+P3-2_WT_20210826,G3,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.27139426,24.12840807,6.1429861914064,,,,-0.0113405813679,,
R3.1_P3-1+P3-2_WT_20210826,G4,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.06288286,23.87698438,6.1858984770477,6.2209772935400,,,0.0315717042734,0.0666505207657,0.9548522900664
R3.1_P3-1+P3-2_WT_20210826,G5,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.10048248,23.85031673,6.2501657445962,,,,0.0958389718219,,
R3.1_P3-1+P3-2_WT_20210826,G6,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.11336774,23.88650008,6.2268676589762,,,,0.0725408862019,,
R3.1_P3-1+P3-2_WT_20210826,H13,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.11457003,24.06444219,6.0501278407878,6.2059578532343,,,-0.1041989319865,0.0516310804600,0.9648448788693
R3.1_P3-1+P3-2_WT_20210826,H14,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.30142124,24.04518112,6.2562401171161,,,,0.1019133443418,,
R3.1_P3-1+P3-2_WT_20210826,H15,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.35587703,24.04437143,6.3115056017991,,,,0.1571788290248,,
R3.1_P3-1+P3-2_WT_20210826,H16,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.18641524,24.08814189,6.0982733495125,6.0721287516433,,,-0.0560534232618,-0.0821980211310,1.0586296900737
R3.1_P3-1+P3-2_WT_20210826,H17,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.16186634,24.0956587,6.0662076420251,,,,-0.0881191307492,,
R3.1_P3-1+P3-2_WT_20210826,H18,Naïve_R3.1P3-1,Naïve_R3.1P3-1,,30.15824982,24.10634456,6.0519052633924,,,,-0.1024215093819,,
R3.1_P3-1+P3-2_WT_20210826,G7,Ionis1375651_10_R3.1P3-1,Ionis1375651_10uM_R3.1P3-1,,32.68250266,23.96811386,8.7143888036922,,,,2.5600620309179,2.6494235708573,0.1593837475083
R3.1_P3-1+P3-2_WT_20210826,G8,Ionis1375651_10_R3.1P3-1,Ionis1375651_10uM_R3.1P3-1,,32.77615618,23.96549436,8.8106618176876,,,,2.6563350449133,,
