Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,Unnamed: 6,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P4-1+P5-1_WT_20210826,G1,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.3728065583181,24.2639372758323,6.108869282485799,6.255291794562701,6.205409288883216,0.13372624262035943,-0.09654000639741778,0.04988250567948397,0.9660149988107062
R3.1 P4-1+P5-1_WT_20210826,G2,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.5703061880683,24.2840680244486,6.2862381636197,,,,0.08082887473648359,,
R3.1 P4-1+P5-1_WT_20210826,G3,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.7267272939665,24.3559593563839,6.3707679375826025,,,,0.1653586486993861,,
R3.1 P4-1+P5-1_WT_20210826,G4,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.9459586944785,24.6533100361878,6.292648658290698,6.2446075113209325,,,0.08723936940748178,0.03919822243771609,0.9731956504938741
R3.1 P4-1+P5-1_WT_20210826,G5,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.9931978321419,24.6595600636837,6.3336377684582,,,,0.1282284795749833,,
R3.1 P4-1+P5-1_WT_20210826,G6,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.8485502461972,24.7410141389833,6.1075361072139,,,,-0.0978731816693168,,
R3.1 P4-1+P5-1_WT_20210826,H13,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.3575823581656,24.0366366610536,6.320945697112002,6.311957757668066,,,0.11553640822878553,0.10654846878484954,0.928807502753412
R3.1 P4-1+P5-1_WT_20210826,H14,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.3141870395312,24.1268040420922,6.1873829974389984,,,,-0.018026291444217968,,
R3.1 P4-1+P5-1_WT_20210826,H15,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.6107185673371,24.1831739888839,6.4275445784531975,,,,0.22213528956998108,,
R3.1 P4-1+P5-1_WT_20210826,H16,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.4423639185996,24.4204836270039,6.0218802915957,6.009780091981166,,,-0.18352899728751648,-0.1956291969020508,1.1452235135176103
R3.1 P4-1+P5-1_WT_20210826,H17,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.5477974531113,24.488727358716,6.059070094395299,,,,-0.14633919448791755,,
R3.1 P4-1+P5-1_WT_20210826,H18,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.4662381622604,24.5178482723079,5.948389889952498,,,,-0.25701939893071835,,
R3.1 P4-1+P5-1_WT_20210826,G7,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,33.0369852504858,24.3192615664076,8.717723684078198,,,,2.5123143951949816,2.4046000743279494,0.18886141971365483
R3.1 P4-1+P5-1_WT_20210826,G8,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,32.8639195959398,24.3622457210396,8.501673874900199,,,,2.2962645860169824,,
R3.1 P4-1+P5-1_WT_20210826,G9,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,33.0276861846284,24.4170556539733,8.6106305306551,,,,2.4052212417718843,,
R3.1 P4-1+P5-1_WT_20210826,H1,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,33.1192098076833,24.9350887789028,8.184121028780499,,,,1.9787117398972827,1.9499192381689143,0.2588307198559211
R3.1 P4-1+P5-1_WT_20210826,H2,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,33.1597710400594,24.9798798982424,8.179891141816995,,,,1.9744818529337786,,
R3.1 P4-1+P5-1_WT_20210826,H3,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,33.0927796174246,24.9908062068657,8.101973410558898,,,,1.8965641216756817,,
R3.1 P4-1+P5-1_WT_20210826,G10,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,32.3089980299125,25.2464115857208,7.062586444191702,,,,0.8571771553084853,1.0141692902927177,0.49511333442955874
R3.1 P4-1+P5-1_WT_20210826,G11,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,32.6375395438749,25.2783282586731,7.359211285201802,,,,1.1538019963185855,,
R3.1 P4-1+P5-1_WT_20210826,G12,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,32.5438249105625,25.3068869024282,7.236938008134299,,,,1.0315287192510825,,
R3.1 P4-1+P5-1_WT_20210826,H4,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,31.5237039830811,24.3391285680199,7.1845754150612,,,,0.9791661261779838,0.8220001273495171,0.5656571814912805
R3.1 P4-1+P5-1_WT_20210826,H5,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,31.3935536540276,24.3970215553227,6.9965320987049004,,,,0.791122809821684,,
R3.1 P4-1+P5-1_WT_20210826,H6,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,31.3868878822325,24.4857671473004,6.9011207349321,,,,0.6957114460488834,,
R3.1 P4-1+P5-1_WT_20210826,G13,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,37.3143882792749,30.7904644131778,6.5239238660971,,,,0.3185145772138833,0.7987391798207174,0.5748513401418335
R3.1 P4-1+P5-1_WT_20210826,G14,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,39.3067992261225,30.5817967897398,8.725002436382699,,,,2.5195931474994824,,
R3.1 P4-1+P5-1_WT_20210826,G15,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,36.644664558392,30.88114545476,5.763519103632003,,,,-0.4418901852512134,,
R3.1 P4-1+P5-1_WT_20210826,G16,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.7578086346695,24.139057345729,6.618751288940501,,,,0.41334200005728494,0.4648174158358526,0.7245627704717948
R3.1 P4-1+P5-1_WT_20210826,G17,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.7813235665226,24.0834453443265,6.697878222196103,,,,0.4924689333128862,,
R3.1 P4-1+P5-1_WT_20210826,G18,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.879722878948,24.1856722759274,6.694050603020603,,,,0.48864131413738665,,
R3.1 P4-1+P5-1_WT_20210826,H7,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.1681570670488,23.6878747023308,6.480282364718001,,,,0.27487307583478415,0.2034354557742176,0.8684800079725258
R3.1 P4-1+P5-1_WT_20210826,H8,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.0557243464934,23.6862716964521,6.3694526500413,,,,0.16404336115808338,,
R3.1 P4-1+P5-1_WT_20210826,H9,Ionis676630_10_R3.1P4-1,Ionis676630_10uM_R3.1P4-1,,30.1370501677732,23.7602509485602,6.376799219213002,,,,0.17138993032978522,,
