Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,Unnamed: 6,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P4-1+P5-1_Total_20210826,G1,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.005980362368,24.5209206673594,5.4850596950086015,5.478259844467934,5.401567850057017,0.12596470224315445,0.08349184495158468,0.07669199441091716,0.9482293840512552
R3.1 P4-1+P5-1_Total_20210826,G2,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.0162756322161,24.5048673154669,5.5114083167492005,,,,0.10984046669218372,,
R3.1 P4-1+P5-1_Total_20210826,G3,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,29.9871598583688,24.5488483367228,5.438311521646,,,,0.03674367158898306,,
R3.1 P4-1+P5-1_Total_20210826,G4,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.2733974961931,24.7759852041449,5.4974122920482,5.535829673422033,,,0.0958444419911828,0.13426182336501688,0.9111359107484446
R3.1 P4-1+P5-1_Total_20210826,G5,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.3692398498757,24.77863686344,5.590602986435702,,,,0.18903513637868485,,
R3.1 P4-1+P5-1_Total_20210826,G6,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,30.3644464078803,24.8449726660981,5.5194737417822,,,,0.11790589172518295,,
R3.1 P4-1+P5-1_Total_20210826,H13,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,29.8155878945264,24.1952384010447,5.620349493481697,5.269233327756132,,,0.21878164342468054,-0.1323345223008848,1.0960658852778131
R3.1 P4-1+P5-1_Total_20210826,H14,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,28.7311415696635,24.1139230398382,4.617218529825301,,,,-0.7843493202317156,,
R3.1 P4-1+P5-1_Total_20210826,H15,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,29.954014786025,24.3838828260636,5.570131959961397,,,,0.16856410990438064,,
R3.1 P4-1+P5-1_Total_20210826,H16,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,29.9209605242682,24.5285460502493,5.392414474018899,5.322948554581966,,,-0.0091533760381175,-0.07861929547505042,1.0560069249666526
R3.1 P4-1+P5-1_Total_20210826,H17,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,29.9673649642096,24.6197290517319,5.347635912477703,,,,-0.05393193757931414,,
R3.1 P4-1+P5-1_Total_20210826,H18,Naïve_R3.1P4-1,Naïve_R3.1P4-1,,29.912579353244,24.6837840759947,5.228795277249297,,,,-0.17277257280771963,,
R3.1 P4-1+P5-1_Total_20210826,G7,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,31.493519734285,24.5152024943173,6.978317239967701,,,,1.5767493899106846,1.4436859879686839,0.36762684178144805
R3.1 P4-1+P5-1_Total_20210826,G8,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,31.2091629018972,24.5226521228891,6.686510779008103,,,,1.2849429289510859,,
R3.1 P4-1+P5-1_Total_20210826,G9,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,31.1985689144427,24.3276354193414,6.870933495101298,,,,1.469365645044281,,
R3.1 P4-1+P5-1_Total_20210826,H1,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,31.3136122671377,24.9780751506886,6.3355371164491,,,,0.9339692663920829,0.9521333929811165,0.5168675758377692
R3.1 P4-1+P5-1_Total_20210826,H2,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,31.420491391489,24.9835600583374,6.436931333151602,,,,1.035363483094585,,
R3.1 P4-1+P5-1_Total_20210826,H3,Ionis1375651_10_R3.1P4-1,Ionis1375651_10uM_R3.1P4-1,,31.2994502581086,25.0108149785949,6.288635279513699,,,,0.8870674294566818,,
R3.1 P4-1+P5-1_Total_20210826,G10,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,30.9414132513153,25.339911503106,5.6015017482093015,,,,0.19993389815228468,0.26473319440685117,0.832352652069741
R3.1 P4-1+P5-1_Total_20210826,G11,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,31.1500699141725,25.3933799080908,5.756690006081701,,,,0.35512215602468444,,
R3.1 P4-1+P5-1_Total_20210826,G12,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,31.0625025294711,25.4217911503705,5.640711379100601,,,,0.23914352904358438,,
R3.1 P4-1+P5-1_Total_20210826,H4,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,30.4124441126689,24.5260543632696,5.886389749399299,,,,0.4848218993422826,0.5288294755676155,0.693116863377707
R3.1 P4-1+P5-1_Total_20210826,H5,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,30.1955262165757,24.1061418653716,6.0893843512040995,,,,0.6878165011470827,,
R3.1 P4-1+P5-1_Total_20210826,H6,Ionis1375651_3_R3.1P4-1,Ionis1375651_3uM_R3.1P4-1,,30.4942669784514,24.6788491021809,5.815417876270498,,,,0.4138500262134812,,
