Experiment Name,Position,SampleName,ASO Microsynth ID,Exp,Test plate #
R3.1_P1-1+P1-2_MT_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1981276559257645,1-1
R3.1_P1-1+P1-2_MT_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1795410985927503,1-1
R3.1_P1-1+P1-2_MT_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1536245863381784,1-1
R3.1_P1-1+P1-2_MT_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1721849509385228,1-1
R3.1_P1-1+P1-2_MT_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2016976758398713,1-1
R3.1_P1-1+P1-2_MT_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1815668183730368,1-1
R3.1 P1-1+P1-2_Total_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1042073862726623,1-1
R3.1 P1-1+P1-2_Total_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1005808686910717,1-1
R3.1 P1-1+P1-2_Total_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.0920480549521727,1-1
R3.1 P1-1+P1-2_Total_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1096564244097753,1-1
R3.1 P1-1+P1-2_Total_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1135597694187932,1-1
R3.1_P1-1+P1-2_WT_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2084432052298868,1-1
R3.1_P1-1+P1-2_WT_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1691946453037831,1-1
R3.1_P1-1+P1-2_WT_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.2170190595430449,1-1
R3.1_P1-1+P1-2_WT_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1484881861093262,1-1
R3.1_P1-1+P1-2_WT_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.1914234848415261,1-1
R3.1_P1-1+P1-2_WT_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,0.194339688872365,1-1
R3.1_P1-1+P1-2_MT_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.366821869643221,1-1
R3.1_P1-1+P1-2_MT_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.336025469904861,1-1
R3.1_P1-1+P1-2_MT_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.3893389029890837,1-1
R3.1_P1-1+P1-2_MT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_MT_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.1950360485050415,1-1
R3.1_P1-1+P1-2_MT_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.142817298497786,1-1
R3.1 P1-1+P1-2_Total_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.2612510185257095,1-1
R3.1 P1-1+P1-2_Total_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.2899402268283181,1-1
R3.1 P1-1+P1-2_Total_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.3000744322359003,1-1
R3.1 P1-1+P1-2_Total_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,1-1
R3.1 P1-1+P1-2_Total_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.0913354241359131,1-1
R3.1 P1-1+P1-2_Total_20210826,H6,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.5369955749352173,1-1
R3.1_P1-1+P1-2_WT_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.3135325486824319,1-1
R3.1_P1-1+P1-2_WT_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.3983640505539325,1-1
R3.1_P1-1+P1-2_WT_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.3845690847803816,1-1
R3.1_P1-1+P1-2_WT_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,,1-1
R3.1_P1-1+P1-2_WT_20210826,H5,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,0.1440796436752969,1-1
