SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,MT zscore range,WT Avg Exp,WT zscore range,Tier
ASO11-2nd_10_R3.1P2-1,KQ371_2nd batch_L20_5-10-5_10uM_R3.1P2-1,2-1,0.08762541536994077,1.536783576313911,0.18409145735766133,0.2053991793434208,000010
ASO186_10_R3.1P3-1,KQ273_L20_5-10-5_10uM_R3.1P3-1,3-1,0.08028630008379116,0.0775899946964638,0.19286576595475255,1.2208934373298772,000010
ASO8-2nd_10_R3.1P1-1,KQ373_2nd batch_L20_5-10-5_10uM_R3.1P1-1,1-1,0.0494525283710712,0.0,0.1039427747954746,0.3298388467124767,000010
ASO10-2nd_10_R3.1P2-1,KQ280_2nd batch_L20_5-10-5_10uM_R3.1P2-1,2-1,0.07477545664705632,0.2319370823020171,0.21158738855917789,1.2940026830574796,000020
ASO10-2nd_10_R3.1P2-2,KQ280_2nd batch_L20_5-10-5_10uM_R3.1P2-2,2-2,0.08364851109718469,0.2485256563465253,0.20050511127986362,0.189224576773236,000020
ASO11-2nd_10_R3.1P2-2,KQ371_2nd batch_L20_5-10-5_10uM_R3.1P2-2,2-2,0.09115019814130391,0.9833133316036518,0.2825044445595644,0.1678837485955028,000020
ASO9-2nd_10_R3.1P1-1,KQ372_2nd batch_L20_5-10-5_10uM_R3.1P1-1,1-1,0.05502452742195605,0.0,0.23482357890440286,1.0627602098290811,000020
ASO186_10_R3.1P3-2,KQ273_L20_5-10-5_10uM_R3.1P3-2,3-2,0.09331910186825809,1.4005792728615545,0.3522140856014994,1.156784661064162,000030
ASO11_10_R3.1P2-1,KQ371_L20_5-10-5_10uM_R3.1P2-1,2-1,0.12231766413615246,0.8891961252251313,0.2552597909392791,1.2095931369081057,010020
ASO194-2nd_10_R3.1P5-1,KQ955_2nd batch_L20_5-10-5_10uM_R3.1P5-1,5-1,0.1160018604827836,0.2530168643817049,0.271451041397396,0.4210903357858974,010020
ASO196-2nd_10_R3.1P5-1,KQ957_2nd batch_L20_5-10-5_10uM_R3.1P5-1,5-1,0.1640241928431948,0.3354659661247882,0.2395259504131945,0.4406000440554242,010020
ASO572_10_R3.1P2-2,KQ2209_L20_6-09-5_10uM_R3.1P2-2,2-2,0.14983654850091296,1.1675684036658862,0.28258292512657696,0.4791297631248873,010020
ASO11_10_R3.1P2-2,KQ371_L20_5-10-5_10uM_R3.1P2-2,2-2,0.1352678889796715,1.764246648107734,0.328219726628534,0.119544623233758,010030
ASO195-2nd_10_R3.1P5-1,KQ956_2nd batch_L20_5-10-5_10uM_R3.1P5-1,5-1,0.18922810265392778,0.3657823854820153,0.3332152462562591,0.2500167803418194,010030
ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,1-1,0.18712042227149217,0.3602143535010999,0.3019926432983284,0.7880164346024502,010030
ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,1-1,0.14037821757615343,0.8917115668712394,0.35233710458480605,0.0707913051202882,010030
