Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
R3.1_P1-1+P1-2_MT_20210826,G1,Naive_R3.1P1-1,Naive_R3.1P1-1,6.3506575499999975,0.124689092,0.9172016834597827,0.035920324939508363,0.9746443609116934
R3.1_P1-1+P1-2_MT_20210826,G2,Naive_R3.1P1-1,Naive_R3.1P1-1,6.242787740000001,0.01681928,0.9884094574089427,0.035920324939508363,0.16959122667389784
R3.1_P1-1+P1-2_MT_20210826,G3,Naive_R3.1P1-1,Naive_R3.1P1-1,6.308245720000002,0.082277268,0.9445654898410917,0.035920324939508363,0.6652776040225202
R3.1_P1-1+P1-2_MT_20210826,G4,Naive_R3.1P1-1,Naive_R3.1P1-1,6.27792298,0.051954531,0.9646285860236453,0.020035890405895523,0.4384504253522383
R3.1_P1-1+P1-2_MT_20210826,G5,Naive_R3.1P1-1,Naive_R3.1P1-1,6.30532917,0.079360721,0.9464769514196864,0.020035890405895523,0.6436672088440185
R3.1_P1-1+P1-2_MT_20210826,G6,Naive_R3.1P1-1,Naive_R3.1P1-1,6.339045140000003,0.113076684,0.9246141305167539,0.020035890405895523,0.8908415202296224
R3.1_P1-1+P1-2_MT_20210826,H13,Naive_R3.1P1-1,Naive_R3.1P1-1,6.01859288,-0.207375578,1.1545859527172844,0.020950924942995434,1.709148986159436
R3.1_P1-1+P1-2_MT_20210826,H14,Naive_R3.1P1-1,Naive_R3.1P1-1,6.064430789999999,-0.16153766,1.1184786051286006,0.020950924942995434,1.3009304485874404
R3.1_P1-1+P1-2_MT_20210826,H15,Naive_R3.1P1-1,Naive_R3.1P1-1,6.018144639999999,-0.207823813,1.1549447300222278,0.020950924942995434,1.7132052117345296
R3.1_P1-1+P1-2_MT_20210826,H16,Naive_R3.1P1-1,Naive_R3.1P1-1,6.300783589999998,0.074815142,0.9494637715590154,0.03619166055045273,0.6098991413814941
R3.1_P1-1+P1-2_MT_20210826,H17,Naive_R3.1P1-1,Naive_R3.1P1-1,6.20169739,-0.024271063,1.0169657295296102,0.03619166055045273,0.15325718014899117
R3.1_P1-1+P1-2_MT_20210826,H18,Naive_R3.1P1-1,Naive_R3.1P1-1,6.2839838499999985,0.058015396,0.9605846128337369,0.03619166055045273,0.48417033921492725
R3.1_P1-1+P1-2_MT_20210826,G7,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,8.561466280000001,2.33549782,0.19812765592576456,0.022351916113435448,0.9653723934168217
R3.1_P1-1+P1-2_MT_20210826,G8,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,8.70358242,2.477613967,0.17954109859275036,0.022351916113435448,0.08985572398878863
R3.1_P1-1+P1-2_MT_20210826,G9,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,8.928487429999997,2.702518969,0.15362458633817844,0.022351916113435448,1.5612326953193008
R3.1_P1-1+P1-2_MT_20210826,H1,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,8.763937499999997,2.537969039,0.17218495093852282,0.015079079271247941,0.5074916369472529
R3.1_P1-1+P1-2_MT_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,8.535702090000001,2.309733635,0.2016976758398713,0.015079079271247941,1.1680557266219425
R3.1_P1-1+P1-2_MT_20210826,H3,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,8.687395980000002,2.461427523,0.1815668183730368,0.015079079271247941,0.025151936216582897
R3.1_P1-1+P1-2_MT_20210826,G10,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,7.67281689,1.446848441,0.366821869643221,0.026763648153074606,0.7339948895731138
R3.1_P1-1+P1-2_MT_20210826,G11,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,7.799325960000001,1.573357505,0.33602546990486104,0.026763648153074606,0.4542857608911292
R3.1_P1-1+P1-2_MT_20210826,G12,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,7.586870039999997,1.360901588,0.38933890298908375,0.026763648153074606,0.9385064503783661
