Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range
R3.1_P1-1+P1-2_MT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.3815405447224144,0.5698283407370034,1-1,0.6532013882411295,0.8054743649809821,1.6109487299619643
R3.1_P1-1+P1-2_MT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.3702744882677293,0.5676126990139445,1-1,,,1.6109487299619643
R3.1_P1-1+P1-2_MT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,1.6646080619528043,0.8221631249724406,1-1,,,1.6109487299619643
R3.1_P1-1+P1-2_MT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.807657903227927,0.3359543397612745,1-1,0.3363837658398039,-0.8054743649809821,1.6109487299619643
R3.1_P1-1+P1-2_MT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.8082300930479568,0.3358418099116446,1-1,,,1.6109487299619643
R3.1_P1-1+P1-2_MT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.8005350986670621,0.3373551478464926,1-1,,,1.6109487299619643
R3.1_P1-1+P1-2_MT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,1.4375812958614766,0.6736062557486948,1-1,0.7174432325865953,-0.6525400121280124,1.3050800242560248
R3.1_P1-1+P1-2_MT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.9822416382104692,0.6990325797388123,1-1,,,1.3050800242560248
R3.1_P1-1+P1-2_MT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.462202897687904,0.7796908622722788,1-1,,,1.3050800242560248
R3.1_P1-1+P1-2_MT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,1.1386379367041355,0.8174632288371009,1-1,0.7903193525822695,0.6525400121280124,1.3050800242560248
R3.1_P1-1+P1-2_MT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.1614309032788197,0.7628956500642076,1-1,,,1.3050800242560248
R3.1_P1-1+P1-2_MT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.6575511964010783,0.7905991788455001,1-1,,,1.3050800242560248
R3.1_P1-1+P1-2_MT_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.2701607652011324,0.2466062009029896,1-1,0.2466062009029896,-0.27016076520113264,0.3602143536015101
R3.1_P1-1+P1-2_MT_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,,,1-1,,,0.3602143536015101
R3.1_P1-1+P1-2_MT_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,,,1-1,,,0.3602143536015101
R3.1_P1-1+P1-2_MT_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.5791357801333116,0.3614443294195647,1-1,0.29531279515401837,0.09005358840037749,0.3602143536015101
R3.1_P1-1+P1-2_MT_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,1.282291153760326,0.1097503991510573,1-1,,,0.3602143536015101
R3.1_P1-1+P1-2_MT_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.9733161388281464,0.4147436568914331,1-1,,,0.3602143536015101
R3.1_P1-1+P1-2_MT_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,1.1352945581825586,0.4520349389885296,1-1,0.40363834411612437,0.0,0.0
R3.1_P1-1+P1-2_MT_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.7502115133235129,0.3716574961350899,1-1,,,0.0
R3.1_P1-1+P1-2_MT_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.3850830448590457,0.3872225972247536,1-1,,,0.0
R3.1_P1-1+P1-2_MT_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,,,1-1,,,0.0
R3.1_P1-1+P1-2_MT_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,,,1-1,,,0.0
