Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range
R3.1 P1-1+P1-2_Total_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.2389720962831637,1.1994300311709418,1-1,1.4371709097606906,0.8560500773099909,1.7121001546199817
R3.1 P1-1+P1-2_Total_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,1.2076276507258383,1.5726227712211331,1-1,,,1.7121001546199817
R3.1 P1-1+P1-2_Total_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,1.1215504849209708,1.5394599268899969,1-1,,,1.7121001546199817
R3.1 P1-1+P1-2_Total_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.7385183932699279,0.8228334664826734,1-1,0.7775521784041047,-0.8560500773099907,1.7121001546199817
R3.1 P1-1+P1-2_Total_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.9759164694776874,0.7313714001823444,1-1,,,1.7121001546199817
R3.1 P1-1+P1-2_Total_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.8537153691823571,0.7784516685472964,1-1,,,1.7121001546199817
R3.1 P1-1+P1-2_Total_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.1552325271531983,1.5364526880712448,1-1,1.6583225741755474,0.47401331234083777,0.9480266246816755
R3.1 P1-1+P1-2_Total_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.1409455472325174,1.5938153052337234,1-1,,,0.9480266246816755
R3.1 P1-1+P1-2_Total_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,1.4363269169431954,1.8446997292216745,1-1,,,0.9480266246816755
R3.1 P1-1+P1-2_Total_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.1373541554316575,1.593119738442088,1-1,1.474712465816782,-0.47401331234083777,0.9480266246816755
R3.1 P1-1+P1-2_Total_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,1.6902685895691187,1.2391528755797576,1-1,,,0.9480266246816755
R3.1 P1-1+P1-2_Total_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.1308744971149502,1.591864783428501,1-1,,,0.9480266246816755
R3.1 P1-1+P1-2_Total_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,,,1-1,0.28185427782470773,-0.4873349911241093,0.8122249852068486
R3.1 P1-1+P1-2_Total_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.4831574355925349,0.3010846045590536,1-1,,,0.8122249852068486
R3.1 P1-1+P1-2_Total_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.4915125466556835,0.2626239510903619,1-1,,,0.8122249852068486
R3.1 P1-1+P1-2_Total_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,1.7860725180171195,10.746914256243716,1-1,4.020727819845777,0.3248899940827394,0.8122249852068486
R3.1 P1-1+P1-2_Total_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.3521651503114813,0.9040746609674756,1-1,,,0.8122249852068486
R3.1 P1-1+P1-2_Total_20210826,ASO565_10_R3.1P1-1,KQ2202_L20_5-09-6_10uM_R3.1P1-1,0.4592373854574201,0.4111945423261397,1-1,,,0.8122249852068486
R3.1 P1-1+P1-2_Total_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.0013652510688155,1.1924394315582716,1-1,1.136377406123782,0.6898459016442579,1.7246147541106467
R3.1 P1-1+P1-2_Total_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.2859018700507342,1.064726613825134,1-1,,,1.7246147541106467
R3.1 P1-1+P1-2_Total_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.0915372820144218,1.1519661729879402,1-1,,,1.7246147541106467
R3.1 P1-1+P1-2_Total_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.6769621544462281,0.8892011893565024,1-1,0.8464365609457227,-1.0347688524663887,1.7246147541106467
R3.1 P1-1+P1-2_Total_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,0.8675162898259237,0.8036719325349432,1-1,,,1.7246147541106467
R3.1 P1-1+P1-2_Total_20210826,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,1.9232828474061243,,1-1,,,1.7246147541106467
R3.1 P1-1+P1-2_Total_20210826,ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,0.600002804806792,0.6290192128105832,1-1,0.6238392489197783,0.5052815372851971,1.0105630745703942
R3.1 P1-1+P1-2_Total_20210826,ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,0.5735106670440904,0.564844000964154,1-1,,,1.0105630745703942
R3.1 P1-1+P1-2_Total_20210826,ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,1.4893524740928876,0.6776545329845975,1-1,,,1.0105630745703942
R3.1 P1-1+P1-2_Total_20210826,ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,0.3212783779487105,0.6137767809429882,1-1,0.5685752055573731,-0.5052815372851971,1.0105630745703942
R3.1 P1-1+P1-2_Total_20210826,ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,0.5298578025136417,0.5672312184065976,1-1,,,1.0105630745703942
R3.1 P1-1+P1-2_Total_20210826,ASO566_10_R3.1P1-1,KQ2203_L20_6-09-5_10uM_R3.1P1-1,1.3072651872906582,0.5247176173225335,1-1,,,1.0105630745703942
R3.1 P1-1+P1-2_Total_20210826,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,0.4949465106814367,1.076970720044248,1-1,1.027166777209766,-0.6680526064628075,1.6701315161570185
R3.1 P1-1+P1-2_Total_20210826,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,0.5738821017569107,0.9490287489705616,1-1,,,1.6701315161570185
R3.1 P1-1+P1-2_Total_20210826,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,0.5081926399406786,1.0555008626144884,1-1,,,1.6701315161570185
R3.1 P1-1+P1-2_Total_20210826,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,0.1218560678878525,1.6816906694283602,1-1,1.5255716215664266,1.0020789096942109,1.6701315161570185
R3.1 P1-1+P1-2_Total_20210826,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,0.314495734413304,1.3694525737044927,1-1,,,1.6701315161570185
R3.1 P1-1+P1-2_Total_20210826,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,2.013373054680183,,1-1,,,1.6701315161570185
R3.1 P1-1+P1-2_Total_20210826,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,0.1555261762492721,1.510293245976851,1-1,1.373862510856645,-0.733903193034746,1.4678063860694912
R3.1 P1-1+P1-2_Total_20210826,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,0.9573919191904526,1.321144767385502,1-1,,,1.4678063860694912
R3.1 P1-1+P1-2_Total_20210826,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,1.0887914836645127,1.2901495192075818,1-1,,,1.4678063860694912
R3.1 P1-1+P1-2_Total_20210826,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,1.6282478151690236,1.9310596144091008,1-1,1.7200967118257162,0.7339031930347452,1.4678063860694912
R3.1 P1-1+P1-2_Total_20210826,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,0.1162531976227182,1.5744020516378097,1-1,,,1.4678063860694912
R3.1 P1-1+P1-2_Total_20210826,ASO567_10_R3.1P1-1,KQ2204_L20_6-08-6_10uM_R3.1P1-1,0.4572085663124938,1.6548284694302382,1-1,,,1.4678063860694912
R3.1 P1-1+P1-2_Total_20210826,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,0.1798762544945266,3.3762304078232086,1-1,3.2462205191429527,0.8790613675176177,1.46510227919603
R3.1 P1-1+P1-2_Total_20210826,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,0.0056437706711482,3.1162106304626973,1-1,,,1.46510227919603
R3.1 P1-1+P1-2_Total_20210826,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,1.8096558832010408,,1-1,,,1.46510227919603
R3.1 P1-1+P1-2_Total_20210826,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,0.724523248838156,2.02652940866907,1-1,2.1152727647868415,-0.5860409116784123,1.46510227919603
R3.1 P1-1+P1-2_Total_20210826,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,1.059911560682051,1.5260050962029132,1-1,,,1.46510227919603
R3.1 P1-1+P1-2_Total_20210826,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,0.2107410988465088,2.7932837894885405,1-1,,,1.46510227919603
R3.1 P1-1+P1-2_Total_20210826,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,1.338048752812095,1.8097691902792856,1-1,1.630777328793437,0.8741249715978525,1.7482499431957041
R3.1 P1-1+P1-2_Total_20210826,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,0.6981453151745048,1.5628805587584715,1-1,,,1.7482499431957041
R3.1 P1-1+P1-2_Total_20210826,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,0.5861808468069574,1.5196822373425538,1-1,,,1.7482499431957041
R3.1 P1-1+P1-2_Total_20210826,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,0.6604124237704319,1.038719503696148,1-1,0.9562645653905645,-0.8741249715978516,1.7482499431957041
R3.1 P1-1+P1-2_Total_20210826,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,0.886594564053317,0.9514535260432564,1-1,,,1.7482499431957041
R3.1 P1-1+P1-2_Total_20210826,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,1.0753679269698069,0.8786206664322888,1-1,,,1.7482499431957041
R3.1 P1-1+P1-2_Total_20210826,ASO568_3_R3.1P1-1,KQ2205_L20_5-09-6_3uM_R3.1P1-1,0.6219932946909834,1.4814052818320378,1-1,1.4704051250769101,-0.6955752253007997,1.391150450601598
R3.1 P1-1+P1-2_Total_20210826,ASO568_3_R3.1P1-1,KQ2205_L20_5-09-6_3uM_R3.1P1-1,0.1472907271867886,1.5964096689110283,1-1,,,1.391150450601598
R3.1 P1-1+P1-2_Total_20210826,ASO568_3_R3.1P1-1,KQ2205_L20_5-09-6_3uM_R3.1P1-1,1.6120231083981966,1.3334004244876647,1-1,,,1.391150450601598
R3.1 P1-1+P1-2_Total_20210826,ASO568_3_R3.1P1-1,KQ2205_L20_5-09-6_3uM_R3.1P1-1,0.6733691515627336,1.675055949127738,1-1,1.6783756539793264,0.6955752253007983,1.391150450601598
