Experiment Name,SampleName,ASO Microsynth ID,Exp_zscore,Exp,Test plate #,Avg Exp,Avg Exp_zscore,Avg Exp_zscore range
R3.1_P1-1+P1-2_WT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,1.2120807518227703,1.3473692845733272,1-1,1.2508297333944973,0.8802131857112856,1.7604263714225707
R3.1_P1-1+P1-2_WT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.5229379443564047,1.146899144901491,1-1,,,1.7604263714225707
R3.1_P1-1+P1-2_WT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.9056208609546804,1.2582207707086734,1-1,,,1.7604263714225707
R3.1_P1-1+P1-2_WT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.9677190857538706,0.713270265964673,1-1,0.7387255414367354,-0.8802131857112852,1.7604263714225707
R3.1_P1-1+P1-2_WT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,0.6112544043896853,0.816965064324217,1-1,,,1.7604263714225707
R3.1_P1-1+P1-2_WT_20210826,ASO564_10_R3.1P1-1,KQ2201_L20_6-08-6_10uM_R3.1P1-1,1.0616660669903004,0.6859412940213162,1-1,,,1.7604263714225707
R3.1_P1-1+P1-2_WT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,1.2979240267086372,1.060302979351915,1-1,1.2149286639603647,0.04496461066615402,0.08992922133230805
R3.1_P1-1+P1-2_WT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.2060249131620043,1.1860287046701097,1-1,,,0.08992922133230805
R3.1_P1-1+P1-2_WT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,1.6388427718691,1.3984543078590692,1-1,,,0.08992922133230805
R3.1_P1-1+P1-2_WT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.5494942921801399,1.146480236990361,1-1,1.204573845974864,-0.04496461066615402,0.08992922133230805
R3.1_P1-1+P1-2_WT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.1083345091343029,1.1972771769425303,1-1,,,0.08992922133230805
R3.1_P1-1+P1-2_WT_20210826,ASO564_3_R3.1P1-1,KQ2201_L20_6-08-6_3uM_R3.1P1-1,0.5229349693159826,1.269964123991701,1-1,,,0.08992922133230805
