Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
R3.1_P1-1+P1-2_MT_20210826,G15,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,5.90671506,-0.319253398,1.2476846986417023,6.82349737181818,-0.9167823118181806,1.8878999516794643,0.4949279181259,2.3901599243998386
R3.1_P1-1+P1-2_MT_20210826,A15,ASO568_10_R3.1P1-1,KQ2205_L20_5-09-6_10uM_R3.1P1-1,6.977914249999998,0.751945796,0.5938021425655985,6.82349737181818,0.15441687818181737,0.8984954617022728,0.23250479698490348,1.834564221080649
R3.1_P1-1+P1-2_MT_20210826,E18,ASO570_10_R3.1P1-1,KQ2207_L20_6-08-6_10uM_R3.1P1-1,7.6098977099999985,1.383929257,0.38317377863669033,6.82349737181818,0.7864003381818181,0.5797889173984931,0.06878860539054295,1.9256713271799801
R3.1_P1-1+P1-2_MT_20210826,F17,ASO571_10_R3.1P1-1,KQ2208_L20_5-09-6_10uM_R3.1P1-1,6.240727799999998,0.014759343,0.9898217555254056,6.82349737181818,-0.582769571818182,1.4977216982442143,0.6020908382375669,1.886072045316782
R3.1 P1-1+P1-2_Total_20210826,H13,Naive_R3.1P1-1,Naive_R3.1P1-1,5.321969858118003,-0.2495381972163723,1.1888265139370409,6.8937145532833295,-1.5717446951653269,2.972639872587223,0.06836811446686382,1.8131557619738174
R3.1 P1-1+P1-2_Total_20210826,H2,Ionis1375651_10_R3.1P1-1,Ionis1375651_10uM_R3.1P1-1,9.695486219811404,4.123978164477029,0.057353360694264506,6.8937145532833295,2.801771666528074,0.1434110737167463,0.07847696289555842,1.9008019159109506
R3.1 P1-1+P1-2_Total_20210826,H4,Ionis1375651_3_R3.1P1-1,Ionis1375651_3uM_R3.1P1-1,5.2270422437207,-0.3444658116136754,1.2696807693020702,6.8937145532833295,-1.66667230956263,3.174814521746473,1.4877129419517963,1.9218487099391979
R3.1 P1-1+P1-2_Total_20210826,G17,Ionis676630_10_R3.1P1-1,Ionis676630_10uM_R3.1P1-1,5.8717370865185,0.3002290311841253,0.812123459639037,6.8937145532833295,-1.0219774667648291,2.030700484288099,0.29588576137323724,1.8320195612923569
R3.1 P1-1+P1-2_Total_20210826,B12,ASO565_3_R3.1P1-1,KQ2202_L20_5-09-6_3uM_R3.1P1-1,5.853658205793099,0.2821501504587242,0.8223644755513613,6.8937145532833295,-1.0400563474902302,2.0563079651777687,0.6998274204182435,1.9232828474061245
R3.1 P1-1+P1-2_Total_20210826,C12,ASO566_3_R3.1P1-1,KQ2203_L20_6-09-5_3uM_R3.1P1-1,4.531229053218599,-1.040279002115776,2.0566253446648486,6.8937145532833295,-2.3624855000647305,5.1425556469780584,2.0940943079208,2.013373054680183
R3.1 P1-1+P1-2_Total_20210826,F9,ASO567_3_R3.1P1-1,KQ2204_L20_6-08-6_3uM_R3.1P1-1,4.3555566558767005,-1.2159513994576745,2.322939208916237,6.8937145532833295,-2.538157897406629,5.808468799330904,1.4850167185130805,1.8096558832010408
R3.1 P1-1+P1-2_Total_20210826,B17,ASO569_10_R3.1P1-1,KQ2206_L20_6-09-5_10uM_R3.1P1-1,3.1325882036578996,-2.4389198516764754,5.422356062094388,6.8937145532833295,-3.76112634962543,13.558506346032294,6.434150201411122,1.9803157229340818
R3.1 P1-1+P1-2_Total_20210826,E14,ASO570_10_R3.1P1-1,KQ2207_L20_6-08-6_10uM_R3.1P1-1,6.999231080213399,1.4277230248790236,0.371717103188996,6.8937145532833295,0.10551652693006908,0.9294721048934709,0.16299052502163455,1.8354020857508229
R3.1 P1-1+P1-2_Total_20210826,D10,ASO573_3_R3.1P1-1,KQ2210_L19_5-09-5_3uM_R3.1P1-1,6.900481242330599,1.3289731869962242,0.39805144724928115,6.8937145532833295,0.006766689047269736,0.9953206708989394,0.5637700534749348,1.823287839417213
R3.1 P1-1+P1-2_Total_20210826,C24,ASO574_3_R3.1P1-1,KQ2211_L19_5-09-5_3uM_R3.1P1-1,6.499836330493999,0.9283282751596236,0.5254668746298244,6.8937145532833295,-0.39387822278933093,1.3139207150380992,0.052024644280416234,1.8861720945676936
R3.1 P1-1+P1-2_Total_20210826,D17,ASO9-2nd_10_R3.1P1-1,KQ372_2nd batch_L20_5-10-5_10uM_R3.1P1-1,4.2222611194386985,-1.3492469358956765,2.5477910006810243,6.8937145532833295,-2.671453433844631,6.370706765751363,2.9014403564877185,1.9678065084270333
