Experiment	r2
Round 2.1.1 1.0 WT 10um	0.874155216
Round 2.1.1 1.0 MT 10um	0.88953817
Round 2.1.1 2.0 WT 10um	0.575034954
Round 2.1.1 2.0 MT 10um	0.829761455
Round 2.1.2 1.0 WT 10um	0.773328871
Round 2.1.2 1.0 MT 10um	0.906950263
Round 2.1.2 2.0 WT 10um	1.03E-05
Round 2.1.2 2.0 MT 10um	0.125434416
Round 2.1.3 1.0 WT 10um	0.738998846
Round 2.1.3 1.0 MT 10um	0.710144736
Round 2.1.3 2.0 WT 10um	0.63169364
Round 2.1.3 2.0 MT 10um	0.678275475
Round 1 AS 1.0 WT 10um	0.025006446
Round 1 AS 1.0 MT 10um	0.195861511
Round 1 AS 2.0 WT 10um	0.009933757
Round 1 AS 2.0 MT 10um	0.110320037
Round 1 AS 3.0 WT 10um	0.457363841
Round 1 AS 3.0 MT 10um	0.77106763
Round 1 AS 4.0 WT 10um	0.112088243
Round 1 AS 4.0 MT 10um	0.000431514
Round 1 AS 5.0 WT 10um	0.672974551
Round 1 AS 5.0 MT 10um	0.818128869
Round 1 AS 6.0 WT 10um	0.061799764
Round 1 AS 6.0 MT 10um	0.872318514
Round 1 AS 7.0 WT 10um	0.632172302
Round 1 AS 7.0 MT 10um	0.801487856
Round 1 AS 8.0 WT 10um	0.103157288
Round 1 AS 8.0 MT 10um	0.337991469
Round 1 AS 9.0 WT 10um	0.074138979
Round 1 AS 9.0 MT 10um	0.940797064
Round 1 AS 10.0 WT 10um	0.627875035
Round 1 AS 10.0 MT 10um	0.63142704
Round 1 AS 11.0 WT 10um	0.620936739
Round 1 AS 11.0 MT 10um	0.215184598
Round 1 AS 12.0 WT 10um	0.536444266
Round 1 AS 12.0 MT 10um	0.754922711
Round 1 AS 13.0 WT 10um	0.010454505
Round 1 AS 13.0 MT 10um	0.190215237
Round 1 AS 14.0 WT 10um	0.813914987
Round 1 AS 14.0 MT 10um	0.46800355
Round 1 AS 15.0 WT 10um	0.069776436
Round 1 AS 15.0 MT 10um	0.579243697
Round 1 AS 16.0 WT 10um	0.7398281
Round 1 AS 16.0 MT 10um	0.594158266
Round 1 AS 17.0 WT 10um	0.169789231
Round 1 AS 17.0 MT 10um	0.547032987
Round 1 AS 18.0 WT 10um	0.61207119
Round 1 AS 18.0 MT 10um	0.906744787
Round 1 AS 19.0 WT 10um	0.752211995
Round 1 AS 19.0 MT 10um	0.857439473
Round 1 AS 20.0 WT 10um	0.058308438
Round 1 AS 20.0 MT 10um	0.209439158
Round 1 AS 21.0 WT 10um	0.186360269
Round 1 AS 21.0 MT 10um	0.196354847
Round 1 AS 22.0 WT 10um	0.558517684
Round 1 AS 22.0 MT 10um	0.561622782
Round 1 AS 23.0 WT 10um	0.103581142
Round 1 AS 23.0 MT 10um	0.102433622
Round 1 AS 24.0 WT 10um	0.013526553
Round 1 AS 24.0 MT 10um	0.004022313
Round 1 AS 25.0 WT 10um	0.316350774
Round 1 AS 25.0 MT 10um	0.21826183
Round 1 AS 26.0 WT 10um	0.365263368
Round 1 AS 26.0 MT 10um	0.321975832
Round 1 AS 27.0 WT 10um	0.278090136
Round 1 AS 27.0 MT 10um	0.098917549
Round 1 AS 28.0 WT 10um	0.000145752
Round 1 AS 28.0 MT 10um	0.002178759
Round 1 AS 29.0 WT 10um	0.347796106
Round 1 AS 29.0 MT 10um	0.283401965
Round 1 AS 30.0 WT 10um	0.822824782
Round 1 AS 30.0 MT 10um	0.643468203
Round 1 AS 31.0 WT 10um	0.52122675
Round 1 AS 31.0 MT 10um	0.80780836
Round 1 AS 32.0 WT 10um	0.305411777
Round 1 AS 32.0 MT 10um	0.399105151
Round 1 AS 33.0 WT 10um	0.052072348
Round 1 AS 33.0 MT 10um	0.046560699
Round 1 AS 34.0 WT 10um	0.122843076
Round 1 AS 34.0 MT 10um	0.169790055
Round 1 AS 35.0 WT 10um	0.19743257
Round 1 AS 35.0 MT 10um	0.27091852
Round 1 AS 36.0 WT 10um	0.012950081
Round 1 AS 36.0 MT 10um	0.003045896
Round 1 AS 37.0 WT 10um	0.919627263
Round 1 AS 37.0 MT 10um	0.846396857
Round 1 AS 38.0 WT 10um	0.589808155
Round 1 AS 38.0 MT 10um	0.693573078
Round 1 AS 39.0 WT 10um	0.365342869
Round 1 AS 39.0 MT 10um	0.670563935
Round 1 AS 40.0 WT 10um	0.907482923
Round 1 AS 40.0 MT 10um	0.7157535
Round 1 AS 41.0 WT 10um	0.194226491
Round 1 AS 41.0 MT 10um	0.31158636
Round 1 AS 42.0 WT 10um	0.056802957
Round 1 AS 42.0 MT 10um	0.099388893
Round 1 AS 43.0 WT 10um	0.335198903
Round 1 AS 43.0 MT 10um	0.327727056
Round 1 AS 44.0 WT 10um	0.023125801
Round 1 AS 44.0 MT 10um	1.37E-05
Round 1 AS 45.0 WT 10um	0.402680735
Round 1 AS 45.0 MT 10um	0.334227673
Round 1 AS 46.0 WT 10um	0.008911717
Round 1 AS 46.0 MT 10um	0.228696325
Round 1.2 1.0 WT 10um	0.626254906
Round 1.2 1.0 MT 10um	0.739204141
Round 1.2 2.0 WT 10um	0.017136718
Round 1.2 2.0 MT 10um	0.318213682
Round 1.2 3.0 WT 10um	0.565637468
Round 1.2 3.0 MT 10um	0.919881689
Round 1.2 4.0 WT 10um	0.111769345
Round 1.2 4.0 MT 10um	0.175870651
Round 1.2 5.0 WT 10um	0.166024653
Round 1.2 5.0 MT 10um	0.362765673
Round 1.2 6.0 WT 10um	0.25367778
Round 1.2 6.0 MT 10um	0.568240582
Round 1.2 7.0 WT 10um	0.092841617
Round 1.2 7.0 MT 10um	0.52780789
Round 1.2 8.0 WT 10um	0.587212365
Round 1.2 8.0 MT 10um	0.926363287
Round 1.2 9.0 WT 10um	0.515475533
Round 1.2 9.0 MT 10um	0.697155564
renata_Exp40 WT 10um	0.662188926
renata_Exp40 MT 10um	0.80305699
Round 2.3 1.0 WT 10um	0.904269978
Round 2.3 1.0 MT 10um	0.887480949
Round 2.3 2.0 WT 10um	0.747534104
Round 2.3 2.0 MT 10um	0.631175395
Round 2.3 3.0 WT 10um	0.91002932
Round 2.3 3.0 MT 10um	0.970880184
Round 2.3 4.0 WT 10um	0.63618956
Round 2.3 4.0 MT 10um	0.851443952
Round 2.3 5.0 WT 10um	0.236062207
Round 2.3 5.0 MT 10um	0.88631387
Round 2.3 6.0 WT 10um	0.000386913
Round 2.3 6.0 MT 10um	0.001293501
Round 2.3 7.0 WT 10um	0.753997787
Round 2.3 7.0 MT 10um	0.805883461
Round 2.3 8.0 WT 10um	0.04313166
Round 2.3 8.0 MT 10um	0.049052581
Round 2.3 9.0 WT 10um	0.269959322
Round 2.3 9.0 MT 10um	0.441878757
Round 2.3 1.0 WT 10um	0.904269978
Round 2.3 1.0 MT 10um	0.887480949
Round 2.3 2.0 WT 10um	0.747534104
Round 2.3 2.0 MT 10um	0.631175395
Round 2.3 3.0 WT 10um	0.91002932
Round 2.3 3.0 MT 10um	0.970880184
Round 2.3 4.0 WT 10um	0.63618956
Round 2.3 4.0 MT 10um	0.851443952
Round 2.3 5.0 WT 10um	0.236062207
Round 2.3 5.0 MT 10um	0.88631387
Round 2.3 6.0 WT 10um	0.000386913
Round 2.3 6.0 MT 10um	0.001293501
Round 2.3 7.0 WT 10um	0.753997787
Round 2.3 7.0 MT 10um	0.805883461
Round 2.3 8.0 WT 10um	0.04313166
Round 2.3 8.0 MT 10um	0.049052581
Round 2.3 9.0 WT 10um	0.269959322
Round 2.3 9.0 MT 10um	0.441878758
Round 2.3 1.0 WT all	0.847928391
Round 2.3 1.0 MT all	0.899591929
Round 2.3 2.0 WT all	0.754353323
Round 2.3 2.0 MT all	0.729037352
Round 2.3 3.0 WT all	0.919491636
Round 2.3 3.0 MT all	0.943370498
Round 2.3 4.0 WT all	0.247965555
Round 2.3 4.0 MT all	0.168954896
Round 2.3 5.0 WT all	0.585997912
Round 2.3 5.0 MT all	0.939316624
Round 2.3 6.0 WT all	0.030738687
Round 2.3 6.0 MT all	0.030706071
Round 2.3 7.0 WT all	0.419759326
Round 2.3 7.0 MT all	0.573306425
Round 2.3 8.0 WT all	0.001661354
Round 2.3 8.0 MT all	0.084154625
Round 2.3 9.0 WT all	0.342241814
Round 2.3 9.0 MT all	0.31026288Round 1 AS 1.0 WTall	0.19789670579761998
Round 1 AS 1.0 MTall	0.40137334978536954
Round 1 AS 2.0 WTall	0.004739761151113853
Round 1 AS 2.0 MTall	0.012092008584327907
Round 1 AS 3.0 WTall	0.5028414354755577
Round 1 AS 3.0 MTall	0.7394792844819793
Round 1 AS 4.0 WTall	0.39783231781003037
Round 1 AS 4.0 MTall	0.10537175462322945
Round 1 AS 5.0 WTall	0.6409437121792493
Round 1 AS 5.0 MTall	0.8617282822185339
Round 1 AS 6.0 WTall	0.5543966301705534
Round 1 AS 6.0 MTall	0.8823059470639963
Round 1 AS 7.0 WTall	0.6465294936179979
Round 1 AS 7.0 MTall	0.7993710454550101
Round 1 AS 8.0 WTall	0.21941457530412545
Round 1 AS 8.0 MTall	0.37041561485898744
Round 1 AS 9.0 WTall	0.2214009108248829
Round 1 AS 9.0 MTall	0.9189558901184651
Round 1 AS 10.0 WTall	0.7617452449361993
Round 1 AS 10.0 MTall	0.7175173653679389
Round 1 AS 11.0 WTall	0.6580915567813928
Round 1 AS 11.0 MTall	0.24689241202522905
Round 1 AS 12.0 WTall	0.5472061954005526
Round 1 AS 12.0 MTall	0.7557855925189536
Round 1 AS 13.0 WTall	0.04882342369668735
Round 1 AS 13.0 MTall	0.0013598805048825602
Round 1 AS 14.0 WTall	0.6640533103095683
Round 1 AS 14.0 MTall	0.44269261047952724
Round 1 AS 15.0 WTall	0.025164117376350825
Round 1 AS 15.0 MTall	0.24418066008982986
Round 1 AS 16.0 WTall	0.6910364760147103
Round 1 AS 16.0 MTall	0.5604390446498644
Round 1 AS 17.0 WTall	0.24435842221235293
Round 1 AS 17.0 MTall	0.4396221103738275
Round 1 AS 18.0 WTall	0.6033323909093484
Round 1 AS 18.0 MTall	0.7468276258775317
Round 1 AS 19.0 WTall	0.7759093505354815
Round 1 AS 19.0 MTall	0.9077584725874314
Round 1 AS 20.0 WTall	0.06449577303214582
Round 1 AS 20.0 MTall	0.2603829600495111
Round 1 AS 21.0 WTall	0.01040243535302976
Round 1 AS 21.0 MTall	0.02408331149386178
Round 1 AS 22.0 WTall	0.47876141137507244
Round 1 AS 22.0 MTall	0.4960639583807087
Round 1 AS 23.0 WTall	0.026261396543217352
Round 1 AS 23.0 MTall	0.015202173271744446
Round 1 AS 24.0 WTall	0.002570844638930758
Round 1 AS 24.0 MTall	0.003832164772921698
Round 1 AS 25.0 WTall	0.11177492682031154
Round 1 AS 25.0 MTall	0.07569300921185418
Round 1 AS 26.0 WTall	0.3984533636425893
Round 1 AS 26.0 MTall	0.3701332081774319
Round 1 AS 27.0 WTall	0.20342375772052312
Round 1 AS 27.0 MTall	0.08497988149957592
Round 1 AS 28.0 WTall	0.05213301827632144
Round 1 AS 28.0 MTall	0.05200908996539977
Round 1 AS 29.0 WTall	0.7508258668931911
Round 1 AS 29.0 MTall	0.7274550011487387
Round 1 AS 30.0 WTall	0.8393995959419119
Round 1 AS 30.0 MTall	0.6946727851694766
Round 1 AS 31.0 WTall	0.707355655433191
Round 1 AS 31.0 MTall	0.8732437244151988
Round 1 AS 32.0 WTall	0.5683354299890914
Round 1 AS 32.0 MTall	0.5655510345022278
Round 1 AS 33.0 WTall	0.008505076568757541
Round 1 AS 33.0 MTall	0.014522650363488543
Round 1 AS 34.0 WTall	0.024966606569875816
Round 1 AS 34.0 MTall	0.036665188113138014
Round 1 AS 35.0 WTall	0.3920740198425585
Round 1 AS 35.0 MTall	0.4822360389759268
Round 1 AS 36.0 WTall	0.0022838527975200806
Round 1 AS 36.0 MTall	0.027639762867290196
Round 1 AS 37.0 WTall	0.8939932692952026
Round 1 AS 37.0 MTall	0.8538663399792986
Round 1 AS 38.0 WTall	0.4726967862555552
Round 1 AS 38.0 MTall	0.4793941231087272
Round 1 AS 39.0 WTall	0.39120776327701745
Round 1 AS 39.0 MTall	0.6587490205730132
Round 1 AS 40.0 WTall	0.5626258776115545
Round 1 AS 40.0 MTall	0.49223583262251336
Round 1 AS 41.0 WTall	0.15988423112076966
Round 1 AS 41.0 MTall	0.32150809965284444
Round 1 AS 42.0 WTall	0.031108694595251563
Round 1 AS 42.0 MTall	0.14936566509335902
Round 1 AS 43.0 WTall	0.017659613602005297
Round 1 AS 43.0 MTall	0.08923391882902953
Round 1 AS 44.0 WTall	6.415432943107646e-06
Round 1 AS 44.0 MTall	1.6256307490691846e-05
Round 1 AS 45.0 WTall	0.3874509242697812
Round 1 AS 45.0 MTall	0.36913501008799066
Round 1 AS 46.0 WTall	0.04907377229534626
Round 1 AS 46.0 MTall	0.36383823513081315
Round 2.1.1 1.0 WTall	0.8741552164031761
Round 2.1.1 1.0 MTall	0.8895381695050155
Round 2.1.1 2.0 WTall	0.5750349541509674
Round 2.1.1 2.0 MTall	0.8297614546558003
Round 2.1.2 1.0 WTall	0.7733288709591586
Round 2.1.2 1.0 MTall	0.9069502631509586
Round 2.1.2 2.0 WTall	1.0261408969980401e-05
Round 2.1.2 2.0 MTall	0.1254344158464209
Round 2.1.3 1.0 WTall	0.7389988462164222
Round 2.1.3 1.0 MTall	0.7101447363558324
Round 2.1.3 2.0 WTall	0.6316936403524723
Round 2.1.3 2.0 MTall	0.6782754752168279
Round 1.2 1.0 WTall	0.6295341991926333
Round 1.2 1.0 MTall	0.8373475199794155
Round 1.2 2.0 WTall	0.024413550762512726
Round 1.2 2.0 MTall	0.30533056359176336
Round 1.2 3.0 WTall	0.777698178483408
Round 1.2 3.0 MTall	0.9075435123187452
Round 1.2 4.0 WTall	0.36454509702191495
Round 1.2 4.0 MTall	0.4533233615155906
Round 1.2 5.0 WTall	0.0088456656522643
