Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO49-72_total_20210615,O1,Naïve_P6,Naïve_P6,28.2870559891677,21.5177494496209,6.7693065395468,6.903280061933627,0.13093969016871626,-0.13397352238682636,1.0973117985594742,1.0038818886708154
ASO49-72_total_20210615,O2,Naïve_P6,Naïve_P6,28.5304441092122,21.4275891813734,7.102854927838802,,,0.19957486590517526,0.8708071353722214,
ASO49-72_total_20210615,O3,Naïve_P6,Naïve_P6,28.2537459742279,21.3976552065842,6.8560907676437,,,-0.04718929428992702,1.033249950279982,
ASO49-72_total_20210615,O4,Naïve_P6,Naïve_P6,28.7164053760856,21.8414069775603,6.8749983985253,,,-0.028281663408327162,1.0197967627664064,
ASO49-72_total_20210615,O5,Naïve_P6,Naïve_P6,28.5416179305363,21.6604480841754,6.881169846360901,,,-0.022110215572725522,1.0154436733486818,
ASO49-72_total_20210615,O6,Naïve_P6,Naïve_P6,28.5385413398559,21.7147570117966,6.8237843280593005,,,-0.07949573387432629,1.0566486449270305,
ASO49-72_total_20210615,O7,Naïve_P6,Naïve_P6,28.2810139999483,21.6021978773144,6.678816122633901,,,-0.22446393929972608,1.1683430478837584,
ASO49-72_total_20210615,O8,Naïve_P6,Naïve_P6,28.32571922354,21.5714973732555,6.754221850284498,,,-0.14905821164912858,1.1088453837694803,
ASO49-72_total_20210615,O9,Naïve_P6,Naïve_P6,28.3746254540863,21.6514681150765,6.7231573390097985,,,-0.18012272292382825,1.1329802582175321,
ASO49-72_total_20210615,P1,Naïve_P6,Naïve_P6,28.9010200074584,21.826240973053,7.074779034405399,,,0.17149897247177215,0.8879196456317994,
ASO49-72_total_20210615,P2,Naïve_P6,Naïve_P6,28.9427112352479,21.8778979722816,7.0648132629663,,,0.16153320103267355,0.8940744026216115,
ASO49-72_total_20210615,P3,Naïve_P6,Naïve_P6,28.9290261998352,21.9316920671779,6.997334132657301,,,0.09405407072367389,0.9368863326799655,
ASO49-72_total_20210615,P4,Naïve_P6,Naïve_P6,28.5303841040342,21.4184736722613,7.111910431772902,,,0.20863036983927508,0.8653583740133058,
ASO49-72_total_20210615,P5,Naïve_P6,Naïve_P6,28.408941224758,21.4151583025188,6.993782922239198,,,0.09050286030557153,0.9391953297972417,
