Experiment Name,Position,SampleName,ASO Microsynth ID ,FAM,HEX,dCt,Avg,SD,ddCt,Exp,Avg.1
ASO1-24_WT_20210611,O1,Naïve_P2,Naïve_P2,29.8670258423792,22.1169640546813,7.7500617876978986,7.537913071746622,0.3021427065722186,0.21214871595127693,0.8632505683562136,1.0221533486993801
ASO1-24_WT_20210611,O2,Naïve_P2,Naïve_P2,29.7301440700114,22.1414745619382,7.588669508073199,,,0.05075643632657734,0.9654300002911179,
ASO1-24_WT_20210611,O3,Naïve_P2,Naïve_P2,29.7762919235339,22.1590142715729,7.617277651961,,,0.07936458021437875,0.9464744195938527,
ASO1-24_WT_20210611,O4,Naïve_P2,Naïve_P2,29.5303550270136,21.8742125843087,7.656142442704898,,,0.11822937095827601,0.9213176962498926,
ASO1-24_WT_20210611,O5,Naïve_P2,Naïve_P2,29.7920161334456,21.8844318388711,7.907584294574498,,,0.36967122282787646,0.7739588549093183,
ASO1-24_WT_20210611,O6,Naïve_P2,Naïve_P2,29.734632293867,21.9899138532666,7.744718440600401,,,0.20680536885377965,0.8664537400830152,
ASO1-24_WT_20210611,O7,Naïve_P2,Naïve_P2,29.701734937034,22.83043743137,6.871297505664,,,-0.6666155660826218,1.587344826860333,
ASO1-24_WT_20210611,O8,Naïve_P2,Naïve_P2,30.0075496370685,22.8593091081461,7.1482405289224005,,,-0.38967254282422115,1.3100960097332957,
ASO1-24_WT_20210611,O9,Naïve_P2,Naïve_P2,29.9255519095828,22.8956719615659,7.029879948016902,,,-0.50803312372972,1.4221100613188633,
ASO1-24_WT_20210611,P1,Naïve_P2,Naïve_P2,29.744482906456,22.0016461403762,7.742836766079801,,,0.20492369433317936,0.8675845734044045,
ASO1-24_WT_20210611,P2,Naïve_P2,Naïve_P2,29.8039398071242,22.047944775077,7.755995032047199,,,0.21808196030057747,0.8597076443904503,
ASO1-24_WT_20210611,P3,Naïve_P2,Naïve_P2,29.7583634243837,22.0225239868722,7.735839437511498,,,0.197926365764876,0.8718027346573267,
ASO1-24_WT_20210611,P4,Naïve_P2,Naïve_P2,29.8893667694988,22.121109617855,7.768257151643798,,,0.23034407989717653,0.8524315642900522,
ASO1-24_WT_20210611,P5,Naïve_P2,Naïve_P2,29.8131373797416,22.0935762926804,7.7195610870612015,,,0.18164801531457986,0.8816952451982936,
ASO1-24_WT_20210611,P6,Naïve_P2,Naïve_P2,29.9318259278962,22.1655303038394,7.766295624056799,,,0.228382552310177,0.8535913417842429,
ASO1-24_WT_20210611,P7,Naïve_P2,Naïve_P2,29.7563736954304,22.5040023543185,7.2523713411119,,,-0.2855417306347219,1.2188678614948298,
ASO1-24_WT_20210611,P8,Naïve_P2,Naïve_P2,29.8170633830549,22.5289935547536,7.2880698283013,,,-0.24984324344532194,1.1890779082905052,
ASO1-24_WT_20210611,P9,Naïve_P2,Naïve_P2,29.8873558137833,22.5480188983728,7.339336915410502,,,-0.19857615633611925,1.1475652256828348,
ASO1-24_WT_20210611,O10,Ionis1375651_10_P2,Ionis1375651_10_P2,35.922018427137,27.51830479206,8.403713635076997,,,0.8658005633303754,0.5487418210481633,0.7828729609823138
ASO1-24_WT_20210611,O11,Ionis1375651_10_P2,Ionis1375651_10_P2,34.6961002360149,27.6232122449647,7.072887991050198,,,-0.46502508069642357,1.3803413498896169,
ASO1-24_WT_20210611,O12,Ionis1375651_10_P2,Ionis1375651_10_P2,36.4105124027186,27.6194648580623,8.791047544656301,,,1.2531344729096796,0.4195357120091614,
ASO1-24_WT_20210611,P10,Ionis1375651_10_P2,Ionis1375651_10_P2,36.6388237056261,27.6421716345262,8.996652071099902,,,1.4587389993532804,0.3638109826778821,0.43058397263359777
ASO1-24_WT_20210611,P11,Ionis1375651_10_P2,Ionis1375651_10_P2,36.7846877390424,27.7296321036863,9.055055635356098,,,1.5171425636094762,0.3493772166514394,
ASO1-24_WT_20210611,P12,Ionis1375651_10_P2,Ionis1375651_10_P2,36.0424608830491,27.7150955718669,8.327365311182202,,,0.7894522394355805,0.5785637185714719,
ASO1-24_WT_20210611,O13,Ionis1375651_3_P2,Ionis1375651_3_P2,34.0451471890978,26.434441540825,7.610705648272798,,,0.07279257652617677,0.9507957920644811,1.080899789534427
ASO1-24_WT_20210611,O14,Ionis1375651_3_P2,Ionis1375651_3_P2,33.9126260469348,26.5413644729002,7.371261574034598,,,-0.16665149771202348,1.1224502464483381,
ASO1-24_WT_20210611,O15,Ionis1375651_3_P2,Ionis1375651_3_P2,33.8731924014801,26.561113618281,7.312078783199098,,,-0.22583428854752352,1.1694533300904622,
ASO1-24_WT_20210611,P13,Ionis1375651_3_P2,Ionis1375651_3_P2,35.1152994683136,25.55033268455,9.564966783763602,,,2.02705371201698,0.24535563112144185,0.16492833416760244
ASO1-24_WT_20210611,P14,Ionis1375651_3_P2,Ionis1375651_3_P2,36.2438017896124,25.568412082718,10.675389706894396,,,3.1374766351477748,0.11363848158323415,
ASO1-24_WT_20210611,P15,Ionis1375651_3_P2,Ionis1375651_3_P2,36.0562746873635,25.6378202132434,10.418454474120097,,,2.880541402373475,0.13579088979813134,
ASO1-24_WT_20210611,O16,Ionis676630_10_P2,Ionis676630_10_P2,33.4983662574647,26.5331234058643,6.965242851600404,,,-0.5726702201462173,1.4872737536530238,1.5610972735973963
ASO1-24_WT_20210611,O17,Ionis676630_10_P2,Ionis676630_10_P2,33.407793011683,26.6153139426178,6.792479069065198,,,-0.7454340026814235,1.6764785247224332,
ASO1-24_WT_20210611,O18,Ionis676630_10_P2,Ionis676630_10_P2,33.5279241501193,26.593645296442,6.934278853677299,,,-0.603634218069323,1.519539542416731,
ASO1-24_WT_20210611,P16,Ionis676630_10_P2,Ionis676630_10_P2,37.2414616113929,29.6988707135407,7.5425908978522,,,0.004677826105578653,0.9967628289970809,0.6805727331459265
