Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO241-264_WT_20210617,G1,Naïve_P21,Naïve_P21,29.5417093038204,21.963509818726,7.578199485094402,7.358093341263829,0.24384274072948897,0.2201061438305727,0.1279922521947728,0.9151040825616481
ASO241-264_WT_20210617,G2,Naïve_P21,Naïve_P21,29.5327545853426,21.899850307054,7.632904278288603,,,0.27481093702477377,,
ASO241-264_WT_20210617,G3,Naïve_P21,Naïve_P21,29.0663194320414,21.8191664150486,7.247153016992801,,,-0.11094032427102807,,
ASO241-264_WT_20210617,G4,Naïve_P21,Naïve_P21,29.0770687409967,21.4963863409532,7.5806824000435,,,0.22258905877967106,0.05272976546183757,0.964110380569119
ASO241-264_WT_20210617,G5,Naïve_P21,Naïve_P21,28.6630423778745,21.3160187004463,7.347023677428201,,,-0.01106966383562824,,
ASO241-264_WT_20210617,G6,Naïve_P21,Naïve_P21,28.6354896447384,21.3307264020331,7.304763242705299,,,-0.053330098558530104,,
ASO241-264_WT_20210617,G7,Naïve_P21,Naïve_P21,28.9775507883161,21.5429233789208,7.434627409395301,,,0.07653406813147168,0.16545589100797198,0.8916467149217178
ASO241-264_WT_20210617,G8,Naïve_P21,Naïve_P21,29.0889300873243,21.52538554308,7.5635445442443014,,,0.20545120298047248,,
ASO241-264_WT_20210617,G9,Naïve_P21,Naïve_P21,29.0125342770694,21.4400585338936,7.572475743175801,,,0.21438240191197178,,
ASO241-264_WT_20210617,H1,Naïve_P21,Naïve_P21,30.0182983789733,23.0665538319328,6.951744547040498,,,-0.40634879422333103,-0.4540717086917967,1.3699010687642712
ASO241-264_WT_20210617,H2,Naïve_P21,Naïve_P21,29.9413878703078,23.0728752725474,6.8685125977604,,,-0.48958074350342873,,
ASO241-264_WT_20210617,H3,Naïve_P21,Naïve_P21,29.9779752764438,23.0861675235286,6.891807752915199,,,-0.4662855883486303,,
ASO241-264_WT_20210617,H4,Naïve_P21,Naïve_P21,29.8723433086678,22.4332655838905,7.439077724777302,,,0.08098438351347337,0.1568687808636732,0.8969697390940271
ASO241-264_WT_20210617,H5,Naïve_P21,Naïve_P21,30.0469209889505,22.4107043389952,7.636216649955301,,,0.2781233086914723,,
ASO241-264_WT_20210617,H6,Naïve_P21,Naïve_P21,29.7879194953327,22.3183275036828,7.469591991649903,,,0.11149865038607398,,
ASO241-264_WT_20210617,H7,Naïve_P21,Naïve_P21,29.3206668901773,21.9832996555981,7.337367234579201,,,-0.020726106684628043,-0.04897498083646301,1.0345296405889406
ASO241-264_WT_20210617,H8,Naïve_P21,Naïve_P21,29.2430921700218,21.9254516134174,7.317640556604399,,,-0.04045278465943003,,
ASO241-264_WT_20210617,H9,Naïve_P21,Naïve_P21,29.1707661870881,21.8984188969896,7.272347290098498,,,-0.08574605116533096,,
ASO241-264_WT_20210617,G10,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.7539846061015,26.1627668768022,10.591217729299299,,,3.2331243880354696,3.2085661843906386,0.10817460932894685
ASO241-264_WT_20210617,G11,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.6275905786928,26.1352652766455,10.492325302047302,,,3.134231960783473,,
ASO241-264_WT_20210617,G12,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.7407875478803,26.1243520022635,10.616435545616802,,,3.2583422043529735,,
ASO241-264_WT_20210617,H10,Ionis1375651_10_P21,Ionis1375651_10uM_P21,37.9741854523472,26.7670202245037,11.2071652278435,,,3.8490718865796714,3.112116146321372,0.11565374225248395
ASO241-264_WT_20210617,H11,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.8467332454328,26.7541419062384,10.092591339194403,,,2.734497997930574,,
ASO241-264_WT_20210617,H12,Ionis1375651_10_P21,Ionis1375651_10uM_P21,36.7713611125494,26.6604892168317,10.1108718957177,,,2.7527785544538714,,
ASO241-264_WT_20210617,G13,Ionis1375651_3_P21,Ionis1375651_3uM_P21,34.3659988271792,23.6705585138572,10.695440313321999,,,3.33734697205817,2.8052241585769386,0.14306828912875813
ASO241-264_WT_20210617,G14,Ionis1375651_3_P21,Ionis1375651_3uM_P21,33.3151949035964,23.6531754371942,9.6620194664022,,,2.3039261251383705,,
ASO241-264_WT_20210617,G15,Ionis1375651_3_P21,Ionis1375651_3uM_P21,33.783760647584,23.6512679277859,10.132492719798105,,,2.7743993785342758,,
ASO241-264_WT_20210617,H13,Ionis1375651_3_P21,Ionis1375651_3uM_P21,34.9721024830184,24.8681568824617,10.103945600556703,,,2.7458522592928736,2.90614934365367,0.13340185716249633
ASO241-264_WT_20210617,H14,Ionis1375651_3_P21,Ionis1375651_3uM_P21,35.7429727961268,24.9186311101237,10.824341686003098,,,3.4662483447392693,,
ASO241-264_WT_20210617,H15,Ionis1375651_3_P21,Ionis1375651_3uM_P21,34.8289939785223,24.9645532103296,9.864440768192697,,,2.506347426928868,,
