Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Avg,SD,ddCt,Avg_ddCt,Exp
ASO265-288_total_20210617,G1,Naïve_P23,Naïve_P23,28.0966812005784,21.6360790923435,6.460602108234898,6.320551457479684,0.08918784598900165,0.14005065075521372,0.1487400716744484,0.9020378826325652
ASO265-288_total_20210617,G2,Naïve_P23,Naïve_P23,28.0852444043499,21.6303108964713,6.4549335078786,,,0.1343820503989157,,
ASO265-288_total_20210617,G3,Naïve_P23,Naïve_P23,28.1277346858864,21.6353957145375,6.4923389713489,,,0.17178751386921576,,
ASO265-288_total_20210617,G4,Naïve_P23,Naïve_P23,27.6448349317475,21.3954061036485,6.249428828098999,,,-0.07112262938068525,-0.06906160812438482,1.0490341240447774
ASO265-288_total_20210617,G5,Naïve_P23,Naïve_P23,27.6763485403642,21.4362833774638,6.2400651629004,,,-0.08048629457928413,,
ASO265-288_total_20210617,G6,Naïve_P23,Naïve_P23,27.6610072564422,21.3960316993757,6.264975557066499,,,-0.05557590041318505,,
ASO265-288_total_20210617,G7,Naïve_P23,Naïve_P23,27.8234320740306,21.6328372914059,6.1905947826247,,,-0.1299566748549843,-0.10322739283595084,1.074173766005537
ASO265-288_total_20210617,G8,Naïve_P23,Naïve_P23,27.8700983416297,21.6212576730441,6.248840668585601,,,-0.07171078889408378,,
ASO265-288_total_20210617,G9,Naïve_P23,Naïve_P23,27.7969133413075,21.5843765985866,6.2125367427209,,,-0.10801471475878444,,
ASO265-288_total_20210617,H1,Naïve_P23,Naïve_P23,28.1745885634583,21.8659708089506,6.308617754507701,,,-0.011933702971983706,-0.005642883347351339,1.0039190079895208
ASO265-288_total_20210617,H2,Naïve_P23,Naïve_P23,28.1686609287176,21.8780483169744,6.2906126117431995,,,-0.029938845736484865,,
ASO265-288_total_20210617,H3,Naïve_P23,Naïve_P23,28.2576786066377,21.9121832504916,6.345495356146099,,,0.024943898666414555,,
ASO265-288_total_20210617,H4,Naïve_P23,Naïve_P23,28.3114700112706,21.8848563391871,6.426613672083501,,,0.10606221460381704,0.0511634788325838,0.9651576519400998
